3,0 3.255.744 12 271.312,0 298.560,0 194.496 343.136 64.835,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 3.275.040 12 272.920,0 300.576,0 194.752 347.328 66.334,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.265.408 12 272.117,0 303.040,0 194.912 342.592 65.208,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.259.488 12 271.624,0 300.320,0 194.400 342.752 64.961,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.259.712 12 271.642,0 302.112,0 195.360 342.624 64.983,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.256.864 12 271.405,0 300.480,0 194.848 342.784 65.066,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.253.184 12 271.098,0 299.056,0 195.040 342.624 64.675,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.274.848 12 272.904,0 301.952,0 194.944 344.448 64.971,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.259.200 12 271.600,0 302.208,0 193.792 341.728 65.005,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 2.353.184 12 196.098,0 213.904,0 145.792 241.952 41.840,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.263.392 12 271.949,0 301.888,0 194.624 343.808 64.995,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.260.480 12 271.706,0 297.872,0 194.720 343.200 63.870,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.259.776 12 271.648,0 300.400,0 194.752 343.648 65.510,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.256.192 12 271.349,0 300.832,0 194.048 342.272 65.379,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.274.176 12 272.848,0 303.408,0 194.144 344.384 65.413,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.282.880 12 273.573,0 305.200,0 194.848 343.296 64.799,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.265.184 12 272.098,0 300.128,0 194.656 343.456 64.719,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.259.616 12 271.634,0 301.888,0 194.368 342.208 64.816,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.295.712 12 274.642,0 303.728,0 195.136 343.808 64.129,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.262.848 12 271.904,0 301.600,0 194.304 343.296 65.284,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.249.504 12 270.792,0 299.120,0 194.464 340.512 63.769,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.293.216 12 274.434,0 304.624,0 195.072 342.880 64.001,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.265.536 12 272.128,0 303.216,0 194.624 342.528 65.511,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.260.320 12 271.693,0 301.536,0 194.400 342.272 64.861,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.264.768 12 272.064,0 300.656,0 195.104 343.680 65.320,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.265.344 12 272.112,0 302.432,0 194.176 342.304 64.746,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.326.048 12 277.170,0 302.256,0 194.496 342.240 61.424,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.267.328 12 272.277,0 303.632,0 194.944 343.104 65.557,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.271.968 12 272.664,0 301.968,0 194.688 343.520 64.687,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.262.880 12 271.906,0 301.248,0 194.880 342.656 64.808,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.289.568 12 274.130,0 306.336,0 194.464 344.480 64.547,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.274.272 12 272.856,0 304.096,0 194.560 342.976 65.782,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.289.440 12 274.120,0 306.128,0 194.432 343.104 64.376,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.265.312 12 272.109,0 302.672,0 195.232 342.784 65.227,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.291.776 12 274.314,0 306.896,0 194.624 341.664 63.792,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.263.360 12 271.946,0 299.184,0 195.712 343.648 64.982,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.273.408 12 272.784,0 304.224,0 195.008 344.160 65.718,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 1.953.856 12 162.821,0 180.480,0 116.512 204.704 38.979,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 3.375.904 12 281.325,0 301.264,0 181.952 348.736 66.016,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.281.536 12 273.461,0 301.840,0 194.304 347.168 65.624,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.265.216 12 272.101,0 300.512,0 194.208 345.696 65.823,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.288.320 12 274.026,0 304.288,0 194.368 342.720 64.571,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.273.408 12 272.784,0 301.472,0 194.944 346.656 66.338,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 1.974.368 12 164.530,0 181.984,0 118.816 206.112 38.892,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.281.376 12 273.448,0 302.496,0 194.912 343.200 64.450,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.302.720 12 275.226,0 308.096,0 194.688 343.168 64.456,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 3.282.528 12 273.544,0 303.088,0 194.592 347.584 66.750,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.266.464 12 272.205,0 302.288,0 194.848 343.808 65.713,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.275.712 12 272.976,0 304.400,0 194.560 342.816 65.374,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.270.784 12 272.565,0 301.728,0 194.048 344.000 65.477,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.258.912 12 271.576,0 301.296,0 194.272 341.024 65.275,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.265.536 12 272.128,0 300.912,0 194.720 343.424 64.623,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.273.248 12 272.770,0 302.528,0 194.304 344.608 66.099,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.262.496 12 271.874,0 301.680,0 194.656 344.032 65.430,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.269.280 12 272.440,0 301.472,0 195.104 343.936 65.484,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.282.272 12 273.522,0 303.888,0 194.368 344.640 65.686,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.306.592 12 275.549,0 308.720,0 194.592 343.904 65.320,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.297.824 12 274.818,0 305.792,0 195.008 344.000 64.549,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.276.576 12 273.048,0 303.104,0 194.752 344.320 65.408,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
