21,0 21.413.888 12 1.784.490,0 572.048,0 209.792 8.932.928 2.603.522,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.472.736 12 1.789.394,0 575.392,0 211.680 8.925.984 2.603.172,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.461.472 12 1.788.456,0 564.144,0 213.184 8.926.688 2.603.750,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.436.608 12 1.786.384,0 568.432,0 210.080 8.927.552 2.601.959,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.389.536 12 1.782.461,0 564.336,0 213.280 8.918.432 2.598.928,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.439.392 12 1.786.616,0 567.600,0 208.480 8.920.352 2.601.295,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
19,0 21.487.456 12 1.790.621,0 574.944,0 209.632 8.936.160 2.604.409,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 21.380.736 12 1.781.728,0 564.864,0 211.552 8.932.896 2.601.879,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.456.128 12 1.788.010,0 563.440,0 208.448 8.921.824 2.605.581,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 21.500.416 12 1.791.701,0 570.464,0 213.728 8.925.408 2.603.559,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.466.176 12 1.788.848,0 566.464,0 209.600 8.920.480 2.603.304,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.515.968 12 1.792.997,0 566.720,0 213.152 8.926.592 2.605.879,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
