      0.0            68480          1      68480.0      68480.0      68480      68480          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68832          1      68832.0      68832.0      68832      68832          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67360          1      67360.0      67360.0      67360      67360          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67424          1      67424.0      67424.0      67424      67424          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68320          1      68320.0      68320.0      68320      68320          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            35264          1      35264.0      35264.0      35264      35264          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67392          1      67392.0      67392.0      67392      67392          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68128          1      68128.0      68128.0      68128      68128          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            38144          1      38144.0      38144.0      38144      38144          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            66816          1      66816.0      66816.0      66816      66816          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67488          1      67488.0      67488.0      67488      67488          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67968          1      67968.0      67968.0      67968      67968          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68512          1      68512.0      68512.0      68512      68512          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68576          1      68576.0      68576.0      68576      68576          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67552          1      67552.0      67552.0      67552      67552          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67104          1      67104.0      67104.0      67104      67104          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
