46,0 930.989.376 10 93.098.937,0 92.113.584,0 86.915.040 99.913.920 3.849.346,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 989.059.328 10 98.905.932,0 92.442.144,0 86.715.680 142.152.544 16.213.601,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 987.018.048 10 98.701.804,0 95.393.072,0 86.897.536 122.407.552 10.720.239,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 945.611.936 10 94.561.193,0 92.068.032,0 86.880.128 112.129.664 6.963.107,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.080.736.672 10 108.073.667,0 93.912.944,0 87.048.544 175.168.864 30.341.760,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 946.343.328 10 94.634.332,0 92.420.608,0 86.892.448 115.826.368 7.890.617,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 963.816.320 10 96.381.632,0 92.301.424,0 86.876.576 129.621.088 12.108.880,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 980.257.184 10 98.025.718,0 93.818.256,0 86.886.624 124.596.736 11.441.842,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 942.593.280 10 94.259.328,0 93.453.472,0 86.753.088 106.439.872 5.375.649,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 990.350.720 10 99.035.072,0 92.512.496,0 86.878.560 152.864.064 19.248.881,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 990.295.328 10 99.029.532,0 92.661.008,0 86.850.816 139.257.696 15.420.148,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 936.056.768 10 93.605.676,0 92.497.136,0 86.926.720 101.867.648 4.312.083,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 940.034.112 10 94.003.411,0 92.816.912,0 86.677.120 105.647.712 5.201.674,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 991.741.600 10 99.174.160,0 93.724.640,0 86.905.408 144.958.240 16.720.589,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
