0,0 4.534.624 1 4.534.624,0 4.534.624,0 4.534.624 4.534.624 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.552 1 4.535.552,0 4.535.552,0 4.535.552 4.535.552 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.547.584 1 4.547.584,0 4.547.584,0 4.547.584 4.547.584 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.952.352 1 2.952.352,0 2.952.352,0 2.952.352 2.952.352 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.696 1 4.537.696,0 4.537.696,0 4.537.696 4.537.696 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.600 1 4.537.600,0 4.537.600,0 4.537.600 4.537.600 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.003.744 1 3.003.744,0 3.003.744,0 3.003.744 3.003.744 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.976.576 1 2.976.576,0 2.976.576,0 2.976.576 2.976.576 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.400.192 1 3.400.192,0 3.400.192,0 3.400.192 3.400.192 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.303.424 1 2.303.424,0 2.303.424,0 2.303.424 2.303.424 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.002.176 1 3.002.176,0 3.002.176,0 3.002.176 3.002.176 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.001.056 1 3.001.056,0 3.001.056,0 3.001.056 3.001.056 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.305.888 1 2.305.888,0 2.305.888,0 2.305.888 2.305.888 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.310.240 1 2.310.240,0 2.310.240,0 2.310.240 2.310.240 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.989.536 1 2.989.536,0 2.989.536,0 2.989.536 2.989.536 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.392.320 1 2.392.320,0 2.392.320,0 2.392.320 2.392.320 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.969.024 1 2.969.024,0 2.969.024,0 2.969.024 2.969.024 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.984.960 1 2.984.960,0 2.984.960,0 2.984.960 2.984.960 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.744 1 4.535.744,0 4.535.744,0 4.535.744 4.535.744 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.976.640 1 2.976.640,0 2.976.640,0 2.976.640 2.976.640 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.972.576 1 2.972.576,0 2.972.576,0 2.972.576 2.972.576 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.984.416 1 2.984.416,0 2.984.416,0 2.984.416 2.984.416 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.309.920 1 2.309.920,0 2.309.920,0 2.309.920 2.309.920 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.315.456 1 2.315.456,0 2.315.456,0 2.315.456 2.315.456 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.723.552 1 2.723.552,0 2.723.552,0 2.723.552 2.723.552 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.498.848 1 2.498.848,0 2.498.848,0 2.498.848 2.498.848 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.452.384 1 2.452.384,0 2.452.384,0 2.452.384 2.452.384 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.960.096 1 2.960.096,0 2.960.096,0 2.960.096 2.960.096 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.542.176 1 4.542.176,0 4.542.176,0 4.542.176 4.542.176 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.988.320 1 2.988.320,0 2.988.320,0 2.988.320 2.988.320 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.985.024 1 2.985.024,0 2.985.024,0 2.985.024 2.985.024 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
