47,0 1.620.527.904 1.023 1.584.093,0 1.624.064,0 938.656 1.825.056 210.517,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.053.522.624 1.023 1.029.836,0 818.944,0 789.536 1.838.208 356.830,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.033.859.616 1.023 1.010.615,0 963.584,0 787.936 1.816.832 278.432,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.134.273.888 1.023 1.108.772,0 922.656,0 789.792 1.857.152 359.673,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.309.256.448 1.023 1.279.820,0 995.072,0 942.560 1.827.552 365.421,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.056.020.224 1.023 1.032.277,0 853.952,0 794.080 1.817.088 333.683,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.027.775.008 1.023 1.004.667,0 890.112,0 797.856 1.811.488 286.544,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.360.583.392 1.023 1.329.993,0 1.598.464,0 871.328 1.867.648 339.255,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.213.095.584 1.023 1.185.821,0 1.014.624,0 790.816 1.817.120 388.927,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.025.391.680 1.023 1.002.337,0 820.096,0 789.024 1.832.448 318.784,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.048.420.448 1.023 1.024.848,0 830.464,0 798.912 1.798.176 334.815,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 988.160.352 1.023 965.943,0 818.528,0 787.296 1.832.320 298.239,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.045.692.000 1.023 1.022.181,0 819.904,0 789.344 1.961.568 365.579,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.077.790.432 1.023 1.053.558,0 856.544,0 784.704 1.840.256 355.952,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.060.812.064 1.023 1.036.961,0 820.608,0 789.376 1.961.088 359.158,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
