0,0 7.621.888 1.023 7.450,0 7.328,0 3.520 27.296 2.990,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.831.328 1.023 9.610,0 9.408,0 4.224 28.224 3.387,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.844.448 1.023 8.645,0 7.488,0 3.488 33.984 4.015,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.624.736 1.023 7.453,0 6.464,0 3.456 24.128 3.255,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.780.160 1.023 7.605,0 6.496,0 3.520 24.256 3.526,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.095.552 1.023 6.936,0 6.400,0 3.488 34.400 3.104,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.570.848 1.023 7.400,0 6.400,0 3.488 30.528 3.518,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.218.304 1.023 8.033,0 6.944,0 3.552 24.672 3.696,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.628.352 1.023 7.456,0 6.464,0 3.456 33.664 3.333,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.278.176 1.023 7.114,0 6.464,0 3.456 34.304 3.183,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.026.208 1.023 12.733,0 12.960,0 7.008 29.952 3.436,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.479.424 1.023 7.311,0 6.976,0 3.424 27.552 3.139,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.744.384 1.023 8.547,0 7.392,0 3.488 23.840 4.056,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.523.136 1.023 7.354,0 7.520,0 3.456 28.096 3.044,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.027.168 1.023 7.846,0 7.104,0 3.488 27.200 3.388,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.613.408 1.023 7.442,0 6.080,0 3.456 30.528 4.002,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.138.368 1.023 6.977,0 6.432,0 3.488 33.728 3.084,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.632.832 1.023 7.461,0 6.432,0 3.456 25.056 3.243,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.796.832 1.023 6.644,0 6.144,0 3.776 34.848 3.102,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.222.592 1.023 7.060,0 7.264,0 3.488 23.968 1.884,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.228.576 1.023 7.066,0 6.400,0 3.520 29.888 3.091,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.885.760 1.023 7.708,0 6.496,0 3.520 24.288 3.671,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.299.520 1.023 11.045,0 12.864,0 3.968 30.144 3.944,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.422.080 1.023 7.255,0 6.368,0 3.552 33.440 3.433,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.750.784 1.023 10.509,0 9.920,0 6.240 27.616 2.418,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.990.912 1.023 7.811,0 7.040,0 3.456 28.576 3.442,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.412.000 1.023 7.245,0 6.848,0 3.488 35.968 3.060,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.153.856 1.023 7.970,0 7.808,0 3.488 27.232 3.120,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.187.584 1.023 7.026,0 6.336,0 3.488 33.792 3.641,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.198.880 1.023 11.924,0 12.704,0 6.944 33.536 2.739,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.090.080 1.023 7.908,0 7.168,0 3.520 23.872 3.545,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.510.528 1.023 8.319,0 7.648,0 3.488 24.192 3.752,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.740.384 1.023 7.566,0 6.976,0 3.456 27.104 3.149,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.363.968 1.023 7.198,0 6.336,0 3.680 29.728 3.272,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.042.528 1.023 6.884,0 6.336,0 3.488 33.568 3.012,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.848.384 1.023 10.604,0 11.712,0 4.000 23.968 3.564,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.240.320 1.023 8.055,0 6.944,0 3.520 25.472 3.912,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.401.120 1.023 7.234,0 6.496,0 3.520 26.048 3.130,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.722.880 1.023 10.481,0 10.592,0 5.568 24.800 2.607,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.400.640 1.023 7.234,0 6.400,0 3.488 30.496 3.253,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.520.960 1.023 7.351,0 6.400,0 3.456 27.616 3.207,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.118.016 1.023 6.958,0 6.336,0 3.520 34.208 2.970,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.441.792 1.023 7.274,0 7.008,0 3.488 23.936 2.790,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.468.608 1.023 8.278,0 7.008,0 3.488 24.512 4.044,0 CUDA_KERNEL Fan1(float *, float *, int, int)
