0,0 108.768 3 36.256,0 35.840,0 34.592 38.336 1.906,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.144 3 36.714,0 36.224,0 34.624 39.296 2.374,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 117.248 3 39.082,0 38.560,0 36.960 41.728 2.426,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 120.960 3 40.320,0 39.136,0 38.752 43.072 2.391,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.736 3 36.245,0 36.096,0 34.304 38.336 2.020,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.720 3 38.240,0 37.632,0 36.128 40.960 2.472,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.504 3 36.501,0 35.616,0 34.432 39.456 2.626,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 115.424 3 38.474,0 37.664,0 36.896 40.864 2.104,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.408 3 36.469,0 35.616,0 35.072 38.720 1.968,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.792 3 36.597,0 35.840,0 34.560 39.392 2.503,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 122.144 3 40.714,0 39.200,0 39.040 43.904 2.763,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.088 3 36.362,0 36.000,0 34.592 38.496 1.977,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 113.408 3 37.802,0 37.088,0 35.520 40.800 2.711,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 123.648 3 41.216,0 40.768,0 39.072 43.808 2.399,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.016 3 36.672,0 35.872,0 35.200 38.944 1.996,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.208 3 38.069,0 37.504,0 36.000 40.704 2.402,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 115.200 3 38.400,0 38.112,0 36.096 40.992 2.460,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.888 3 36.629,0 35.936,0 34.432 39.520 2.613,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 112.320 3 37.440,0 36.704,0 35.648 39.968 2.252,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.120 3 36.373,0 35.360,0 35.200 38.560 1.895,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 121.024 3 40.341,0 39.296,0 37.984 43.744 3.018,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.472 3 36.490,0 35.456,0 35.360 38.656 1.875,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.592 3 38.197,0 37.248,0 36.032 41.312 2.765,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.096 3 36.032,0 35.520,0 34.336 38.240 2.001,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.128 3 36.042,0 35.328,0 34.304 38.496 2.185,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.096 3 36.032,0 35.264,0 34.432 38.400 2.092,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 112.224 3 37.408,0 36.992,0 35.616 39.616 2.032,0 CUDA_KERNEL lud_perimeter(float *, int, int)
