0,0 22.720 3 7.573,0 7.904,0 6.240 8.576 1.202,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 21.216 3 7.072,0 6.848,0 6.368 8.000 838,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.904 3 5.301,0 5.280,0 4.032 6.592 1.280,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.560 3 7.520,0 7.968,0 6.368 8.224 1.005,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.832 3 5.610,0 5.536,0 4.576 6.720 1.073,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.496 3 7.498,0 8.000,0 6.272 8.224 1.068,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.768 3 5.589,0 5.696,0 4.032 7.040 1.506,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.736 3 5.578,0 5.472,0 4.288 6.976 1.347,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.912 3 7.637,0 8.192,0 6.528 8.192 960,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.416 3 5.472,0 5.632,0 4.160 6.624 1.239,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.128 3 5.376,0 5.184,0 4.160 6.784 1.322,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.400 3 7.466,0 8.000,0 6.336 8.064 979,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.288 3 5.429,0 5.504,0 4.640 6.144 754,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.816 3 7.605,0 8.064,0 6.592 8.160 878,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.232 3 7.744,0 8.256,0 6.304 8.672 1.264,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.832 3 5.610,0 5.856,0 4.032 6.944 1.471,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.776 3 5.258,0 4.992,0 4.000 6.784 1.411,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.216,0 4.128 6.976 1.437,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.816 3 7.605,0 8.064,0 6.496 8.256 965,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.032 3 5.344,0 5.280,0 4.032 6.720 1.345,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.336 3 7.445,0 7.936,0 6.336 8.064 962,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.504,0 4.128 6.688 1.281,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.256 3 5.418,0 5.408,0 4.000 6.848 1.424,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.832 3 5.610,0 5.888,0 4.160 6.784 1.333,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.504,0 4.064 6.752 1.345,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.032 3 5.344,0 5.312,0 4.128 6.592 1.232,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 17.120 3 5.706,0 5.568,0 4.640 6.912 1.142,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.416 3 5.472,0 5.440,0 4.160 6.816 1.328,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.128 3 5.376,0 5.312,0 3.968 6.848 1.441,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.328 3 7.776,0 8.160,0 6.304 8.864 1.322,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.288 3 5.429,0 5.248,0 4.192 6.848 1.337,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.448 3 5.482,0 5.344,0 4.384 6.720 1.174,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.784 3 7.594,0 8.128,0 6.464 8.192 979,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.848 3 7.616,0 8.000,0 6.368 8.480 1.107,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.624 3 7.541,0 8.128,0 6.336 8.160 1.044,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.400 3 7.466,0 7.936,0 6.304 8.160 1.013,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.736 3 5.578,0 5.600,0 4.256 6.880 1.312,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.352 3 5.450,0 5.504,0 4.384 6.464 1.041,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.840 3 7.946,0 8.000,0 6.368 9.472 1.552,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.928 3 5.642,0 5.248,0 4.608 7.072 1.278,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.912 3 7.637,0 8.160,0 6.368 8.384 1.105,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.408,0 4.064 6.848 1.392,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.560 3 7.520,0 8.032,0 6.272 8.256 1.086,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.208 3 7.402,0 7.872,0 6.240 8.096 1.013,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.040 3 7.680,0 8.160,0 6.528 8.352 1.002,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.384 3 5.461,0 5.504,0 4.064 6.816 1.376,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.752 3 7.584,0 8.064,0 6.400 8.288 1.031,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.976 3 7.658,0 7.968,0 6.656 8.352 889,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.384 3 5.461,0 5.344,0 4.160 6.880 1.363,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.432 3 7.477,0 8.032,0 6.240 8.160 1.073,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.496 3 7.498,0 8.000,0 6.304 8.192 1.039,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.512 3 5.504,0 5.472,0 4.192 6.848 1.328,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.784 3 7.594,0 7.936,0 6.368 8.480 1.096,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.352 3 5.450,0 5.568,0 4.064 6.720 1.331,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.352 3 5.450,0 5.408,0 4.160 6.784 1.312,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.128 3 5.376,0 5.440,0 4.000 6.688 1.345,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.464 3 7.488,0 8.000,0 6.368 8.096 971,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.064 3 5.354,0 5.408,0 4.032 6.624 1.296,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.928 3 5.642,0 5.536,0 4.608 6.784 1.091,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.416 3 5.472,0 5.472,0 4.160 6.784 1.312,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.512 3 5.504,0 5.440,0 4.224 6.848 1.313,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.560 3 7.520,0 8.000,0 6.368 8.192 1.002,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.032 3 8.010,0 7.872,0 6.880 9.280 1.206,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.208 3 7.402,0 8.032,0 5.568 8.608 1.614,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.448 3 5.482,0 5.536,0 4.224 6.688 1.232,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.456 3 7.818,0 8.320,0 6.272 8.864 1.366,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.640 3 5.546,0 5.568,0 4.288 6.784 1.248,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.256 3 5.418,0 5.472,0 4.128 6.656 1.264,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.440,0 4.032 6.848 1.408,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.000 3 5.333,0 5.152,0 4.096 6.752 1.337,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.480 3 5.493,0 5.472,0 4.096 6.912 1.408,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.904 3 5.301,0 5.344,0 3.936 6.624 1.344,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.704 3 5.568,0 5.376,0 4.608 6.720 1.069,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.352 3 5.450,0 5.632,0 4.032 6.688 1.337,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.064 3 5.354,0 5.344,0 4.064 6.656 1.296,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.400 3 7.466,0 7.808,0 6.400 8.192 943,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.512 3 5.504,0 5.472,0 4.224 6.816 1.296,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.384 3 5.461,0 5.504,0 4.064 6.816 1.376,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.968 3 5.322,0 5.440,0 3.968 6.560 1.300,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.448 3 5.482,0 5.440,0 4.064 6.944 1.440,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.768 3 5.589,0 5.440,0 4.448 6.880 1.222,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.928 3 5.642,0 5.504,0 4.736 6.688 983,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.008 3 7.669,0 8.032,0 6.528 8.448 1.010,0 CUDA_KERNEL lud_internal(float *, int, int)
