0,0 130.976 4 32.744,0 32.112,0 31.168 35.584 1.946,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.784 4 32.696,0 31.872,0 31.264 35.776 2.075,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 139.296 4 34.824,0 34.032,0 33.088 38.144 2.258,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 143.584 4 35.896,0 34.448,0 34.240 40.448 3.037,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.048 4 32.512,0 31.552,0 31.360 35.584 2.051,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.000 4 34.000,0 32.944,0 32.800 37.312 2.210,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.600 4 32.400,0 31.456,0 31.136 35.552 2.112,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 138.752 4 34.688,0 33.680,0 33.152 38.240 2.382,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.664 4 32.416,0 31.552,0 31.168 35.392 1.992,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.824 4 32.456,0 31.552,0 31.136 35.584 2.117,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 146.560 4 36.640,0 35.472,0 35.456 40.160 2.346,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.304 4 32.576,0 31.648,0 31.136 35.872 2.249,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 134.912 4 33.728,0 32.720,0 32.288 37.184 2.326,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 147.808 4 36.952,0 35.872,0 35.648 40.416 2.313,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.472 4 32.368,0 31.568,0 31.136 35.200 1.918,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 135.744 4 33.936,0 32.752,0 32.736 37.504 2.378,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.544 4 34.136,0 33.056,0 32.832 37.600 2.317,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.552 4 32.888,0 31.968,0 31.456 36.160 2.195,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 133.984 4 33.496,0 32.608,0 32.096 36.672 2.144,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.104 4 32.776,0 32.112,0 31.136 35.744 2.032,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 143.008 4 35.752,0 34.864,0 34.432 38.848 2.079,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.472 4 32.368,0 31.472,0 31.232 35.296 1.958,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.640 4 34.160,0 33.024,0 32.768 37.824 2.450,0 CUDA_KERNEL lud_diagonal(float *, int, int)
