31,0 8.464.064 1 8.464.064,0 8.464.064,0 8.464.064 8.464.064 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
33,0 8.454.080 1 8.454.080,0 8.454.080,0 8.454.080 8.454.080 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.273.408 1 11.273.408,0 11.273.408,0 11.273.408 11.273.408 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.274.208 1 11.274.208,0 11.274.208,0 11.274.208 11.274.208 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
33,0 11.275.616 1 11.275.616,0 11.275.616,0 11.275.616 11.275.616 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
33,0 11.275.936 1 11.275.936,0 11.275.936,0 11.275.936 11.275.936 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.275.104 1 11.275.104,0 11.275.104,0 11.275.104 11.275.104 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
33,0 11.275.104 1 11.275.104,0 11.275.104,0 11.275.104 11.275.104 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
33,0 11.273.376 1 11.273.376,0 11.273.376,0 11.273.376 11.273.376 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.274.752 1 11.274.752,0 11.274.752,0 11.274.752 11.274.752 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.276.832 1 11.276.832,0 11.276.832,0 11.276.832 11.276.832 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.271.872 1 11.271.872,0 11.271.872,0 11.271.872 11.271.872 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.273.536 1 11.273.536,0 11.273.536,0 11.273.536 11.273.536 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.275.648 1 11.275.648,0 11.275.648,0 11.275.648 11.275.648 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.272.768 1 11.272.768,0 11.272.768,0 11.272.768 11.272.768 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.276.672 1 11.276.672,0 11.276.672,0 11.276.672 11.276.672 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.275.872 1 11.275.872,0 11.275.872,0 11.275.872 11.275.872 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.276.896 1 11.276.896,0 11.276.896,0 11.276.896 11.276.896 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.275.456 1 11.275.456,0 11.275.456,0 11.275.456 11.275.456 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.274.784 1 11.274.784,0 11.274.784,0 11.274.784 11.274.784 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
33,0 11.276.320 1 11.276.320,0 11.276.320,0 11.276.320 11.276.320 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.274.336 1 11.274.336,0 11.274.336,0 11.274.336 11.274.336 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
34,0 12.687.040 1 12.687.040,0 12.687.040,0 12.687.040 12.687.040 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 8.453.856 1 8.453.856,0 8.453.856,0 8.453.856 8.453.856 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 8.454.656 1 8.454.656,0 8.454.656,0 8.454.656 8.454.656 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
30,0 11.271.744 1 11.271.744,0 11.271.744,0 11.271.744 11.271.744 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
39,0 12.625.312 1 12.625.312,0 12.625.312,0 12.625.312 12.625.312 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.276.000 1 11.276.000,0 11.276.000,0 11.276.000 11.276.000 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
37,0 8.557.184 1 8.557.184,0 8.557.184,0 8.557.184 8.557.184 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
38,0 24.982.688 1 24.982.688,0 24.982.688,0 24.982.688 24.982.688 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
34,0 11.272.448 1 11.272.448,0 11.272.448,0 11.272.448 11.272.448 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
35,0 8.454.336 1 8.454.336,0 8.454.336,0 8.454.336 8.454.336 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
33,0 6.856.416 1 6.856.416,0 6.856.416,0 6.856.416 6.856.416 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
33,0 11.273.248 1 11.273.248,0 11.273.248,0 11.273.248 11.273.248 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.274.944 1 11.274.944,0 11.274.944,0 11.274.944 11.274.944 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
29,0 6.844.352 1 6.844.352,0 6.844.352,0 6.844.352 6.844.352 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
35,0 8.454.496 1 8.454.496,0 8.454.496,0 8.454.496 8.454.496 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
33,0 11.274.432 1 11.274.432,0 11.274.432,0 11.274.432 11.274.432 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
35,0 11.273.408 1 11.273.408,0 11.273.408,0 11.273.408 11.273.408 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.272.864 1 11.272.864,0 11.272.864,0 11.272.864 11.272.864 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
34,0 11.274.592 1 11.274.592,0 11.274.592,0 11.274.592 11.274.592 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
34,0 11.273.952 1 11.273.952,0 11.273.952,0 11.273.952 11.273.952 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.273.408 1 11.273.408,0 11.273.408,0 11.273.408 11.273.408 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.271.456 1 11.271.456,0 11.271.456,0 11.271.456 11.271.456 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.274.368 1 11.274.368,0 11.274.368,0 11.274.368 11.274.368 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.272.448 1 11.272.448,0 11.272.448,0 11.272.448 11.272.448 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.275.104 1 11.275.104,0 11.275.104,0 11.275.104 11.275.104 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.277.760 1 11.277.760,0 11.277.760,0 11.277.760 11.277.760 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.274.176 1 11.274.176,0 11.274.176,0 11.274.176 11.274.176 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
31,0 11.275.552 1 11.275.552,0 11.275.552,0 11.275.552 11.275.552 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.275.136 1 11.275.136,0 11.275.136,0 11.275.136 11.275.136 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
33,0 11.276.768 1 11.276.768,0 11.276.768,0 11.276.768 11.276.768 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
32,0 11.274.176 1 11.274.176,0 11.274.176,0 11.274.176 11.274.176 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
