      1,0        2.346.208          1   2.346.208,0  2.346.208,0  2.346.208    2.346.208           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          481.504          1     481.504,0    481.504,0    481.504      481.504           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.963.264          1   1.963.264,0  1.963.264,0  1.963.264    1.963.264           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          400.928          1     400.928,0    400.928,0    400.928      400.928           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.950.304          1   1.950.304,0  1.950.304,0  1.950.304    1.950.304           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          398.656          1     398.656,0    398.656,0    398.656      398.656           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        3.887.968          1   3.887.968,0  3.887.968,0  3.887.968    3.887.968           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          733.504          1     733.504,0    733.504,0    733.504      733.504           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.978.272          1   1.978.272,0  1.978.272,0  1.978.272    1.978.272           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          413.216          1     413.216,0    413.216,0    413.216      413.216           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        2.092.480          1   2.092.480,0  2.092.480,0  2.092.480    2.092.480           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          417.184          1     417.184,0    417.184,0    417.184      417.184           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        1.964.672          1   1.964.672,0  1.964.672,0  1.964.672    1.964.672           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          406.496          1     406.496,0    406.496,0    406.496      406.496           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        2.057.120          1   2.057.120,0  2.057.120,0  2.057.120    2.057.120            0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          707.008          1     707.008,0    707.008,0    707.008      707.008            0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.968.160          1   1.968.160,0  1.968.160,0  1.968.160    1.968.160           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          412.320          1     412.320,0    412.320,0    412.320      412.320           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        3.879.360          1   3.879.360,0  3.879.360,0  3.879.360    3.879.360           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          761.856          1     761.856,0    761.856,0    761.856      761.856           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.965.632          1   1.965.632,0  1.965.632,0  1.965.632    1.965.632           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          384.320          1     384.320,0    384.320,0    384.320      384.320           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.966.208          1   1.966.208,0  1.966.208,0  1.966.208    1.966.208           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          405.760          1     405.760,0    405.760,0    405.760      405.760           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.912.608          1   2.912.608,0  2.912.608,0  2.912.608    2.912.608           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          547.136          1     547.136,0    547.136,0    547.136      547.136           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        2.103.456          1   2.103.456,0  2.103.456,0  2.103.456    2.103.456           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          763.584          1     763.584,0    763.584,0    763.584      763.584           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        1.986.240          1   1.986.240,0  1.986.240,0  1.986.240    1.986.240           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          472.960          1     472.960,0    472.960,0    472.960      472.960           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.822.720          1   2.822.720,0  2.822.720,0  2.822.720    2.822.720           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          396.832          1     396.832,0    396.832,0    396.832      396.832           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        1.963.872          1   1.963.872,0  1.963.872,0  1.963.872    1.963.872           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
