     45,0       61.944.544        100     619.445,0     737.504,0     357.536     845.184    192.783,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       70.235.584        100     702.355,0     726.352,0     348.320     768.096     96.029,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       67.478.656        100     674.786,0     729.216,0     355.232     799.712    138.578,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       39.643.488        100     396.434,0     395.616,0     393.472     471.456      7.632,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       69.907.744        100     699.077,0     743.760,0     349.376     778.848    129.711,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       32.171.968        100     321.719,0     320.112,0     317.312     420.032     10.222,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       64.924.864        100     649.248,0     722.592,0     347.648     796.704    164.310,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       31.104.032        100     311.040,0     310.864,0     306.208     377.280      7.093,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       35.162.912        100     351.629,0     350.880,0     348.128     424.640      7.530,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       38.822.816        100     388.228,0     311.456,0     308.448   2.000.960    314.686,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       54.208.096        100     542.081,0     396.032,0     316.704   3.367.648    550.685,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       48.435.744        100     484.357,0     396.752,0     320.832   2.901.184    406.140,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       38.481.792        100     384.817,0     395.232,0     317.504     461.088     26.942,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       31.335.584        100     313.355,0     312.544,0     309.760     378.336      6.702,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       39.546.272        100     395.462,0     394.848,0     392.544     460.032      6.656,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       33.770.080        100     337.700,0     310.816,0     307.936   2.111.744    197.659,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       31.097.056        100     310.970,0     310.128,0     306.720     382.432      7.415,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     42,0       31.089.824        100     310.898,0     310.592,0     307.712     354.656      4.538,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       30.959.648        100     309.596,0     308.944,0     306.400     375.168      6.722,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       39.052.032        100     390.520,0     396.752,0     321.440     457.760     21.413,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       38.439.296        100     384.393,0     394.352,0     348.192     463.552     20.489,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       50.322.880        100     503.228,0     396.800,0     394.496   3.533.312    430.602,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       42.861.344        100     428.613,0     395.856,0     318.432   2.783.456    272.579,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     46,0       74.885.280        100     748.852,0     767.888,0     356.256   4.396.480    656.509,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
