     37,0      877.360.352      3.900  224.964,0  217.888,0   173.216    414.656     56.527,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     42,0      919.197.376      3.900  235.691,0  214.320,0   172.832    417.472     57.351,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     24,0      704.733.088      3.900  180.700,0  179.712,0   172.672     222.720      6.071,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      963.443.968      3.900  247.036,0  227.616,0   173.568    419.360     58.467,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0      845.952.704      3.900  216.910,0  185.344,0   173.376    418.816     50.261,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     17,0      711.097.728      3.900  182.332,0  180.128,0   175.744    223.072      5.705,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      944.096.832      3.900  242.076,0  218.736,0   172.768    419.136     58.272,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      924.351.872      3.900  237.013,0  216.304,0   173.184    420.576     55.968,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     14,0      807.033.824      3.900  206.931,0  210.528,0   178.048    239.840     13.000,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     39,0      730.691.104      3.900  187.356,0  178.176,0   173.728    418.880     33.949,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      841.445.824      3.900  215.755,0  179.808,0   172.960     420.896     63.373,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      906.375.584      3.900  232.404,0  211.744,0   173.568    420.704     59.451,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      904.700.992      3.900  231.974,0  218.256,0   173.280    419.872     55.919,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33,0      854.493.568      3.900  219.100,0  210.624,0   172.928      410.368     54.971,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     38,0      722.122.528      3.900  185.159,0  177.440,0   173.056    256.192     14.018,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     39,0      821.551.808      3.900  210.654,0  178.464,0   174.176    420.416     66.159,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     19,0      797.538.880      3.900  204.497,0  207.328,0   177.184    237.024     12.055,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     39,0      887.456.992      3.900  227.553,0  211.712,0   172.992    420.544     53.991,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     39,0      698.827.872      3.900  179.186,0  177.056,0   172.480    222.976      5.542,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     17,0      716.559.200      3.900    183.733,0    180.000,0    176.224    309.760     12.878,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      908.057.344      3.900  232.835,0  215.616,0   173.024    420.448     53.683,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     42,0      994.170.624      3.900  254.915,0  235.056,0   173.248    419.936     57.832,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      932.112.800      3.900  239.003,0  225.376,0   173.440    411.296     54.112,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     15,0      763.228.192      3.900  195.699,0  186.032,0   176.736    239.776     16.072,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     13,0      711.073.088      3.900  182.326,0  180.096,0   176.320    228.640      5.685,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     19,0      828.751.296      3.900  212.500,0  180.480,0   176.320    414.656     64.766,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     16,0      753.563.328      3.900  193.221,0  182.704,0   176.256  2.422.592     39.092,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     19,0      800.622.464      3.900  205.287,0  208.192,0   177.024    240.064     12.476,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      955.594.336      3.900  245.024,0  216.576,0   173.056    411.488     62.628,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      984.822.176      3.900  252.518,0  229.168,0   172.960    408.672     56.648,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     21,0      727.926.912      3.900  186.647,0  180.320,0   173.408    238.944     13.833,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      905.680.352      3.900  232.225,0  211.616,0   172.896    420.352     58.100,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     17,0      710.029.248      3.900  182.058,0  179.872,0   176.544    222.464      5.677,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     39,0      784.524.000      3.900  201.160,0  177.120,0   172.928     423.904     57.411,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      916.295.840      3.900  234.947,0  218.432,0   173.120    406.624     53.304,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     13,0      711.497.088      3.900  182.435,0  180.224,0   176.832    228.352      5.666,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      698.725.184      3.900  179.160,0  177.024,0   172.672    220.544      5.581,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0      927.993.408      3.900  237.947,0  211.968,0   173.376    419.136     59.935,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      989.402.208      3.900  253.692,0  225.568,0   205.216    422.784     54.086,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      919.190.272      3.900  235.689,0  212.784,0   173.216    416.704     56.854,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      901.071.008      3.900  231.043,0  211.712,0   173.184    419.776     54.637,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      698.058.144      3.900  178.989,0  176.864,0   172.640    223.392      5.567,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     17,0      710.386.272      3.900  182.150,0  179.936,0   175.936    224.032      5.744,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     17,0      715.754.688      3.900  183.526,0  180.224,0   176.448  3.048.128     46.353,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      896.976.128      3.900  229.993,0  211.776,0   173.600    420.512     52.655,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0      699.474.016      3.900  179.352,0  176.992,0   173.056    222.816      5.689,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     14,0      807.344.256      3.900  207.011,0  210.688,0   177.152    241.568     13.029,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     23,0      752.048.032      3.900  192.832,0  180.400,0   175.040    306.528     23.519,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     39,0      892.947.168      3.900  228.960,0  218.752,0   173.056    419.776     48.636,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      918.162.560      3.900  235.426,0  215.248,0   173.152    411.552     53.657,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      698.482.336      3.900  179.098,0  176.992,0   173.120    224.608      5.548,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     22,0      771.294.016      3.900  197.767,0  207.264,0   173.312    241.568     16.388,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      943.536.800      3.900  241.932,0  216.640,0   173.408    417.504     57.952,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      919.954.112      3.900  235.885,0  212.512,0   172.736    419.584     64.517,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     38,0      877.292.384      3.900  224.946,0  215.216,0   172.800    414.432     45.772,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     16,0      806.917.216      3.900  206.901,0  210.192,0   176.608    290.784     14.334,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     16,0      711.432.640      3.900  182.418,0  180.000,0   176.000    233.216      6.208,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
