3,0 9.333.568 2 4.666.784,0 4.666.784,0 1.872.352 7.461.216 3.951.923,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.297.088 2 4.648.544,0 4.648.544,0 1.873.312 7.423.776 3.924.770,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.331.840 2 4.665.920,0 4.665.920,0 1.883.776 7.448.064 3.934.545,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.322.688 2 4.661.344,0 4.661.344,0 1.888.768 7.433.920 3.921.014,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.320.576 2 4.660.288,0 4.660.288,0 1.868.000 7.452.576 3.948.891,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.391.744 2 3.695.872,0 3.695.872,0 1.872.640 5.519.104 2.578.439,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.352.928 2 4.676.464,0 4.676.464,0 1.884.224 7.468.704 3.948.823,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.338.816 2 4.669.408,0 4.669.408,0 1.882.304 7.456.512 3.941.560,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.374.912 2 3.687.456,0 3.687.456,0 1.862.432 5.512.480 2.580.973,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.335.776 2 4.667.888,0 4.667.888,0 1.861.504 7.474.272 3.968.826,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.321.376 2 4.660.688,0 4.660.688,0 1.873.056 7.448.320 3.942.307,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.336.096 2 4.668.048,0 4.668.048,0 1.862.688 7.473.408 3.967.378,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.312.704 2 4.656.352,0 4.656.352,0 1.859.424 7.453.280 3.955.453,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.386.048 2 3.693.024,0 3.693.024,0 1.868.864 5.517.184 2.579.751,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.316.032 2 4.658.016,0 4.658.016,0 1.869.312 7.446.720 3.943.823,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.401.856 2 3.700.928,0 3.700.928,0 1.873.472 5.528.384 2.584.413,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.319.648 2 4.659.824,0 4.659.824,0 1.861.984 7.457.664 3.956.743,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
