3,0 7.975.296 100 79.753,0 60.320,0 53.824 115.104 23.213,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.207.488 100 102.074,0 106.896,0 59.392 112.704 14.226,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.573.024 100 85.730,0 103.072,0 53.344 113.728 23.826,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.730.848 100 77.308,0 60.832,0 52.576 112.064 24.079,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.129.408 100 81.294,0 60.672,0 59.136 114.752 23.196,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.793.152 100 77.931,0 60.720,0 52.768 114.624 24.777,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 10.120.608 100 101.206,0 106.800,0 59.872 112.800 15.126,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.841.824 100 78.418,0 61.056,0 53.632 117.120 24.721,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.112.736 100 81.127,0 60.944,0 52.832 113.856 24.510,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 10.705.056 100 107.050,0 107.024,0 104.256 113.312 1.247,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 10.697.824 100 106.978,0 107.072,0 102.496 112.704 1.466,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.742.720 100 107.427,0 107.200,0 104.448 114.432 1.354,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.709.824 100 87.098,0 103.072,0 55.712 115.008 23.248,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.540.448 100 105.404,0 107.120,0 73.920 114.304 7.231,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.446.208 100 74.462,0 60.320,0 52.736 113.184 23.954,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.712.896 100 77.129,0 60.496,0 53.248 116.384 24.437,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.481.952 100 84.819,0 102.592,0 52.992 114.304 24.326,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.592.064 100 85.920,0 103.520,0 53.120 129.600 24.029,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.157.536 100 101.575,0 106.976,0 59.168 114.560 14.760,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.919.168 100 99.191,0 106.704,0 59.072 111.904 17.246,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 10.584.352 100 105.843,0 107.088,0 59.680 115.392 6.771,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.285.216 100 52.852,0 52.736,0 51.744 57.760 736,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 7.977.440 100 79.774,0 60.848,0 53.056 116.608 24.681,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.725.824 100 87.258,0 103.600,0 56.960 113.376 23.060,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.259.680 100 52.596,0 52.480,0 51.360 57.504 635,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.681.024 100 86.810,0 104.112,0 52.416 115.520 23.800,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 7.877.312 100 78.773,0 60.464,0 53.184 112.640 24.362,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.233.312 100 82.333,0 60.960,0 56.704 113.888 23.751,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.436.480 100 84.364,0 102.592,0 53.344 113.664 23.741,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 7.693.056 100 76.930,0 59.024,0 53.280 113.696 24.731,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 7.501.408 100 75.014,0 60.336,0 53.120 113.504 23.322,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 10.727.328 100 107.273,0 107.232,0 104.064 113.920 1.113,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.007.168 100 80.071,0 60.800,0 59.392 115.200 22.875,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.806.400 100 88.064,0 102.960,0 64.480 114.624 20.689,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.254.464 100 52.544,0 52.480,0 51.296 60.448 919,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 7.749.920 100 77.499,0 60.112,0 53.120 110.432 24.509,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.687.968 100 76.879,0 60.272,0 53.152 113.920 24.629,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.609.344 100 56.093,0 54.528,0 53.088 68.256 2.792,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.743.360 100 107.433,0 107.456,0 102.880 114.432 1.251,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.810.176 100 78.101,0 60.400,0 52.768 112.288 24.456,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.766.880 100 67.668,0 54.624,0 51.232 112.960 22.622,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.937.568 100 99.375,0 107.488,0 59.808 115.456 18.338,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.619.072 100 86.190,0 102.848,0 56.768 113.984 23.965,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.507.584 100 75.075,0 59.984,0 57.056 114.624 22.600,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.726.880 100 107.268,0 107.184,0 104.992 113.088 1.119,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.425.152 100 94.251,0 106.160,0 59.232 112.544 20.521,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.331.360 100 83.313,0 102.112,0 53.152 114.560 24.444,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.086.624 100 80.866,0 60.624,0 58.048 113.024 23.238,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.106.176 100 81.061,0 60.736,0 52.704 116.864 24.857,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.314.944 100 83.149,0 101.680,0 53.184 114.656 25.033,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.633.088 100 86.330,0 104.848,0 53.600 115.136 23.823,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.459.840 100 74.598,0 60.048,0 53.056 110.880 23.969,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 7.886.848 100 78.868,0 60.624,0 53.408 112.608 24.614,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.834.144 100 98.341,0 106.368,0 58.592 112.608 17.370,0 CUDA_KERNEL prepare(long, float *, float *, float *)
5,0 10.727.968 100 107.279,0 107.584,0 101.792 114.144 2.981,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.360.928 100 93.609,0 106.560,0 56.288 119.456 21.721,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.562.592 100 75.625,0 60.512,0 52.864 112.160 24.146,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.846.048 100 98.460,0 106.848,0 58.176 113.216 18.587,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.371.168 100 83.711,0 102.976,0 53.088 112.960 24.519,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.983.104 100 79.831,0 60.576,0 52.736 114.048 24.577,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.397.696 100 93.977,0 105.968,0 59.008 112.704 20.905,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 10.744.896 100 107.449,0 107.232,0 105.088 112.864 1.225,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.695.264 100 76.952,0 60.096,0 55.520 114.624 23.512,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.230.112 100 82.301,0 61.056,0 53.184 112.608 24.635,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 7.635.328 100 76.353,0 60.288,0 52.896 112.512 24.426,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.106.592 100 81.065,0 61.056,0 52.768 116.704 24.681,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.108.512 100 81.085,0 60.928,0 53.344 114.176 25.017,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.284.928 100 102.849,0 111.104,0 60.544 119.360 19.678,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 7.892.800 100 78.928,0 60.864,0 53.568 116.992 26.069,0 CUDA_KERNEL prepare(long, float *, float *, float *)
