0,0 9.906.272 1.023 9.683,0 9.376,0 7.008 32.928 2.540,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.855.712 1.023 14.521,0 16.192,0 7.936 27.232 3.332,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.191.488 1.023 10.939,0 9.504,0 6.880 27.232 3.703,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.858.112 1.023 10.614,0 9.600,0 6.944 26.720 3.214,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.689.568 1.023 10.449,0 10.784,0 6.912 25.984 2.852,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.976.864 1.023 10.730,0 10.848,0 7.136 28.768 2.680,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.765.600 1.023 17.366,0 17.984,0 11.136 26.048 2.055,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.643.648 1.023 11.381,0 11.936,0 6.752 29.920 2.076,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.074.912 1.023 10.825,0 9.440,0 6.880 26.560 3.803,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.356.160 1.023 13.055,0 12.640,0 7.552 27.904 3.779,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.016.640 1.023 11.746,0 9.568,0 6.976 29.696 4.252,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.569.472 1.023 14.241,0 17.664,0 6.912 27.264 4.603,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.400.544 1.023 13.099,0 12.800,0 6.880 33.024 4.660,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.235.168 1.023 14.892,0 17.280,0 7.232 29.952 4.236,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.434.880 1.023 10.200,0 9.344,0 6.816 58.528 3.548,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.901.120 1.023 9.678,0 9.344,0 6.880 35.072 2.484,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.308.992 1.023 11.054,0 10.944,0 6.752 27.072 2.767,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.961.440 1.023 12.670,0 11.008,0 6.912 35.072 4.151,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.199.840 1.023 10.948,0 9.504,0 6.784 28.960 3.667,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.715.520 1.023 10.474,0 9.472,0 6.688 27.168 3.380,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.458.464 1.023 13.155,0 12.704,0 7.008 33.184 3.367,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.197.504 1.023 10.945,0 9.472,0 6.816 26.752 3.523,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.363.488 1.023 10.130,0 9.440,0 6.688 30.336 2.918,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.832.544 1.023 13.521,0 12.704,0 6.720 36.512 4.362,0 CUDA_KERNEL Fan1(float *, float *, int, int)
