31,0 1.024.974.720 1.023 1.001.930,0 843.776,0 782.240 2.082.848 345.575,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
29,0 1.030.674.784 1.023 1.007.502,0 846.784,0 785.184 2.074.048 338.384,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.387.225.792 1.023 1.356.036,0 1.304.000,0 786.848 2.049.024 484.852,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.005.103.328 1.023 982.505,0 846.848,0 780.736 2.059.648 291.360,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
29,0 1.304.487.872 1.023 1.275.159,0 1.017.440,0 785.920 2.067.712 423.996,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
32,0 1.051.728.448 1.023 1.028.082,0 845.312,0 787.584 2.021.856 342.873,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.008.343.520 1.023 985.673,0 846.112,0 784.192 2.083.104 302.540,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 995.786.880 1.023 973.398,0 845.056,0 785.920 2.121.120 315.165,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.596.141.344 1.023 1.560.255,0 1.646.816,0 942.400 2.158.080 363.610,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.129.384.736 1.023 1.103.992,0 845.312,0 786.304 2.086.528 432.689,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.050.310.976 1.023 1.026.696,0 846.336,0 786.272 1.967.072 345.639,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
32,0 1.104.130.976 1.023 1.079.306,0 1.018.656,0 785.760 2.051.616 351.943,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
32,0 1.081.663.360 1.023 1.057.344,0 1.004.736,0 793.312 2.066.528 296.119,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
34,0 1.762.387.584 1.023 1.722.764,0 1.661.312,0 1.158.400 2.092.096 167.663,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.101.331.584 1.023 1.076.570,0 1.056.224,0 783.776 2.062.016 201.701,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.112.521.600 1.023 1.087.508,0 844.736,0 784.640 2.114.560 437.844,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.391.441.344 1.023 1.360.157,0 1.241.888,0 934.720 2.098.592 404.542,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.232.167.584 1.023 1.204.464,0 842.720,0 786.976 2.102.688 502.732,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.474.447.040 1.023 1.441.297,0 1.658.752,0 782.240 2.074.528 460.370,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.356.024.736 1.023 1.325.537,0 1.245.856,0 783.840 2.119.552 496.465,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
34,0 1.512.020.608 1.023 1.478.026,0 1.647.360,0 849.984 2.067.168 372.449,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.061.260.576 1.023 1.037.400,0 846.208,0 784.288 2.124.704 401.649,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.003.577.952 1.023 981.014,0 844.256,0 784.960 2.148.480 312.556,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.167.581.664 1.023 1.141.331,0 1.020.288,0 785.728 2.024.736 350.122,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.318.839.680 1.023 1.289.188,0 1.063.040,0 784.160 2.151.488 445.191,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.130.295.264 1.023 1.104.883,0 843.104,0 783.232 2.070.432 421.197,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.080.659.712 1.023 1.056.363,0 844.800,0 786.752 2.081.792 396.597,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.421.676.448 1.023 1.389.713,0 1.247.712,0 788.096 2.123.424 354.903,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
29,0 1.132.317.600 1.023 1.106.859,0 843.136,0 781.216 2.048.512 420.214,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.036.065.664 1.023 1.012.771,0 844.992,0 784.224 2.081.408 340.880,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.438.768.416 1.023 1.406.420,0 1.247.648,0 782.272 2.148.224 468.145,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.081.803.744 1.023 1.057.481,0 844.128,0 784.832 2.008.192 380.024,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
29,0 1.433.648.576 1.023 1.401.416,0 1.247.264,0 1.174.176 2.133.504 298.719,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.169.028.448 1.023 1.142.745,0 842.560,0 786.112 2.068.384 440.933,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.173.985.216 1.023 1.147.590,0 1.006.208,0 784.736 1.992.288 385.920,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
29,0 1.769.502.944 1.023 1.729.719,0 1.676.736,0 1.176.096 2.145.632 213.888,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.229.578.624 1.023 1.201.934,0 1.004.704,0 942.080 2.075.200 353.918,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.057.942.464 1.023 1.034.156,0 854.912,0 792.384 2.038.400 350.199,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
32,0 1.265.850.688 1.023 1.237.390,0 843.936,0 787.488 2.132.960 518.977,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
27,0 1.044.970.432 1.023 1.021.476,0 991.264,0 780.640 2.078.592 173.425,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.026.882.016 1.023 1.003.794,0 1.003.136,0 783.040 1.373.888 147.091,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.205.446.560 1.023 1.178.344,0 1.086.784,0 783.136 2.053.888 409.955,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.019.947.840 1.023 997.016,0 846.624,0 785.632 2.070.112 301.245,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.198.666.912 1.023 1.171.717,0 1.238.208,0 787.232 2.035.488 342.864,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.556.561.056 1.023 1.521.565,0 1.247.456,0 1.173.408 2.146.144 353.442,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.038.796.544 1.023 1.015.441,0 846.816,0 785.856 2.077.600 322.629,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.064.899.072 1.023 1.040.957,0 845.664,0 784.320 2.110.560 381.255,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.214.199.488 1.023 1.186.900,0 1.050.944,0 786.432 2.089.824 447.083,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 995.257.984 1.023 972.881,0 845.760,0 785.216 2.124.736 316.756,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
29,0 1.013.813.536 1.023 991.020,0 846.080,0 785.856 1.946.720 286.235,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
32,0 1.294.220.352 1.023 1.265.122,0 1.016.800,0 786.848 2.135.712 471.940,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.093.707.584 1.023 1.069.117,0 843.648,0 788.000 1.963.456 338.095,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.786.634.432 1.023 1.746.465,0 1.667.904,0 1.312.800 2.129.536 161.260,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.372.578.272 1.023 1.341.718,0 1.240.416,0 940.928 2.079.008 368.728,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.155.855.168 1.023 1.129.868,0 842.848,0 782.752 2.026.944 432.049,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.102.811.264 1.023 1.078.016,0 845.152,0 784.672 2.094.144 428.969,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.263.654.944 1.023 1.235.244,0 856.800,0 784.832 2.154.816 509.464,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.028.185.408 1.023 1.005.068,0 846.016,0 786.016 2.039.872 353.350,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
32,0 1.365.253.088 1.023 1.334.558,0 1.050.944,0 952.800 2.092.640 425.912,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.008.339.360 1.023 985.669,0 845.376,0 784.864 2.122.912 320.847,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.070.660.544 1.023 1.046.589,0 844.160,0 784.992 2.023.808 381.554,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.429.809.792 1.023 1.397.663,0 1.247.072,0 786.592 2.135.520 502.645,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
32,0 1.583.947.552 1.023 1.548.335,0 1.659.296,0 1.154.752 2.087.232 324.838,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.579.030.368 1.023 1.543.529,0 1.624.448,0 1.042.688 2.071.232 266.669,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.161.786.368 1.023 1.135.666,0 1.001.952,0 786.912 2.142.336 412.402,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 990.349.728 1.023 968.083,0 846.592,0 786.112 2.123.168 308.155,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.007.957.184 1.023 985.295,0 846.784,0 786.112 2.019.776 305.175,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.099.887.040 1.023 1.075.158,0 846.496,0 785.440 2.072.736 418.003,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.005.821.984 1.023 983.208,0 845.568,0 784.864 2.120.736 317.023,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.119.034.240 1.023 1.093.875,0 843.552,0 784.224 1.994.688 404.893,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.790.408.928 1.023 1.750.155,0 1.671.104,0 1.310.720 2.132.256 161.299,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
28,0 1.043.737.184 1.023 1.020.271,0 1.016.896,0 817.312 1.215.008 136.589,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.038.804.096 1.023 1.015.448,0 845.184,0 787.296 2.149.696 380.655,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.737.854.560 1.023 1.698.782,0 1.656.608,0 1.140.352 2.048.320 184.570,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
29,0 1.011.613.184 1.023 988.869,0 845.632,0 784.992 2.125.696 344.750,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
32,0 1.087.131.200 1.023 1.062.689,0 844.160,0 784.416 2.095.584 385.500,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.150.256.832 1.023 1.124.395,0 845.440,0 784.800 2.083.040 443.890,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.062.189.792 1.023 1.038.308,0 845.600,0 783.200 1.959.360 351.090,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.054.272.480 1.023 1.030.569,0 847.104,0 785.408 2.131.616 395.462,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.010.731.648 1.023 988.007,0 845.024,0 785.600 2.120.032 322.674,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.064.156.064 1.023 1.040.230,0 856.768,0 786.208 1.989.152 326.866,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.103.011.616 1.023 1.078.212,0 845.344,0 784.192 2.145.696 395.550,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.038.339.936 1.023 1.014.995,0 844.800,0 787.872 2.073.760 335.125,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.752.863.552 1.023 1.713.454,0 1.659.616,0 1.160.768 2.073.440 173.538,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.015.030.496 1.023 992.209,0 846.496,0 783.872 2.128.736 335.857,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
