3,0 677.779.680 6.000 112.963,0 109.312,0 104.960 349.056 23.055,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 685.078.400 6.000 114.179,0 112.576,0 105.344 360.096 20.642,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 684.052.896 6.000 114.008,0 111.200,0 105.408 370.368 25.112,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 673.027.968 6.000 112.171,0 109.536,0 104.928 356.032 21.811,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 696.427.328 6.000 116.071,0 110.752,0 106.304 352.704 32.000,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 676.396.416 6.000 112.732,0 109.408,0 104.160 354.912 25.598,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 676.575.872 6.000 112.762,0 109.632,0 104.800 361.504 25.483,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 700.616.256 6.000 116.769,0 110.560,0 106.016 363.264 30.948,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 678.073.248 6.000 113.012,0 109.920,0 105.472 359.840 24.749,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 694.855.776 6.000 115.809,0 111.360,0 106.944 357.952 29.016,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 671.504.448 6.000 111.917,0 108.608,0 104.224 364.640 25.233,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 678.060.064 6.000 113.010,0 109.856,0 105.984 359.968 24.568,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 679.416.416 6.000 113.236,0 109.920,0 104.608 358.112 24.641,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 677.878.080 6.000 112.979,0 109.952,0 104.864 357.184 23.750,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 700.915.648 6.000 116.819,0 112.992,0 105.248 350.560 28.242,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 692.351.456 6.000 115.391,0 110.560,0 104.384 371.840 25.330,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 676.687.776 6.000 112.781,0 109.408,0 104.576 360.032 24.596,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 686.486.816 6.000 114.414,0 110.624,0 104.672 361.600 25.092,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 714.942.080 6.000 119.157,0 109.504,0 104.864 356.512 42.904,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 745.856.672 6.000 124.309,0 115.104,0 111.328 358.560 40.145,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 693.956.192 6.000 115.659,0 111.296,0 105.824 359.232 24.990,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 682.561.440 6.000 113.760,0 111.648,0 106.336 361.376 21.049,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 703.483.488 6.000 117.247,0 114.848,0 104.960 2.230.272 36.916,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 740.668.224 6.000 123.444,0 114.464,0 110.176 355.712 39.841,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 680.766.720 6.000 113.461,0 109.952,0 105.312 354.304 26.921,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 676.780.000 6.000 112.796,0 109.664,0 104.224 357.056 25.009,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 684.292.480 6.000 114.048,0 112.512,0 105.408 359.424 20.546,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 692.991.456 6.000 115.498,0 110.112,0 105.536 354.144 28.474,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 678.493.024 6.000 113.082,0 109.888,0 104.608 364.896 23.805,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 675.322.528 6.000 112.553,0 109.408,0 104.352 363.904 26.168,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 672.743.872 6.000 112.124,0 108.992,0 104.192 352.928 23.532,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 685.889.504 6.000 114.314,0 110.656,0 106.016 354.656 26.820,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 704.203.264 6.000 117.367,0 111.168,0 105.024 353.984 31.962,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 681.876.576 6.000 113.646,0 110.176,0 105.568 2.467.648 39.023,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 681.455.552 6.000 113.575,0 109.728,0 105.216 364.832 28.204,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 683.299.040 6.000 113.883,0 110.752,0 104.800 356.768 25.395,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 701.005.728 6.000 116.834,0 113.888,0 105.408 360.128 21.947,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 676.586.944 6.000 112.764,0 109.056,0 104.544 355.712 26.497,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 673.219.360 6.000 112.203,0 109.280,0 104.928 355.584 21.343,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 678.251.328 6.000 113.041,0 110.784,0 103.968 1.858.208 31.069,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 682.642.848 6.000 113.773,0 111.232,0 105.952 357.312 23.122,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 687.780.320 6.000 114.630,0 111.392,0 104.832 383.872 25.340,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 675.711.776 6.000 112.618,0 109.344,0 104.288 353.856 27.201,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 692.207.456 6.000 115.367,0 109.376,0 105.312 368.192 32.603,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 681.361.248 6.000 113.560,0 109.888,0 104.352 370.016 26.847,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 673.839.008 6.000 112.306,0 110.368,0 103.584 359.872 21.541,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 749.393.312 6.000 124.898,0 111.232,0 104.768 2.457.472 54.147,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 710.375.008 6.000 118.395,0 111.392,0 104.160 2.467.968 46.265,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 687.986.336 6.000 114.664,0 108.032,0 104.800 358.240 35.474,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 681.550.752 6.000 113.591,0 110.336,0 104.288 2.426.496 36.185,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 677.445.632 6.000 112.907,0 109.680,0 104.736 361.440 25.757,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 695.151.936 6.000 115.858,0 111.776,0 104.608 357.696 29.577,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 714.379.232 6.000 119.063,0 110.368,0 105.312 357.856 40.649,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 670.885.920 6.000 111.814,0 108.704,0 104.544 357.216 20.756,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 672.616.992 6.000 112.102,0 108.864,0 104.896 352.032 24.089,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 668.234.560 6.000 111.372,0 108.224,0 104.096 356.992 24.575,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 689.270.656 6.000 114.878,0 109.632,0 104.672 356.576 25.940,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 689.139.104 6.000 114.856,0 109.984,0 104.960 355.744 27.296,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 670.773.472 6.000 111.795,0 108.832,0 104.608 355.168 22.292,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 695.474.880 6.000 115.912,0 113.824,0 105.440 356.832 25.172,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 677.339.648 6.000 112.889,0 109.984,0 104.384 359.008 22.752,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 680.896.896 6.000 113.482,0 110.304,0 105.312 357.184 26.037,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 677.756.544 6.000 112.959,0 109.216,0 104.448 358.304 27.124,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 677.984.928 6.000 112.997,0 110.848,0 105.344 354.112 20.687,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 692.086.112 6.000 115.347,0 110.880,0 106.336 352.704 28.008,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
