37,0 6.979.136.160 6.000 1.163.189,0 1.122.032,0 1.110.400 2.457.408 197.217,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.045.677.952 6.000 1.174.279,0 1.136.672,0 1.127.040 2.456.032 173.560,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.857.859.008 6.000 1.142.976,0 1.121.600,0 1.110.112 2.583.520 125.509,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.896.248.800 6.000 1.149.374,0 1.124.032,0 1.110.912 3.493.952 115.790,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.866.399.200 6.000 1.144.399,0 1.122.624,0 1.110.656 4.375.648 121.035,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.917.699.104 6.000 1.152.949,0 1.124.016,0 1.111.520 2.461.216 117.242,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.937.130.272 6.000 1.156.188,0 1.124.864,0 1.112.960 2.536.768 128.131,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.970.713.952 6.000 1.161.785,0 1.156.816,0 1.111.552 4.369.280 126.988,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.917.433.600 6.000 1.152.905,0 1.135.712,0 1.124.832 3.567.904 122.519,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.913.474.400 6.000 1.152.245,0 1.124.448,0 1.111.744 2.594.208 119.535,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.004.161.536 6.000 1.167.360,0 1.135.712,0 1.125.888 4.241.504 171.800,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.869.962.496 6.000 1.144.993,0 1.122.816,0 1.109.632 2.457.696 125.691,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.836.790.304 6.000 1.139.465,0 1.121.568,0 1.111.424 2.454.848 122.997,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.017.215.424 6.000 1.169.535,0 1.123.424,0 1.111.936 7.332.352 190.540,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.846.332.704 6.000 1.141.055,0 1.122.880,0 1.110.816 2.459.072 118.140,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.982.222.272 6.000 1.163.703,0 1.136.416,0 1.126.784 4.077.280 150.951,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.859.322.496 6.000 1.143.220,0 1.122.560,0 1.110.272 3.163.424 128.031,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.835.024.736 6.000 1.139.170,0 1.122.432,0 1.110.624 2.454.944 117.108,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.868.771.552 6.000 1.144.795,0 1.121.984,0 1.109.248 3.678.816 127.807,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.894.200.736 6.000 1.149.033,0 1.123.392,0 1.113.440 2.455.808 115.223,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.215.230.464 6.000 1.202.538,0 1.179.232,0 1.128.736 4.368.416 173.217,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.006.979.136 6.000 1.167.829,0 1.124.800,0 1.112.192 2.449.120 149.212,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.875.695.456 6.000 1.145.949,0 1.122.624,0 1.110.880 2.454.304 122.331,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.978.297.056 6.000 1.163.049,0 1.124.512,0 1.112.608 6.377.472 167.890,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.058.438.688 6.000 1.176.406,0 1.122.208,0 1.113.088 2.298.944 224.518,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.420.856.736 6.000 1.236.809,0 1.167.360,0 1.155.616 4.383.328 252.339,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.978.113.248 6.000 1.163.018,0 1.124.944,0 1.109.952 4.373.248 151.421,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.981.633.536 6.000 1.163.605,0 1.137.136,0 1.127.392 2.460.448 113.428,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.029.044.352 6.000 1.171.507,0 1.164.224,0 1.110.432 2.458.528 120.458,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.402.109.536 6.000 1.233.684,0 1.165.776,0 1.153.152 4.364.160 253.931,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.929.781.152 6.000 1.154.963,0 1.135.456,0 1.125.568 2.459.712 131.116,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
38,0 6.870.188.704 6.000 1.145.031,0 1.122.272,0 1.110.432 2.454.400 120.660,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.953.079.712 6.000 1.158.846,0 1.126.848,0 1.112.608 4.037.760 126.974,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.995.117.728 6.000 1.165.853,0 1.123.424,0 1.114.144 4.267.104 174.717,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.892.742.688 6.000 1.148.790,0 1.122.240,0 1.110.240 4.374.816 135.362,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.841.300.544 6.000 1.140.216,0 1.120.928,0 1.110.720 3.127.776 129.447,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.850.286.656 6.000 1.141.714,0 1.121.184,0 1.111.456 4.361.568 131.130,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.941.722.848 6.000 1.156.953,0 1.134.784,0 1.124.832 2.454.880 131.796,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.130.198.976 6.000 1.188.366,0 1.125.696,0 1.113.600 4.046.240 201.850,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.862.104.384 6.000 1.143.684,0 1.122.304,0 1.110.944 5.226.464 136.663,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.856.928.352 6.000 1.142.821,0 1.120.896,0 1.109.824 4.064.064 150.711,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.895.812.416 6.000 1.149.302,0 1.122.656,0 1.109.376 2.454.272 124.275,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.149.882.304 6.000 1.191.647,0 1.164.704,0 1.113.344 2.454.080 135.672,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.871.123.936 6.000 1.145.187,0 1.121.920,0 1.110.688 2.451.808 137.072,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.850.821.344 6.000 1.141.803,0 1.121.664,0 1.111.200 2.456.672 125.613,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.967.055.488 6.000 1.161.175,0 1.127.664,0 1.114.592 3.649.696 130.850,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.940.084.512 6.000 1.156.680,0 1.135.936,0 1.122.976 4.382.656 117.493,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.959.553.120 6.000 1.159.925,0 1.123.488,0 1.112.768 2.449.824 147.258,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.851.111.968 6.000 1.141.852,0 1.122.144,0 1.113.664 2.453.664 132.598,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.977.914.464 6.000 1.162.985,0 1.122.272,0 1.113.504 4.028.480 187.520,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.902.688.768 6.000 1.150.448,0 1.122.432,0 1.110.944 4.393.152 145.593,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.901.707.072 6.000 1.150.284,0 1.123.712,0 1.113.536 2.457.056 116.539,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.455.365.024 6.000 1.242.560,0 1.125.136,0 1.113.792 2.456.672 309.755,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.186.080.736 6.000 1.197.680,0 1.157.184,0 1.110.688 5.223.104 226.476,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.977.861.568 6.000 1.162.976,0 1.122.976,0 1.111.680 4.383.168 203.035,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.900.550.848 6.000 1.150.091,0 1.123.456,0 1.113.056 3.628.576 117.613,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.840.817.440 6.000 1.140.136,0 1.121.760,0 1.112.768 4.397.856 130.846,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.067.330.208 6.000 1.177.888,0 1.127.424,0 1.112.992 4.379.968 179.804,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.076.259.296 6.000 1.179.376,0 1.121.856,0 1.113.408 3.103.328 238.700,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.900.105.376 6.000 1.150.017,0 1.123.488,0 1.113.248 5.192.544 130.420,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.860.530.144 6.000 1.143.421,0 1.122.016,0 1.112.704 4.364.864 128.591,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.842.224.288 6.000 1.140.370,0 1.121.792,0 1.112.960 3.226.944 128.904,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.066.996.256 6.000 1.177.832,0 1.123.392,0 1.113.408 2.780.608 166.397,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.952.688.000 6.000 1.158.781,0 1.121.888,0 1.113.184 2.589.504 142.594,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.861.026.368 6.000 1.143.504,0 1.122.320,0 1.113.184 2.454.816 110.114,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.048.462.112 6.000 1.174.743,0 1.164.704,0 1.112.320 5.853.440 137.888,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.868.224.032 6.000 1.144.704,0 1.121.520,0 1.111.968 4.892.448 124.508,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.921.889.440 6.000 1.153.648,0 1.134.976,0 1.123.392 4.375.488 134.501,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.855.082.208 6.000 1.142.513,0 1.121.184,0 1.110.176 4.049.792 137.414,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.889.904.992 6.000 1.148.317,0 1.122.016,0 1.112.384 2.451.136 111.588,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.022.170.272 6.000 1.170.361,0 1.135.744,0 1.125.824 6.450.368 183.334,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.852.050.784 6.000 1.142.008,0 1.120.864,0 1.111.360 2.594.656 122.089,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.865.631.936 6.000 1.144.272,0 1.122.240,0 1.113.216 4.076.064 126.880,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
