0,0 166.385.856 2.000 83.192,0 81.216,0 79.968 205.856 11.461,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 164.368.736 2.000 82.184,0 80.448,0 79.520 205.920 11.228,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.371.264 2.000 84.685,0 80.864,0 79.584 202.976 14.275,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.099.712 2.000 82.549,0 80.800,0 79.552 204.448 10.849,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.803.136 2.000 84.901,0 82.080,0 81.088 204.128 13.319,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 164.888.704 2.000 82.444,0 80.608,0 79.360 204.352 11.298,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.247.424 2.000 82.623,0 80.960,0 79.936 205.632 10.701,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.592.096 2.000 82.796,0 80.864,0 79.648 205.568 10.904,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.223.104 2.000 84.611,0 81.376,0 80.256 202.560 10.319,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 180.827.808 2.000 90.413,0 89.344,0 80.864 205.856 13.550,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 172.149.440 2.000 86.074,0 81.120,0 79.808 204.832 12.460,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.210.176 2.000 83.105,0 81.024,0 79.776 206.592 11.425,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 170.924.608 2.000 85.462,0 81.024,0 79.872 203.104 12.151,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
