0,0 79.136 2 39.568,0 39.568,0 35.808 43.328 5.317,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 50.016 2 25.008,0 25.008,0 21.408 28.608 5.091,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.136 2 21.568,0 21.568,0 18.048 25.088 4.978,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.752 2 21.376,0 21.376,0 18.048 24.704 4.706,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.272 2 21.136,0 21.136,0 17.920 24.352 4.548,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.464 2 21.232,0 21.232,0 18.560 23.904 3.778,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.136 2 21.568,0 21.568,0 18.496 24.640 4.344,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.200 2 21.600,0 21.600,0 18.240 24.960 4.751,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.560 2 21.280,0 21.280,0 18.048 24.512 4.570,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.944 2 21.472,0 21.472,0 17.984 24.960 4.932,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.984 2 20.992,0 20.992,0 18.112 23.872 4.072,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.296 2 21.648,0 21.648,0 18.912 24.384 3.869,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 79.840 2 39.920,0 39.920,0 36.384 43.456 5.000,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.040 2 21.520,0 21.520,0 18.336 24.704 4.502,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.208 2 21.104,0 21.104,0 17.920 24.288 4.502,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.456 2 21.728,0 21.728,0 18.592 24.864 4.435,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.400 2 21.200,0 21.200,0 18.176 24.224 4.276,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.336 2 21.168,0 21.168,0 18.304 24.032 4.050,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 78.880 2 39.440,0 39.440,0 35.776 43.104 5.181,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.456 2 21.728,0 21.728,0 18.656 24.800 4.344,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.880 2 21.440,0 21.440,0 18.272 24.608 4.480,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.104 2 21.552,0 21.552,0 18.080 25.024 4.910,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 80.160 2 40.080,0 40.080,0 36.320 43.840 5.317,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.016 2 21.008,0 21.008,0 17.792 24.224 4.548,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
