4,0 137.600 4 34.400,0 33.056,0 32.224 39.264 3.266,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.960 4 64.240,0 62.416,0 62.112 70.016 3.853,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 137.888 4 34.472,0 32.640,0 32.608 40.000 3.685,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 148.064 4 37.016,0 35.296,0 34.720 42.752 3.834,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 138.944 4 34.736,0 32.768,0 32.672 40.736 4.001,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.080 4 34.520,0 32.928,0 32.256 39.968 3.666,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.792 4 64.448,0 62.464,0 62.112 70.752 4.205,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 139.232 4 34.808,0 32.928,0 32.640 40.736 3.954,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.208 4 34.552,0 33.184,0 32.224 39.616 3.406,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.024 4 64.256,0 62.144,0 62.048 70.688 4.289,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.088 4 64.272,0 62.240,0 62.016 70.592 4.215,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 146.752 4 36.688,0 34.528,0 34.304 43.392 4.474,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 146.272 4 36.568,0 34.640,0 33.984 43.008 4.311,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 137.216 4 34.304,0 32.400,0 32.288 40.128 3.883,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 152.544 4 38.136,0 35.968,0 35.872 44.736 4.400,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 146.048 4 36.512,0 34.416,0 34.016 43.200 4.467,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 138.144 4 34.536,0 32.768,0 32.192 40.416 3.948,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.720 4 34.680,0 33.056,0 32.224 40.384 3.825,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 137.696 4 34.424,0 32.624,0 32.512 39.936 3.675,0 CUDA_KERNEL lud_diagonal(float *, int, int)
