      1,0           25.376          3    8.458,0    8.448,0     7.264     9.664      1.200,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          146.720          4     36.680,0     34.416,0     34.208     43.680      4.667,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          125.024          3     41.674,0     40.800,0     39.360     44.864      2.854,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           29.248          3      9.749,0      9.696,0      8.256     11.296      1.520,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          147.776          4     36.944,0     35.136,0     34.400     43.104      4.128,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          125.056          3     41.685,0     41.024,0     38.848     45.184      3.219,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           29.376          3      9.792,0      9.792,0      8.192     11.392      1.600,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0          146.400          4     36.600,0     34.592,0     34.272     42.944      4.238,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          124.384          3     41.461,0     40.416,0     38.592     45.376      3.510,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           29.440          3      9.813,0      9.632,0      8.384     11.424      1.528,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          256.672          4     64.168,0     62.272,0     62.080     70.048      3.924,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.456          3     71.818,0     71.040,0     69.696     74.720      2.600,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           31.616          3     10.538,0     10.336,0      9.056     12.224      1.593,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0          138.048          4     34.512,0     32.608,0     32.352     40.480      3.981,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          117.632          3     39.210,0     38.336,0     37.344     41.952      2.425,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.424          3      7.808,0      7.648,0      6.528      9.248      1.367,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0          145.312          4     36.328,0     34.320,0     33.952     42.720      4.268,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          124.288          3     41.429,0     40.448,0     38.880     44.960      3.156,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           29.568          3      9.856,0      9.760,0      8.064     11.744      1.841,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          146.816          4     36.704,0     34.544,0     34.304     43.424      4.481,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          124.448          3     41.482,0     40.480,0     38.848     45.120      3.254,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           28.832          3      9.610,0      9.472,0      7.904     11.456      1.780,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          147.744          4     36.936,0     34.816,0     34.368     43.744      4.552,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          125.824          3     41.941,0     40.928,0     40.192     44.704      2.420,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           29.472          3      9.824,0      9.440,0      8.160     11.872      1.885,0  CUDA_KERNEL  lud_internal(float *, int, int) 
