1,0 25.152 3 8.384,0 7.712,0 6.880 10.560 1.929,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.976 3 10.325,0 11.168,0 8.192 11.616 1.861,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.544 3 8.181,0 7.936,0 6.368 10.240 1.947,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.320 3 8.106,0 8.000,0 6.784 9.536 1.379,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.912 3 10.304,0 10.336,0 8.288 12.288 2.000,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.296 3 7.765,0 7.744,0 6.560 8.992 1.216,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.840 3 7.946,0 8.128,0 6.624 9.088 1.242,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.624 3 10.208,0 10.528,0 8.160 11.936 1.908,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 31.904 3 10.634,0 10.528,0 9.184 12.192 1.506,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.312 3 9.770,0 9.440,0 8.064 11.808 1.893,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.928 3 9.642,0 9.632,0 7.936 11.360 1.712,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.096 3 8.032,0 7.840,0 6.848 9.408 1.290,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.152 3 9.717,0 9.568,0 8.032 11.552 1.764,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 28.832 3 9.610,0 9.504,0 7.936 11.392 1.730,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.128 3 8.042,0 7.936,0 6.656 9.536 1.443,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.096 3 8.032,0 7.968,0 6.848 9.280 1.217,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.960 3 8.320,0 7.936,0 6.624 10.400 1.917,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.840 3 7.946,0 7.872,0 6.752 9.216 1.233,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.128 3 8.042,0 7.968,0 6.720 9.440 1.361,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.984 3 9.994,0 10.240,0 7.968 11.776 1.915,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.480 3 8.160,0 8.000,0 6.848 9.632 1.398,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.184 3 9.728,0 9.600,0 8.224 11.360 1.571,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.688 3 10.229,0 10.400,0 8.064 12.224 2.085,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.032 3 8.010,0 7.680,0 6.880 9.472 1.327,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.160 3 8.053,0 8.064,0 6.624 9.472 1.424,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.312 3 9.770,0 9.344,0 8.000 11.968 2.018,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.312 3 9.770,0 9.792,0 7.968 11.552 1.792,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.776 3 7.925,0 7.936,0 6.592 9.248 1.328,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.632 3 9.877,0 9.600,0 8.160 11.872 1.871,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.120 3 9.706,0 9.632,0 8.192 11.296 1.553,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.952 3 9.984,0 10.272,0 8.064 11.616 1.793,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 31.328 3 10.442,0 10.336,0 9.184 11.808 1.315,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.528 3 10.176,0 10.048,0 8.832 11.648 1.412,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.152 3 9.717,0 9.600,0 7.968 11.584 1.810,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.800 3 8.266,0 8.000,0 6.560 10.240 1.854,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.416 3 8.138,0 8.288,0 6.464 9.664 1.605,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.904 3 7.968,0 7.904,0 6.688 9.312 1.313,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 31.136 3 10.378,0 10.528,0 8.896 11.712 1.413,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.808 3 7.936,0 7.680,0 6.880 9.248 1.204,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.064 3 8.021,0 7.808,0 6.720 9.536 1.420,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 34.112 3 11.370,0 11.168,0 9.824 13.120 1.657,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.552 3 7.850,0 7.776,0 6.592 9.184 1.297,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.920 3 9.973,0 10.208,0 8.096 11.616 1.771,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.632 3 9.877,0 9.632,0 8.160 11.840 1.852,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.032 3 8.010,0 8.000,0 6.560 9.472 1.456,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 28.800 3 9.600,0 9.632,0 7.936 11.232 1.648,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.904 3 7.968,0 8.224,0 6.400 9.280 1.457,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.880 3 10.293,0 10.144,0 9.056 11.680 1.318,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.592 3 10.197,0 10.400,0 8.128 12.064 1.975,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.336 3 10.112,0 9.184,0 9.184 11.968 1.607,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 31.008 3 10.336,0 10.240,0 8.640 12.128 1.746,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.120 3 9.706,0 9.664,0 7.904 11.552 1.824,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.096 3 8.032,0 7.968,0 6.784 9.344 1.281,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.896 3 9.632,0 9.504,0 8.064 11.328 1.635,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.504 3 9.834,0 9.568,0 8.160 11.776 1.822,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.632 3 9.877,0 9.536,0 8.224 11.872 1.847,0 CUDA_KERNEL lud_internal(float *, int, int)
