37,0 506.533.760 5 101.306.752,0 94.022.400,0 91.049.888 124.105.728 13.871.756,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 508.415.264 5 101.683.052,0 92.560.928,0 90.477.248 139.221.856 21.050.401,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 503.275.936 5 100.655.187,0 91.962.528,0 90.506.976 137.023.872 20.345.245,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 493.114.304 5 98.622.860,0 92.917.056,0 91.035.680 121.637.568 12.949.024,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 515.383.136 5 103.076.627,0 92.505.920,0 90.527.584 122.978.208 16.118.452,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 498.825.984 5 99.765.196,0 93.396.352,0 91.096.352 127.117.984 15.350.167,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 496.816.000 5 99.363.200,0 92.132.224,0 91.022.688 129.443.072 16.822.644,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
38,0 555.334.784 5 111.066.956,0 109.688.352,0 92.697.088 138.497.952 17.082.819,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 491.007.488 5 98.201.497,0 93.087.424,0 91.074.016 119.647.488 12.061.542,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 490.424.192 5 98.084.838,0 92.360.672,0 90.415.808 120.074.688 12.422.167,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 518.559.776 5 103.711.955,0 92.841.824,0 90.456.992 135.772.064 19.117.049,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 510.120.896 5 102.024.179,0 92.481.312,0 90.465.728 142.382.336 22.598.513,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 485.074.656 5 97.014.931,0 92.768.768,0 90.426.464 114.813.536 10.178.464,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 486.035.008 5 97.207.001,0 92.413.216,0 90.442.464 117.596.096 11.504.927,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 501.226.400 5 100.245.280,0 92.248.320,0 90.465.024 134.954.208 19.418.603,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 497.205.376 5 99.441.075,0 92.455.616,0 90.472.416 126.253.856 15.183.943,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 501.234.464 5 100.246.892,0 92.388.096,0 90.458.176 130.951.680 17.314.487,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
