      1,0        2.141.504          9     237.944,0  232.544,0   194.624      293.408      33.969,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.061.440          9     229.048,0  254.592,0    96.960      291.040      68.935,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.885.248          9     209.472,0  268.480,0    74.464      290.016      91.014,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        3.793.312          9     421.479,0  497.664,0   113.984      557.248     160.850,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.261.952          9     251.328,0  267.648,0   166.624      291.616      45.391,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.808.736          9     200.970,0  222.048,0    23.904      277.184      82.493,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.118.144          9     235.349,0  243.424,0   132.256      292.224      59.127,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.182.464          9     242.496,0  252.768,0   154.464      295.744      50.491,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.730.688          9     192.298,0  201.888,0    30.752      264.160      74.176,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.338.784          9     259.864,0  270.272,0    73.568      555.584     130.950,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.146.304          9     238.478,0  248.544,0   155.968      290.720      47.335,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.802.784          9     200.309,0  221.568,0    37.728      259.808      68.600,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.994.976          9     221.664,0  220.544,0   122.048      291.424      50.578,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.808.544          9     200.949,0  234.528,0    30.688      282.592      81.716,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.295.648          9     255.072,0  272.224,0   197.312      294.720      39.214,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.564.288          9     284.920,0  296.544,0   110.272      334.400      68.342,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.888.032          9     209.781,0  247.744,0    70.720      295.072      90.316,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.390.336          9     265.592,0  286.848,0   130.656      337.152      67.269,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.351.616          9     261.290,0  292.128,0    91.008      323.392      79.924,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.908.736          9     212.081,0  206.912,0   141.376      286.176      53.397,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      2,0        4.246.304          9     471.811,0  503.872,0   122.112      582.016     140.968,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        4.048.544          9     449.838,0  476.608,0   135.136      585.056     147.493,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.290.240          9     254.471,0  233.760,0   218.656      295.712      32.290,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        4.164.896          9     462.766,0  475.456,0   289.856      578.720      90.109,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.547.488          9     283.054,0  299.488,0   194.528      321.024      44.364,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.266.368          9     251.818,0  255.936,0   160.288      296.800      44.512,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.228.480          9     247.608,0  249.312,0   158.976      295.680      39.539,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      0,0        1.923.072          9     213.674,0  241.856,0   103.040      293.472      71.000,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.580.768          9     286.752,0  270.720,0   206.816      471.776      74.401,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.177.280          9     241.920,0  248.384,0   202.464      289.728      28.514,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.254.528          9     250.503,0  269.696,0   166.560      288.896      44.509,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
      1,0        2.137.216          9     237.468,0  264.352,0   137.888      290.304      53.150,0  CUDA_KERNEL  kernel(double *, double *, double *, double *, double *, double *, int)
