1,0 99.232 8 12.404,0 12.256,0 12.000 13.344 435,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 104.160 8 13.020,0 13.072,0 11.936 14.240 867,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.856 8 12.732,0 12.528,0 11.936 13.984 757,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.888 8 12.736,0 12.080,0 11.808 14.752 1.109,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 105.152 8 13.144,0 12.848,0 11.936 15.264 1.190,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 104.608 8 13.076,0 13.072,0 11.712 14.784 1.054,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 104.512 8 13.064,0 13.424,0 11.936 13.952 780,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 104.288 8 13.036,0 13.024,0 11.840 14.080 659,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.880 8 12.860,0 12.736,0 11.840 14.080 760,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.232 8 12.904,0 12.864,0 11.680 14.272 945,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.776 8 12.972,0 12.688,0 11.936 15.648 1.238,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 110.112 8 13.764,0 13.616,0 12.032 15.072 1.040,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 106.208 8 13.276,0 13.376,0 11.872 14.688 969,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.984 8 12.748,0 12.352,0 11.552 14.400 1.053,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.432 8 12.804,0 12.544,0 11.648 14.080 944,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.520 8 12.940,0 13.008,0 12.032 13.984 774,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 106.720 8 13.340,0 13.312,0 12.032 14.816 802,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 105.568 8 13.196,0 13.024,0 12.000 15.296 1.081,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 105.664 8 13.208,0 13.216,0 11.872 14.304 823,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.424 8 12.928,0 12.848,0 12.000 14.240 852,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.184 8 12.648,0 12.368,0 11.872 13.824 787,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.456 8 12.932,0 13.072,0 11.648 14.176 965,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.656 8 12.832,0 12.528,0 11.616 14.080 985,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.272 8 12.784,0 12.720,0 11.872 14.176 812,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 104.096 8 13.012,0 13.024,0 11.872 14.368 874,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.456 8 12.932,0 12.848,0 11.904 15.232 1.061,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.368 8 12.796,0 12.512,0 11.712 14.720 996,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.600 8 12.700,0 12.592,0 11.936 14.336 765,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.720 8 12.840,0 12.864,0 12.000 14.112 719,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 106.496 8 13.312,0 13.504,0 11.968 14.400 960,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 100.512 8 12.564,0 12.336,0 11.680 13.824 743,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 99.840 8 12.480,0 12.224,0 11.968 14.432 822,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.944 8 12.868,0 12.464,0 12.032 14.368 910,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 100.064 8 12.508,0 12.224,0 11.584 14.208 869,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.944 8 12.868,0 12.896,0 11.648 14.016 1.024,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.744 8 12.968,0 12.720,0 11.904 14.528 1.042,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 65.184 8 8.148,0 8.112,0 7.296 9.184 784,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.272 8 12.784,0 12.672,0 12.000 14.208 680,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 105.664 8 13.208,0 13.152,0 11.648 15.040 1.037,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.624 8 12.828,0 12.928,0 11.840 13.600 623,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 100.096 8 12.512,0 12.224,0 11.584 14.208 865,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 99.744 8 12.468,0 12.352,0 11.520 13.920 821,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 105.824 8 13.228,0 12.800,0 12.064 14.944 1.229,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.688 8 12.836,0 12.640,0 11.648 14.368 977,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 100.896 8 12.612,0 12.208,0 11.744 14.112 949,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 104.800 8 13.100,0 12.912,0 11.904 14.784 1.104,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.456 8 12.932,0 12.784,0 11.968 14.368 910,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 104.480 8 13.060,0 13.328,0 11.616 14.176 1.093,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.376 8 12.672,0 12.240,0 11.744 14.016 969,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.520 8 12.940,0 12.848,0 11.872 14.624 1.030,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.656 8 12.832,0 12.480,0 12.064 14.976 984,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 104.864 8 13.108,0 12.784,0 12.064 14.944 1.123,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 104.256 8 13.032,0 12.496,0 12.000 14.816 1.099,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.720 8 12.840,0 12.416,0 11.968 14.336 993,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.856 8 12.732,0 12.752,0 11.808 13.760 706,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 100.928 8 12.616,0 12.288,0 11.680 14.112 848,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 104.544 8 13.068,0 12.592,0 12.000 15.488 1.224,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 106.656 8 13.332,0 13.456,0 12.000 13.952 618,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 104.288 8 13.036,0 12.960,0 11.712 14.912 1.095,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.360 8 12.920,0 12.704,0 11.776 14.688 1.042,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.744 8 12.968,0 12.560,0 11.968 14.624 991,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.912 8 12.864,0 12.672,0 11.968 14.496 801,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.232 8 12.904,0 12.656,0 11.712 14.848 1.035,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.024 8 12.628,0 12.336,0 11.872 13.920 816,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.888 8 12.736,0 12.608,0 11.872 13.984 809,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.392 8 10.924,0 10.912,0 9.952 11.776 642,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.264 8 12.908,0 12.784,0 11.968 14.112 881,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 104.288 8 13.036,0 13.024,0 12.512 13.760 442,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 65.952 8 8.244,0 8.224,0 7.232 9.824 867,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.472 8 12.684,0 12.784,0 11.904 13.408 585,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 100.160 8 12.520,0 12.352,0 11.968 13.280 511,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 100.256 8 12.532,0 12.208,0 11.776 14.400 918,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 108.000 8 13.500,0 13.360,0 12.064 14.784 1.016,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.632 8 12.704,0 12.032,0 11.584 15.744 1.395,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 84.448 8 10.556,0 10.128,0 9.952 11.712 756,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 61.216 8 7.652,0 7.600,0 7.200 8.256 361,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.168 8 12.896,0 12.464,0 12.256 14.496 840,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 98.240 8 12.280,0 12.080,0 11.712 13.376 561,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 70.528 8 8.816,0 8.816,0 8.320 9.184 299,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.400 8 12.800,0 12.656,0 12.224 13.536 553,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 105.120 8 13.140,0 12.656,0 12.032 14.880 1.111,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 72.864 8 9.108,0 9.120,0 8.448 9.856 463,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.792 8 12.724,0 12.416,0 12.256 13.472 522,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.216 8 12.652,0 12.560,0 12.128 13.536 512,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 66.304 8 8.288,0 8.224,0 7.872 9.088 397,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 59.840 8 7.480,0 7.440,0 7.136 7.968 262,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 63.232 8 7.904,0 8.032,0 7.232 8.384 408,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 62.976 8 7.872,0 7.856,0 7.520 8.192 227,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 52.704 8 6.588,0 6.384,0 6.272 7.552 444,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 71.328 8 8.916,0 8.752,0 8.512 9.664 409,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 61.088 8 7.636,0 7.536,0 7.200 8.416 399,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.952 8 12.744,0 12.304,0 11.872 14.720 999,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 72.288 8 9.036,0 9.152,0 8.672 9.408 297,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 100.736 8 12.592,0 12.288,0 11.712 14.304 901,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.760 8 12.720,0 12.736,0 11.968 13.600 638,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.304 8 12.788,0 12.976,0 11.968 13.440 574,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 73.664 8 9.208,0 9.280,0 8.704 9.728 414,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 100.064 8 12.508,0 12.368,0 12.064 13.376 465,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 60.736 8 7.592,0 7.456,0 7.104 8.160 382,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 72.416 8 9.052,0 8.976,0 8.736 9.856 347,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.696 8 12.712,0 12.400,0 12.000 13.728 742,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 106.112 8 13.264,0 13.408,0 12.192 14.240 635,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.168 8 12.896,0 13.136,0 12.096 13.696 621,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 71.552 8 8.944,0 8.752,0 8.512 9.920 488,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 72.704 8 9.088,0 9.184,0 8.512 9.632 355,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 61.760 8 7.720,0 7.840,0 7.296 8.256 343,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.400 8 8.800,0 8.736,0 8.352 9.280 301,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 53.920 8 6.740,0 6.720,0 6.336 7.232 342,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 71.360 8 8.920,0 8.720,0 8.608 9.856 432,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 81.952 8 10.244,0 10.032,0 9.568 11.008 565,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.328 8 12.916,0 12.976,0 11.840 13.888 808,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 71.552 8 8.944,0 8.928,0 8.672 9.312 232,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 72.032 8 9.004,0 9.040,0 8.672 9.312 267,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 104.512 8 13.064,0 12.944,0 11.968 14.784 851,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 53.760 8 6.720,0 6.640,0 6.208 7.488 449,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 71.168 8 8.896,0 8.704,0 8.416 9.728 446,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.400 8 12.800,0 12.800,0 11.968 13.536 603,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 71.264 8 8.908,0 8.864,0 8.352 9.600 388,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 100.032 8 12.504,0 12.496,0 11.936 13.248 478,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.504 8 12.688,0 12.368,0 11.840 14.752 967,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.696 8 12.712,0 12.352,0 11.776 14.080 834,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 71.392 8 8.924,0 8.848,0 8.352 9.600 441,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.152 8 12.644,0 12.528,0 12.000 13.568 561,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 79.328 8 9.916,0 9.872,0 9.440 10.624 386,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 72.384 8 9.048,0 8.976,0 8.544 9.856 463,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 71.808 8 8.976,0 8.832,0 8.448 9.792 475,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 72.032 8 9.004,0 8.880,0 8.480 9.728 447,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.680 8 12.960,0 12.912,0 12.096 13.952 800,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.664 8 12.708,0 12.384,0 11.648 13.856 826,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 71.392 8 8.924,0 8.976,0 8.320 9.280 325,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 106.944 8 13.368,0 13.600,0 12.352 14.400 782,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 105.888 8 13.236,0 13.344,0 11.968 14.432 978,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 104.416 8 13.052,0 12.736,0 11.616 14.624 1.266,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.920 8 12.740,0 12.784,0 11.968 13.888 681,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 104.224 8 13.028,0 12.736,0 11.968 14.464 1.003,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.472 8 12.684,0 12.336,0 11.552 14.176 901,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 105.024 8 13.128,0 13.072,0 12.160 14.048 702,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 101.792 8 12.724,0 12.448,0 11.648 14.656 1.022,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.424 8 12.928,0 12.928,0 11.872 14.400 926,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 105.504 8 13.188,0 12.704,0 12.064 14.688 1.186,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 100.768 8 12.596,0 12.176,0 11.840 14.624 918,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 105.440 8 13.180,0 13.392,0 11.968 14.432 1.059,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.496 8 12.812,0 12.784,0 11.872 14.080 756,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 106.016 8 13.252,0 13.184,0 11.904 14.688 931,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.688 8 12.836,0 12.736,0 11.584 13.888 904,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 100.864 8 12.608,0 12.624,0 11.744 13.472 619,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 100.800 8 12.600,0 12.544,0 11.936 13.376 565,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.680 8 12.960,0 12.864,0 11.712 14.432 1.041,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 103.712 8 12.964,0 12.720,0 11.680 14.176 969,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.848 8 12.856,0 12.960,0 11.744 14.464 941,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 107.872 8 13.484,0 13.344,0 11.744 14.656 936,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 100.576 8 12.572,0 12.368,0 11.840 14.400 861,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 104.032 8 13.004,0 12.832,0 11.744 14.752 1.109,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 101.632 8 12.704,0 12.640,0 11.968 13.728 571,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 102.016 8 12.752,0 12.080,0 11.808 14.752 1.171,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
