6,0 336.224 8 42.028,0 43.168,0 21.376 55.744 11.466,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 337.792 8 42.224,0 43.008,0 21.984 56.736 11.872,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 336.064 8 42.008,0 43.168,0 20.288 55.680 11.834,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 333.952 8 41.744,0 44.736,0 20.384 53.440 11.095,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 332.608 8 41.576,0 44.176,0 21.056 55.840 11.399,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 337.088 8 42.136,0 43.296,0 20.768 55.392 11.975,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 334.272 8 41.784,0 43.040,0 21.184 54.912 11.648,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 334.048 8 41.756,0 43.168,0 20.672 55.840 11.435,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 337.920 8 42.240,0 43.200,0 20.832 56.384 12.034,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 340.800 8 42.600,0 44.784,0 20.192 55.328 12.247,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 340.608 8 42.576,0 43.152,0 22.048 56.768 12.040,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 332.704 8 41.588,0 42.496,0 21.504 56.352 11.163,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 341.344 8 42.668,0 43.504,0 22.560 57.024 11.636,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 334.144 8 41.768,0 44.144,0 20.928 55.104 11.578,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 339.328 8 42.416,0 43.120,0 22.080 56.928 11.800,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 339.456 8 42.432,0 45.552,0 22.080 55.936 11.015,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 337.376 8 42.172,0 43.744,0 21.696 55.584 11.729,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 338.240 8 42.280,0 44.224,0 21.056 56.800 11.910,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 340.768 8 42.596,0 44.608,0 22.048 55.520 11.418,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 338.592 8 42.324,0 43.456,0 20.224 59.712 12.540,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 337.728 8 42.216,0 43.504,0 21.632 56.736 11.830,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 332.480 8 41.560,0 43.408,0 20.288 54.432 11.746,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 337.920 8 42.240,0 44.048,0 21.056 56.800 11.811,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 337.280 8 42.160,0 44.800,0 22.048 53.824 10.980,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 338.432 8 42.304,0 44.128,0 22.368 57.184 11.338,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 338.720 8 42.340,0 44.288,0 20.896 56.768 11.802,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 340.800 8 42.600,0 44.416,0 20.992 56.128 11.883,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 339.232 8 42.404,0 43.184,0 20.512 57.088 12.543,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 335.264 8 41.908,0 42.464,0 21.536 55.584 11.554,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 331.776 8 41.472,0 43.728,0 20.896 54.176 11.208,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 336.800 8 42.100,0 43.616,0 20.832 55.584 11.648,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 341.152 8 42.644,0 43.760,0 21.568 58.304 12.377,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
