     20,0        1.965.088          1  1.965.088,0  1.965.088,0  1.965.088  1.965.088          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          412.256          1    412.256,0    412.256,0    412.256    412.256          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     20,0        1.971.328          1  1.971.328,0  1.971.328,0  1.971.328  1.971.328          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          420.640          1    420.640,0    420.640,0    420.640    420.640          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     23,0        3.893.568          1  3.893.568,0  3.893.568,0  3.893.568  3.893.568          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          778.752          1    778.752,0    778.752,0    778.752    778.752          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     25,0        6.127.264          1  6.127.264,0  6.127.264,0  6.127.264  6.127.264          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          769.888          1    769.888,0    769.888,0    769.888    769.888          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     21,0        3.912.800          1  3.912.800,0  3.912.800,0  3.912.800  3.912.800          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          773.856          1    773.856,0    773.856,0    773.856    773.856          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     18,0        1.965.600          1  1.965.600,0  1.965.600,0  1.965.600  1.965.600          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          412.960          1    412.960,0    412.960,0    412.960    412.960          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     18,0        1.993.088          1  1.993.088,0  1.993.088,0  1.993.088  1.993.088          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
