1,0 30.336 3 10.112,0 10.208,0 8.512 11.616 1.554,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 27.648 3 9.216,0 8.736,0 7.680 11.232 1.824,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.832 3 9.610,0 9.376,0 7.936 11.520 1.803,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.920 3 9.973,0 9.792,0 8.704 11.424 1.369,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.608 3 9.536,0 9.472,0 7.712 11.424 1.856,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.120 3 9.706,0 9.728,0 7.616 11.776 2.080,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.576 3 9.525,0 9.344,0 7.968 11.264 1.655,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.440 3 9.813,0 9.504,0 8.704 11.232 1.292,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.400 3 10.133,0 9.408,0 8.320 12.672 2.264,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.480 3 9.493,0 9.664,0 7.616 11.200 1.798,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.632 3 9.877,0 9.664,0 8.096 11.872 1.897,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.544 3 9.514,0 9.344,0 8.032 11.168 1.575,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.184 3 9.728,0 9.536,0 8.576 11.072 1.259,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.160 3 9.386,0 9.344,0 7.712 11.104 1.696,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.816 3 10.272,0 10.176,0 8.000 12.640 2.321,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.144 3 10.048,0 9.568,0 7.968 12.608 2.356,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.784 3 10.261,0 10.144,0 8.096 12.544 2.226,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.272 3 10.090,0 9.792,0 7.936 12.544 2.318,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.496 3 10.165,0 10.016,0 8.128 12.352 2.116,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.856 3 9.952,0 9.696,0 8.064 12.096 2.028,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.440 3 9.813,0 10.176,0 8.096 11.168 1.567,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.960 3 9.653,0 9.664,0 8.064 11.232 1.584,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.080 3 10.026,0 10.176,0 7.936 11.968 2.020,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.880 3 10.293,0 10.080,0 8.000 12.800 2.407,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.056 3 9.685,0 9.504,0 8.224 11.328 1.559,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.464 3 7.488,0 7.456,0 6.400 8.608 1.104,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.376 3 9.792,0 9.664,0 8.000 11.712 1.859,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.632 3 9.877,0 9.632,0 8.032 11.968 1.979,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.376 3 9.792,0 9.600,0 8.288 11.488 1.608,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.792 3 9.930,0 10.080,0 8.128 11.584 1.732,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.048 3 10.016,0 9.408,0 8.032 12.608 2.347,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.792 3 9.930,0 10.112,0 7.968 11.712 1.878,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.688 3 10.229,0 9.536,0 8.192 12.960 2.458,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.944 3 10.314,0 9.632,0 8.640 12.672 2.100,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.272 3 10.090,0 9.664,0 7.648 12.960 2.681,0 CUDA_KERNEL lud_internal(float *, int, int)
