3,0 352.608.576 6.000 58.768,0 59.744,0 53.920 89.376 3.108,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 367.439.008 6.000 61.239,0 60.128,0 52.160 883.040 18.543,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 410.528.992 6.000 68.421,0 60.896,0 53.888 4.522.368 154.020,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 360.727.584 6.000 60.121,0 60.608,0 54.176 2.436.416 36.984,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 355.035.264 6.000 59.172,0 59.680,0 54.144 1.558.240 21.731,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 356.279.680 6.000 59.379,0 60.256,0 54.144 89.088 3.336,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 356.954.656 6.000 59.492,0 60.224,0 53.280 86.912 2.799,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 361.660.448 6.000 60.276,0 61.568,0 54.368 88.480 4.347,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 351.608.192 6.000 58.601,0 59.456,0 53.632 87.776 3.335,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 358.947.584 6.000 59.824,0 60.864,0 54.272 738.144 9.452,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 350.361.504 6.000 58.393,0 59.264,0 54.304 65.024 1.914,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 353.451.360 6.000 58.908,0 59.808,0 53.984 71.456 2.757,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 360.838.208 6.000 60.139,0 59.808,0 54.272 1.631.872 28.340,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 352.358.272 6.000 58.726,0 59.616,0 53.664 64.192 2.116,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 385.966.368 6.000 64.327,0 58.336,0 53.440 4.016.608 144.580,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
