36,0 3.342.334.720 6.000 557.055,0 554.976,0 546.656 2.559.136 32.305,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.859.031.968 6.000 643.172,0 554.944,0 528.384 5.517.600 468.549,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.769.615.808 6.000 628.269,0 555.328,0 548.096 5.303.136 410.377,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.344.945.088 6.000 557.490,0 555.104,0 548.352 2.544.032 33.176,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.342.698.336 6.000 557.116,0 553.952,0 525.760 2.443.904 93.684,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 4.245.483.872 6.000 707.580,0 555.616,0 547.552 6.888.896 611.657,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.388.916.768 6.000 564.819,0 555.360,0 547.904 3.945.888 140.072,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.376.540.384 6.000 562.756,0 555.168,0 547.104 2.549.344 89.879,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.354.180.352 6.000 559.030,0 555.776,0 547.840 2.577.856 34.386,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.317.821.280 6.000 552.970,0 555.136,0 526.976 2.587.424 33.775,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.360.675.584 6.000 560.112,0 555.680,0 546.592 2.579.904 38.909,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.357.781.760 6.000 559.630,0 555.424,0 547.520 2.484.896 47.337,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.345.652.704 6.000 557.608,0 554.880,0 547.808 2.566.944 33.608,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.335.086.240 6.000 555.847,0 555.712,0 546.752 1.274.048 9.526,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.349.870.624 6.000 558.311,0 555.200,0 546.944 2.546.368 30.886,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.440.939.328 6.000 573.489,0 555.488,0 547.744 4.304.192 141.263,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.297.650.272 6.000 549.608,0 554.304,0 526.368 2.069.568 28.389,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.798.179.136 6.000 633.029,0 555.552,0 547.904 6.425.216 466.354,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.322.636.032 6.000 553.772,0 554.400,0 526.784 1.728.416 24.348,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.940.062.464 6.000 656.677,0 555.968,0 547.648 6.513.728 498.954,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 4.115.948.032 6.000 685.991,0 555.712,0 547.616 6.875.360 566.842,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
