0,0 85.280.512 2.000 42.640,0 41.696,0 40.768 1.745.568 38.127,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 84.737.792 2.000 42.368,0 42.208,0 41.344 69.952 1.588,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 84.672.640 2.000 42.336,0 42.528,0 39.968 70.304 1.614,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.044.544 2.000 44.522,0 44.256,0 43.296 72.288 2.248,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.461.376 2.000 43.230,0 42.976,0 42.240 71.680 1.761,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.040.704 2.000 42.520,0 42.272,0 41.568 70.432 1.757,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.239.008 2.000 43.619,0 43.584,0 42.848 52.192 366,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.455.648 2.000 43.727,0 43.488,0 42.656 60.096 1.167,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 96.059.616 2.000 48.029,0 46.144,0 44.992 1.615.296 43.808,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.276.448 2.000 44.638,0 45.152,0 42.048 53.312 1.205,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 94.105.856 2.000 47.052,0 43.360,0 42.496 3.240.384 96.545,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.996.832 2.000 42.998,0 43.136,0 40.320 62.144 1.439,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 95.574.592 2.000 47.787,0 40.960,0 39.968 3.356.864 135.765,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 95.446.880 2.000 47.723,0 42.976,0 42.080 3.403.296 103.306,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.355.904 2.000 43.178,0 43.040,0 42.016 71.328 1.595,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.101.952 2.000 42.551,0 42.560,0 41.696 50.880 380,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.652.480 2.000 44.326,0 44.512,0 41.344 61.376 1.684,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.874.016 2.000 42.937,0 42.816,0 41.984 70.592 1.454,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.349.312 2.000 43.174,0 43.040,0 42.208 60.224 995,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.607.552 2.000 44.303,0 44.320,0 43.488 52.096 288,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 107.563.904 2.000 53.782,0 41.952,0 39.360 5.513.056 216.921,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.505.440 2.000 43.252,0 43.136,0 42.272 71.488 1.426,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 80.412.480 2.000 40.206,0 40.064,0 39.200 69.472 1.625,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.021.792 2.000 45.010,0 44.480,0 43.776 60.288 1.900,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.547.200 2.000 44.773,0 44.928,0 41.760 73.888 2.068,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 91.325.728 2.000 45.662,0 45.216,0 44.288 102.240 3.311,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.557.952 2.000 45.279,0 45.120,0 41.856 100.800 4.442,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 92.858.944 2.000 46.429,0 43.584,0 40.640 1.398.784 48.353,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.521.088 2.000 44.760,0 44.608,0 41.472 100.064 4.163,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 84.443.264 2.000 42.221,0 41.856,0 39.456 96.992 4.186,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.132.000 2.000 43.566,0 43.136,0 42.272 96.480 3.560,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.875.232 2.000 44.937,0 44.672,0 43.808 72.096 1.805,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.068.352 2.000 44.034,0 43.072,0 40.192 100.160 5.487,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.300.320 2.000 45.150,0 44.800,0 41.440 101.632 4.675,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 92.887.104 2.000 46.443,0 46.112,0 44.928 103.360 3.005,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.771.232 2.000 44.885,0 44.064,0 41.152 99.552 6.280,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.957.568 2.000 44.978,0 44.512,0 43.520 100.928 3.353,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.762.464 2.000 43.881,0 43.264,0 40.416 99.776 5.341,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 84.717.184 2.000 42.358,0 41.984,0 39.680 96.928 5.154,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 92.671.552 2.000 46.335,0 44.576,0 41.344 100.224 6.324,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.012.032 2.000 45.006,0 44.000,0 41.152 1.484.096 32.470,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 91.334.752 2.000 45.667,0 44.304,0 41.184 99.008 7.676,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.291.392 2.000 43.145,0 42.720,0 41.824 97.440 3.218,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 92.971.104 2.000 46.485,0 45.664,0 41.792 731.552 16.194,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 92.239.648 2.000 46.119,0 45.376,0 41.792 100.384 6.022,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.484.896 2.000 45.242,0 44.480,0 41.632 100.960 7.411,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 93.009.888 2.000 46.504,0 45.888,0 42.240 103.072 5.206,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.370.560 2.000 43.685,0 43.360,0 40.736 98.304 4.436,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.279.776 2.000 43.139,0 42.816,0 41.920 97.600 3.311,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 85.337.408 2.000 42.668,0 42.144,0 41.056 95.744 3.661,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
