5,0 463.225.504 6.000 77.204,0 76.000,0 74.912 3.357.824 51.636,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 466.522.400 6.000 77.753,0 76.896,0 75.840 1.649.792 27.385,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 461.187.552 6.000 76.864,0 76.608,0 75.520 98.912 1.874,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 451.191.552 6.000 75.198,0 77.056,0 66.944 99.904 4.279,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 463.582.176 6.000 77.263,0 76.864,0 75.520 99.744 2.779,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 464.854.432 6.000 77.475,0 77.184,0 76.096 99.328 2.005,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 461.094.464 6.000 76.849,0 76.608,0 75.392 99.392 2.046,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 462.958.752 6.000 77.159,0 76.800,0 75.584 2.033.536 25.263,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 465.044.160 6.000 77.507,0 77.280,0 76.064 85.824 1.296,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 477.850.816 6.000 79.641,0 77.472,0 76.064 2.057.952 47.843,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 446.395.712 6.000 74.399,0 76.992,0 66.592 79.968 4.412,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 515.394.528 6.000 85.899,0 77.472,0 76.320 4.005.664 152.065,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 457.199.072 6.000 76.199,0 76.864,0 66.560 2.037.664 32.759,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 527.401.216 6.000 87.900,0 76.896,0 75.040 4.046.464 163.209,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 562.979.296 6.000 93.829,0 77.216,0 75.904 6.273.536 210.944,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 465.687.296 6.000 77.614,0 77.088,0 76.032 1.977.120 24.603,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 458.671.424 6.000 76.445,0 76.448,0 75.168 77.856 342,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 457.649.664 6.000 76.274,0 77.920,0 67.104 801.984 10.348,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 462.087.808 6.000 77.014,0 76.864,0 75.328 99.360 1.729,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 461.865.088 6.000 76.977,0 76.832,0 75.232 86.080 1.076,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 462.068.096 6.000 77.011,0 77.024,0 75.328 79.232 455,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 610.618.112 6.000 101.769,0 76.448,0 66.368 5.784.000 298.141,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 472.981.120 6.000 78.830,0 76.704,0 75.488 4.522.560 83.668,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 464.433.856 6.000 77.405,0 76.512,0 75.392 4.464.128 56.675,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 467.431.168 6.000 77.905,0 76.816,0 75.488 2.591.776 33.817,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 455.003.936 6.000 75.834,0 77.376,0 66.848 100.032 4.462,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 469.546.144 6.000 78.257,0 77.120,0 76.032 1.142.912 20.218,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 463.334.080 6.000 77.222,0 76.896,0 66.784 2.955.136 40.955,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 470.154.208 6.000 78.359,0 76.768,0 66.688 1.981.344 27.072,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 457.273.824 6.000 76.212,0 76.736,0 66.560 169.184 9.491,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 460.519.808 6.000 76.753,0 77.216,0 66.688 172.896 10.092,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 472.471.712 6.000 78.745,0 77.440,0 75.712 1.986.560 29.092,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 465.748.608 6.000 77.624,0 77.056,0 75.840 1.761.280 21.848,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 479.445.952 6.000 79.907,0 77.472,0 67.232 2.169.184 38.527,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 462.358.464 6.000 77.059,0 76.608,0 66.528 1.156.704 20.489,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 464.885.024 6.000 77.480,0 76.832,0 75.744 170.272 6.514,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 463.416.992 6.000 77.236,0 76.960,0 66.464 1.506.016 30.233,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 463.370.816 6.000 77.228,0 76.000,0 75.040 1.469.248 25.488,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 473.913.920 6.000 78.985,0 77.312,0 66.432 1.966.496 43.339,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 452.433.120 6.000 75.405,0 76.704,0 66.560 1.957.280 36.841,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 477.657.920 6.000 79.609,0 76.768,0 66.272 1.351.168 23.120,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 461.943.680 6.000 76.990,0 76.960,0 66.592 1.488.064 20.688,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 475.128.480 6.000 79.188,0 76.672,0 66.432 2.034.176 38.963,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 469.049.728 6.000 78.175,0 77.024,0 75.840 1.159.232 20.448,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 464.587.936 6.000 77.431,0 76.960,0 66.560 173.760 11.275,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 469.388.896 6.000 78.231,0 77.120,0 66.624 205.728 12.819,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 455.878.080 6.000 75.979,0 77.024,0 66.688 1.420.672 24.017,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 473.687.200 6.000 78.947,0 77.920,0 66.944 1.161.792 22.321,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 459.364.768 6.000 76.560,0 76.608,0 65.920 1.075.168 20.781,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 468.625.152 6.000 78.104,0 77.344,0 76.320 172.096 7.608,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 468.325.664 6.000 78.054,0 76.800,0 75.488 1.088.800 15.374,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 473.980.288 6.000 78.996,0 76.384,0 66.496 1.938.368 30.444,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 458.612.352 6.000 76.435,0 77.088,0 66.848 1.081.888 22.731,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 453.462.080 6.000 75.577,0 76.416,0 66.464 1.512.160 23.951,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 468.235.872 6.000 78.039,0 77.056,0 66.688 2.339.680 38.309,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 461.544.768 6.000 76.924,0 76.896,0 66.624 1.091.808 24.448,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 458.944.032 6.000 76.490,0 77.056,0 66.624 2.064.704 39.167,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 444.884.128 6.000 74.147,0 67.552,0 66.432 1.881.120 37.101,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 477.749.504 6.000 79.624,0 76.896,0 75.680 1.486.176 26.192,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 466.422.144 6.000 77.737,0 76.704,0 66.592 1.100.512 16.112,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 466.468.864 6.000 77.744,0 77.024,0 75.616 169.376 6.971,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 473.787.200 6.000 78.964,0 77.440,0 66.720 1.544.704 27.711,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 464.719.328 6.000 77.453,0 76.672,0 66.432 1.064.224 19.842,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 461.860.256 6.000 76.976,0 77.248,0 66.720 1.159.136 21.978,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 453.390.048 6.000 75.565,0 76.544,0 66.592 1.556.544 28.245,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 469.026.144 6.000 78.171,0 77.088,0 75.808 807.392 12.559,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 472.528.512 6.000 78.754,0 77.376,0 67.104 1.964.704 32.393,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 467.964.544 6.000 77.994,0 76.480,0 65.952 2.068.608 36.170,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 485.628.192 6.000 80.938,0 78.432,0 77.184 1.145.280 18.743,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 474.723.808 6.000 79.120,0 78.016,0 67.040 2.048.640 36.252,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 470.867.648 6.000 78.477,0 77.056,0 66.752 1.152.096 17.749,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 468.611.712 6.000 78.102,0 76.992,0 66.688 1.539.712 27.732,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 459.999.264 6.000 76.666,0 77.856,0 66.816 176.608 13.496,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 465.611.488 6.000 77.601,0 76.032,0 74.848 1.999.296 34.429,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 470.893.472 6.000 78.482,0 77.504,0 76.128 1.087.936 15.128,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 469.357.824 6.000 78.226,0 78.240,0 67.264 174.176 10.679,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
