0,0 72.832 8 9.104,0 8.960,0 7.904 11.040 1.077,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.160 8 9.020,0 8.768,0 7.936 11.136 1.016,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.680 8 8.960,0 8.544,0 8.032 11.104 1.033,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 74.464 8 9.308,0 9.248,0 8.288 11.104 910,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.696 8 9.212,0 9.040,0 7.968 11.168 1.049,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.472 8 8.684,0 8.320,0 8.064 11.136 1.009,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 68.832 8 8.604,0 8.320,0 7.840 11.040 1.023,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.696 8 9.212,0 9.264,0 7.904 11.040 1.040,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.776 8 8.972,0 8.640,0 7.840 11.072 1.045,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.392 8 8.924,0 8.560,0 7.744 11.040 1.120,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.720 8 8.840,0 8.304,0 7.904 11.328 1.163,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.920 8 8.740,0 8.368,0 7.904 11.104 1.016,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.496 8 8.812,0 8.592,0 7.904 11.040 1.006,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.368 8 8.796,0 8.288,0 7.872 11.040 1.029,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.264 8 8.908,0 8.768,0 7.904 11.072 982,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 68.928 8 8.616,0 8.272,0 7.904 10.944 998,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.568 8 8.696,0 8.336,0 7.904 10.976 1.004,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.616 8 8.952,0 8.448,0 7.904 11.264 1.134,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 39.104 8 4.888,0 4.192,0 3.936 6.528 1.110,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.576 8 9.072,0 9.120,0 7.808 11.040 1.035,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.776 8 8.972,0 8.720,0 7.904 11.104 1.061,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.792 8 8.724,0 8.528,0 7.808 11.072 1.036,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.104 8 8.888,0 8.512,0 7.968 11.104 1.019,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.192 8 9.024,0 8.576,0 8.224 11.136 968,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.568 8 8.696,0 8.320,0 7.872 11.040 1.008,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.592 8 8.824,0 8.288,0 7.968 11.136 1.052,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 68.640 8 8.580,0 8.304,0 7.840 11.200 1.072,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.856 8 8.732,0 8.320,0 7.936 10.976 977,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.856 8 8.732,0 8.304,0 7.776 10.944 1.064,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.536 8 9.192,0 9.104,0 8.288 11.008 819,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.856 8 9.232,0 9.120,0 8.096 11.072 952,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.256 8 9.032,0 8.656,0 8.224 11.040 998,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.888 8 8.736,0 8.352,0 7.808 11.040 1.063,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.752 8 8.844,0 8.400,0 8.000 11.104 1.014,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.696 8 8.712,0 8.304,0 7.936 11.104 1.032,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.968 8 8.996,0 8.752,0 8.288 11.104 943,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.520 8 8.940,0 8.544,0 8.064 11.200 1.025,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.328 8 8.916,0 8.592,0 7.872 11.104 1.097,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.632 8 9.204,0 9.216,0 7.936 11.040 971,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.024 8 9.128,0 8.864,0 8.096 11.072 1.045,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.280 8 8.660,0 8.256,0 7.968 11.072 1.043,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.224 8 9.028,0 8.640,0 8.128 10.976 1.017,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.768 8 9.096,0 8.656,0 7.872 11.072 1.177,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.952 8 8.744,0 8.400,0 7.872 11.040 1.028,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.232 8 8.904,0 8.320,0 7.872 11.008 1.060,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.248 8 8.656,0 8.320,0 7.840 11.296 1.094,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.504 8 8.688,0 8.352,0 7.936 11.136 1.021,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.168 8 8.896,0 8.480,0 7.840 11.040 1.065,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.960 8 9.120,0 8.848,0 8.256 11.136 938,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.824 8 8.728,0 8.416,0 7.968 11.008 993,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.976 8 8.872,0 8.304,0 8.064 11.328 1.165,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.728 8 9.216,0 9.040,0 8.256 11.168 1.008,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.056 8 9.132,0 9.040,0 7.968 10.944 940,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.592 8 8.824,0 8.368,0 7.872 11.040 1.001,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.096 8 9.012,0 8.656,0 7.872 11.040 1.071,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.080 8 8.760,0 8.400,0 7.968 11.136 1.004,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.784 8 8.848,0 8.320,0 7.872 11.168 1.092,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.856 8 8.732,0 8.288,0 7.872 11.168 1.088,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 42.144 8 5.268,0 5.328,0 4.000 6.496 1.013,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 73.376 8 9.172,0 9.360,0 7.840 11.040 1.040,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.560 8 8.820,0 8.320,0 7.968 11.008 1.018,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.096 8 9.012,0 8.800,0 7.872 11.168 1.108,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.776 8 8.972,0 8.400,0 8.192 11.168 1.029,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.704 8 9.088,0 9.008,0 8.096 11.040 953,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.928 8 9.116,0 8.736,0 8.288 11.072 936,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.688 8 8.836,0 8.352,0 8.032 11.104 1.071,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.712 8 8.964,0 8.544,0 8.224 11.136 1.007,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.872 8 8.984,0 8.480,0 7.904 11.040 1.064,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.968 8 8.996,0 8.624,0 7.968 10.944 1.002,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.832 8 9.104,0 8.944,0 8.064 11.168 1.003,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.928 8 9.116,0 8.768,0 8.256 11.072 1.010,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.648 8 8.956,0 8.544,0 7.936 11.136 1.072,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 68.704 8 8.588,0 8.272,0 7.904 11.040 1.016,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.928 8 9.116,0 9.136,0 8.256 11.040 928,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.224 8 9.028,0 8.704,0 7.968 11.008 1.005,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.520 8 8.940,0 8.672,0 7.840 10.944 1.055,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.664 8 8.708,0 8.336,0 7.936 11.072 999,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 74.560 8 9.320,0 9.360,0 8.192 11.040 984,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.552 8 8.944,0 8.880,0 7.872 11.040 976,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.208 8 8.776,0 8.384,0 7.936 11.040 1.006,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 71.616 8 8.952,0 8.656,0 7.904 11.008 1.006,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 74.496 8 9.312,0 9.296,0 7.904 11.040 990,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 68.160 8 8.520,0 8.256,0 7.904 11.072 1.043,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 42.368 8 5.296,0 5.296,0 3.936 6.432 945,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.856 8 8.732,0 8.528,0 7.808 11.040 1.021,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.240 8 8.780,0 8.288,0 7.840 10.944 1.001,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 72.640 8 9.080,0 9.136,0 7.936 11.040 990,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 69.664 8 8.708,0 8.320,0 7.968 11.072 1.028,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.272 8 8.784,0 8.400,0 7.872 11.072 1.022,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
