0,0 194.048 8 24.256,0 25.344,0 11.872 31.264 6.141,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 132.512 8 16.564,0 17.040,0 9.536 21.312 3.888,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.904 8 23.988,0 25.904,0 12.448 30.080 5.637,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.064 8 24.008,0 24.944,0 11.424 31.264 6.124,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 194.336 8 24.292,0 25.824,0 11.680 31.360 6.249,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.976 8 23.872,0 25.312,0 12.704 29.376 5.297,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.008 8 23.876,0 25.760,0 12.224 29.184 5.538,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.360 8 23.920,0 25.264,0 12.000 29.184 5.656,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.056 8 24.132,0 25.600,0 11.872 29.696 5.929,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 194.336 8 24.292,0 25.568,0 12.544 30.976 5.717,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 194.464 8 24.308,0 25.600,0 12.384 29.888 5.687,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.000 8 24.000,0 25.280,0 13.184 29.344 5.197,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.648 8 23.956,0 25.200,0 12.480 30.144 5.542,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.624 8 23.828,0 25.552,0 12.608 28.736 5.293,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.352 8 24.044,0 25.744,0 12.064 30.080 5.749,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.184 8 24.148,0 25.280,0 12.288 31.168 5.789,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
