0,0 22.496 2 11.248,0 11.248,0 8.096 14.400 4.457,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 17.280 2 8.640,0 8.640,0 5.792 11.488 4.027,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.432 2 11.216,0 11.216,0 8.640 13.792 3.643,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.824 2 10.912,0 10.912,0 8.096 13.728 3.982,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.376 2 10.688,0 10.688,0 8.064 13.312 3.710,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 23.168 2 11.584,0 11.584,0 8.704 14.464 4.072,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.792 2 10.896,0 10.896,0 8.288 13.504 3.688,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.304 2 11.152,0 11.152,0 8.064 14.240 4.367,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 17.856 2 8.928,0 8.928,0 6.816 11.040 2.986,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.568 2 10.784,0 10.784,0 8.160 13.408 3.710,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.880 2 9.440,0 9.440,0 7.200 11.680 3.167,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.880 2 9.440,0 9.440,0 6.880 12.000 3.620,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.464 2 7.232,0 7.232,0 5.664 8.800 2.217,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.320 2 8.160,0 8.160,0 6.656 9.664 2.127,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.376 2 6.688,0 6.688,0 5.184 8.192 2.127,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.064 2 8.032,0 8.032,0 6.560 9.504 2.081,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.904 2 9.952,0 9.952,0 7.616 12.288 3.303,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.616 2 7.808,0 7.808,0 6.080 9.536 2.443,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.944 2 5.472,0 5.472,0 3.968 6.976 2.127,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.264 2 5.632,0 5.632,0 4.096 7.168 2.172,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.464 2 7.232,0 7.232,0 5.632 8.832 2.262,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.568 2 6.784,0 6.784,0 5.152 8.416 2.308,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.304 2 11.152,0 11.152,0 8.096 14.208 4.321,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.832 2 8.416,0 8.416,0 6.368 10.464 2.896,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.296 2 5.648,0 5.648,0 4.128 7.168 2.149,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.472 2 10.736,0 10.736,0 8.160 13.312 3.643,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 17.824 2 8.912,0 8.912,0 5.792 12.032 4.412,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.136 2 5.568,0 5.568,0 4.000 7.136 2.217,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.848 2 11.424,0 11.424,0 8.160 14.688 4.616,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.944 2 11.472,0 11.472,0 9.152 13.792 3.281,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 23.456 2 11.728,0 11.728,0 8.992 14.464 3.869,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.120 2 10.560,0 10.560,0 8.032 13.088 3.575,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.232 2 5.616,0 5.616,0 4.032 7.200 2.240,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.352 2 10.176,0 10.176,0 7.232 13.120 4.163,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.776 2 7.888,0 7.888,0 5.344 10.432 3.597,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.456 2 7.728,0 7.728,0 6.016 9.440 2.421,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.640 2 8.320,0 8.320,0 5.728 10.912 3.665,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.240 2 11.120,0 11.120,0 8.992 13.248 3.009,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 17.984 2 8.992,0 8.992,0 6.784 11.200 3.122,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.560 2 11.280,0 11.280,0 8.896 13.664 3.371,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.104 2 5.552,0 5.552,0 4.032 7.072 2.149,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.168 2 7.584,0 7.584,0 5.440 9.728 3.032,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.528 2 7.264,0 7.264,0 5.216 9.312 2.896,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.408 2 10.704,0 10.704,0 8.064 13.344 3.733,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 23.040 2 11.520,0 11.520,0 9.312 13.728 3.122,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.480 2 8.240,0 8.240,0 6.432 10.048 2.556,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.824 2 10.912,0 10.912,0 8.352 13.472 3.620,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.584 2 5.792,0 5.792,0 4.032 7.552 2.489,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.688 2 11.344,0 11.344,0 8.128 14.560 4.548,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.472 2 6.736,0 6.736,0 5.472 8.000 1.787,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.008 2 5.504,0 5.504,0 4.032 6.976 2.081,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.784 2 7.392,0 7.392,0 5.824 8.960 2.217,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 23.040 2 11.520,0 11.520,0 9.440 13.600 2.941,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.216 2 10.608,0 10.608,0 8.000 13.216 3.688,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.216 2 6.608,0 6.608,0 4.928 8.288 2.375,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.376 2 10.688,0 10.688,0 8.064 13.312 3.710,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.200 2 5.600,0 5.600,0 4.064 7.136 2.172,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.088 2 6.544,0 6.544,0 4.864 8.224 2.375,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 23.040 2 11.520,0 11.520,0 8.864 14.176 3.756,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.552 2 5.776,0 5.776,0 4.544 7.008 1.742,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.680 2 7.840,0 7.840,0 6.240 9.440 2.262,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.408 2 10.704,0 10.704,0 7.936 13.472 3.914,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.792 2 6.896,0 6.896,0 5.504 8.288 1.968,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.552 2 7.776,0 7.776,0 6.016 9.536 2.489,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.872 2 7.936,0 7.936,0 6.368 9.504 2.217,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 23.424 2 11.712,0 11.712,0 9.088 14.336 3.710,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.136 2 5.568,0 5.568,0 4.064 7.072 2.127,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.464 2 11.232,0 11.232,0 8.768 13.696 3.484,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.848 2 11.424,0 11.424,0 8.960 13.888 3.484,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.184 2 6.592,0 6.592,0 5.024 8.160 2.217,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.576 2 10.288,0 10.288,0 8.032 12.544 3.190,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.232 2 5.616,0 5.616,0 4.064 7.168 2.194,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.664 2 6.832,0 6.832,0 5.344 8.320 2.104,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.960 2 6.480,0 6.480,0 4.896 8.064 2.240,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.088 2 6.544,0 6.544,0 4.896 8.192 2.330,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
