0,0 19.904 2 9.952,0 9.952,0 8.192 11.712 2.489,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.528 2 9.264,0 9.264,0 7.040 11.488 3.145,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.560 2 9.280,0 9.280,0 7.040 11.520 3.167,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 19.040 2 9.520,0 9.520,0 7.552 11.488 2.783,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.560 2 7.280,0 7.280,0 5.184 9.376 2.964,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.624 2 9.312,0 9.312,0 7.168 11.456 3.032,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.488 2 7.744,0 7.744,0 5.760 9.728 2.805,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.768 2 8.384,0 8.384,0 7.520 9.248 1.221,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.256 2 6.128,0 6.128,0 4.736 7.520 1.968,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.952 2 6.976,0 6.976,0 5.280 8.672 2.398,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.584 2 5.792,0 5.792,0 4.448 7.136 1.900,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.048 2 7.024,0 7.024,0 5.632 8.416 1.968,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.672 2 8.336,0 8.336,0 6.336 10.336 2.828,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.432 2 7.216,0 7.216,0 6.080 8.352 1.606,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.472 2 4.736,0 4.736,0 3.552 5.920 1.674,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.696 2 4.848,0 4.848,0 3.552 6.144 1.832,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.608 2 6.304,0 6.304,0 4.864 7.744 2.036,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.776 2 5.888,0 5.888,0 4.512 7.264 1.946,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 19.776 2 9.888,0 9.888,0 8.160 11.616 2.443,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.792 2 6.896,0 6.896,0 5.280 8.512 2.285,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.568 2 4.784,0 4.784,0 3.552 6.016 1.742,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.752 2 9.376,0 9.376,0 7.008 11.744 3.348,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.272 2 7.136,0 7.136,0 5.152 9.120 2.805,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.440 2 4.720,0 4.720,0 3.520 5.920 1.697,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.656 2 9.328,0 9.328,0 7.104 11.552 3.145,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.464 2 9.232,0 9.232,0 7.008 11.456 3.145,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 19.424 2 9.712,0 9.712,0 7.968 11.456 2.466,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.560 2 9.280,0 9.280,0 7.008 11.552 3.213,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.536 2 4.768,0 4.768,0 3.552 5.984 1.719,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.544 2 8.272,0 8.272,0 6.336 10.208 2.737,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.736 2 6.368,0 6.368,0 4.672 8.064 2.398,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.664 2 6.832,0 6.832,0 5.248 8.416 2.240,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.336 2 7.168,0 7.168,0 5.088 9.248 2.941,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.528 2 9.264,0 9.264,0 7.040 11.488 3.145,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.104 2 7.552,0 7.552,0 5.728 9.376 2.579,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.784 2 9.392,0 9.392,0 7.104 11.680 3.235,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.472 2 4.736,0 4.736,0 3.520 5.952 1.719,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.448 2 6.224,0 6.224,0 4.800 7.648 2.013,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.000 2 6.000,0 6.000,0 4.576 7.424 2.013,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.880 2 9.440,0 9.440,0 7.296 11.584 3.032,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 19.616 2 9.808,0 9.808,0 8.096 11.520 2.421,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.664 2 6.832,0 6.832,0 5.312 8.352 2.149,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.624 2 9.312,0 9.312,0 7.072 11.552 3.167,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.440 2 4.720,0 4.720,0 3.488 5.952 1.742,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.720 2 9.360,0 9.360,0 7.200 11.520 3.054,0 CUDA_KERNEL Fan1(float *, float *, int, int)
