     25,0        2.351.264          1  2.351.264,0  2.351.264,0  2.351.264  2.351.264          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          490.016          1    490.016,0    490.016,0    490.016    490.016          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     26,0        3.898.848          1  3.898.848,0  3.898.848,0  3.898.848  3.898.848          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          803.616          1    803.616,0    803.616,0    803.616    803.616          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     26,0        2.073.024          1  2.073.024,0  2.073.024,0  2.073.024  2.073.024          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          454.272          1    454.272,0    454.272,0    454.272    454.272          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     23,0        1.962.784          1  1.962.784,0  1.962.784,0  1.962.784  1.962.784          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          430.976          1    430.976,0    430.976,0    430.976    430.976          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     22,0        1.951.456          1  1.951.456,0  1.951.456,0  1.951.456  1.951.456          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          427.296          1    427.296,0    427.296,0    427.296    427.296          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     24,0        1.945.408          1  1.945.408,0  1.945.408,0  1.945.408  1.945.408          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          428.960          1    428.960,0    428.960,0    428.960    428.960          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     10,0        1.985.600          1  1.985.600,0  1.985.600,0  1.985.600   1.985.600          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      2,0          424.704          1    424.704,0    424.704,0    424.704     424.704          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     24,0        1.956.768          1  1.956.768,0  1.956.768,0  1.956.768  1.956.768          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          440.096          1    440.096,0    440.096,0    440.096    440.096          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     27,0        2.910.624          1  2.910.624,0  2.910.624,0  2.910.624  2.910.624          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          565.408          1    565.408,0    565.408,0    565.408    565.408          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     26,0        3.871.904          1  3.871.904,0  3.871.904,0  3.871.904  3.871.904          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          800.320          1    800.320,0    800.320,0    800.320    800.320          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     23,0        1.969.472          1  1.969.472,0  1.969.472,0  1.969.472  1.969.472          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          430.944          1    430.944,0    430.944,0    430.944    430.944          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     21,0        2.106.464          1  2.106.464,0  2.106.464,0  2.106.464  2.106.464          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          566.944          1    566.944,0    566.944,0    566.944    566.944          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     25,0        2.046.336          1  2.046.336,0  2.046.336,0  2.046.336  2.046.336          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      7,0          573.728          1    573.728,0    573.728,0    573.728    573.728          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     25,0        3.877.056          1  3.877.056,0  3.877.056,0  3.877.056  3.877.056          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          799.136          1    799.136,0    799.136,0    799.136    799.136          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     23,0        1.962.048          1  1.962.048,0  1.962.048,0  1.962.048  1.962.048          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          428.832          1    428.832,0    428.832,0    428.832    428.832          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     25,0        2.054.624          1  2.054.624,0  2.054.624,0  2.054.624  2.054.624          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          448.512          1    448.512,0    448.512,0    448.512    448.512          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     19,0        1.974.912          1  1.974.912,0  1.974.912,0  1.974.912  1.974.912          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          558.848          1    558.848,0    558.848,0    558.848    558.848          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     29,0        1.977.280          1  1.977.280,0  1.977.280,0  1.977.280  1.977.280          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      6,0          432.288          1    432.288,0    432.288,0    432.288    432.288          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     26,0        3.867.744          1  3.867.744,0  3.867.744,0  3.867.744  3.867.744          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          803.392          1    803.392,0    803.392,0    803.392    803.392          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     24,0        2.823.456          1  2.823.456,0  2.823.456,0  2.823.456  2.823.456          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          566.528          1    566.528,0    566.528,0    566.528    566.528          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     24,0        1.963.712          1  1.963.712,0  1.963.712,0  1.963.712  1.963.712          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          434.144          1    434.144,0    434.144,0    434.144    434.144          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     26,0        3.880.960          1  3.880.960,0  3.880.960,0  3.880.960  3.880.960          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          803.104          1    803.104,0    803.104,0    803.104    803.104          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     26,0        2.916.800          1  2.916.800,0  2.916.800,0  2.916.800  2.916.800          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          556.960          1    556.960,0    556.960,0    556.960    556.960          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     23,0        1.964.832          1  1.964.832,0  1.964.832,0  1.964.832  1.964.832          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          430.784          1    430.784,0    430.784,0    430.784    430.784          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     27,0        3.865.824          1  3.865.824,0  3.865.824,0  3.865.824  3.865.824          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          806.560          1    806.560,0    806.560,0    806.560    806.560          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     18,0        1.976.800          1  1.976.800,0  1.976.800,0  1.976.800  1.976.800          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          434.496          1    434.496,0    434.496,0    434.496    434.496          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     23,0        1.973.952          1  1.973.952,0  1.973.952,0  1.973.952  1.973.952          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          429.280          1    429.280,0    429.280,0    429.280    429.280          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     22,0        1.984.640          1  1.984.640,0  1.984.640,0  1.984.640  1.984.640          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          432.352          1    432.352,0    432.352,0    432.352    432.352          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     23,0        1.963.840          1  1.963.840,0  1.963.840,0  1.963.840  1.963.840          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          428.448          1    428.448,0    428.448,0    428.448    428.448          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     24,0        1.972.256          1  1.972.256,0  1.972.256,0  1.972.256  1.972.256          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          435.616          1    435.616,0    435.616,0    435.616    435.616          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     26,0        3.908.736          1  3.908.736,0  3.908.736,0  3.908.736  3.908.736          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          804.032          1    804.032,0    804.032,0    804.032    804.032          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     23,0        1.965.152          1  1.965.152,0  1.965.152,0  1.965.152  1.965.152          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
