1,0 8.253.440 128 64.480,0 64.512,0 51.200 68.608 4.074,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.225.344 128 64.260,0 64.912,0 44.544 68.640 5.095,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.341.568 128 65.168,0 64.368,0 61.184 68.960 3.028,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.286.016 128 64.734,0 65.504,0 51.072 68.864 4.052,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.195.808 128 64.029,0 63.600,0 51.136 68.800 4.286,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.257.184 128 64.509,0 63.344,0 51.168 68.736 4.290,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.190.464 128 63.988,0 63.696,0 51.264 69.152 3.624,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.208.480 128 64.128,0 62.368,0 51.200 69.120 4.285,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.175.264 128 63.869,0 62.544,0 51.168 68.672 4.482,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.160.512 128 63.754,0 62.352,0 51.072 68.416 4.081,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.227.520 128 64.277,0 63.568,0 51.168 69.600 4.125,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.098.656 128 63.270,0 62.912,0 50.336 69.184 4.875,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.167.936 128 63.812,0 64.688,0 51.168 68.768 4.524,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.246.528 128 64.426,0 64.144,0 51.200 68.544 3.882,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.167.072 128 63.805,0 63.408,0 38.976 68.704 5.723,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.154.016 128 63.703,0 65.808,0 40.352 68.928 6.580,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.223.936 128 64.249,0 64.096,0 51.168 68.768 4.269,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.139.616 128 63.590,0 63.040,0 50.112 68.960 5.048,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.123.200 128 63.462,0 63.328,0 50.112 68.800 4.987,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.230.368 128 64.299,0 64.560,0 51.168 68.576 4.171,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.078.528 128 63.113,0 63.072,0 50.080 69.152 5.036,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.260.928 128 64.538,0 65.728,0 51.136 69.312 4.202,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.284.992 128 64.726,0 65.104,0 51.168 68.928 4.083,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.277.952 128 64.671,0 64.880,0 51.104 68.896 4.010,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.096.928 128 63.257,0 63.216,0 50.048 68.864 5.283,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.265.600 128 64.575,0 63.776,0 51.168 69.024 4.147,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.267.008 128 64.586,0 65.024,0 51.136 68.832 4.099,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.099.872 128 63.280,0 63.136,0 50.016 68.608 5.329,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.001.184 128 62.509,0 63.200,0 37.728 68.736 8.547,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.188.128 128 63.969,0 62.144,0 51.200 68.800 4.313,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.945.536 128 62.074,0 62.240,0 50.048 68.928 5.710,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.212.992 128 64.164,0 63.152,0 51.200 68.960 4.282,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.216.640 128 64.192,0 63.952,0 51.168 68.480 4.194,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.893.088 128 61.664,0 65.808,0 39.744 68.928 9.187,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.191.648 128 56.184,0 51.552,0 48.544 64.128 6.131,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.241.824 128 64.389,0 64.544,0 51.136 68.768 3.918,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.996.160 128 62.470,0 62.304,0 50.080 68.736 5.398,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.228.192 128 64.282,0 63.824,0 51.168 69.184 4.087,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.161.504 128 63.761,0 63.296,0 50.016 69.952 4.968,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 6.240.800 128 48.756,0 49.824,0 46.720 52.704 1.619,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.815.072 128 61.055,0 62.464,0 50.080 68.928 6.037,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.004.704 128 62.536,0 62.320,0 50.080 68.576 5.541,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.094.848 128 63.241,0 63.136,0 39.296 69.184 6.635,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.994.144 128 62.454,0 62.320,0 49.952 68.800 5.320,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.321.312 128 65.010,0 66.064,0 51.136 68.672 3.715,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.090.528 128 63.207,0 63.264,0 50.144 68.640 5.200,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 6.925.824 128 54.108,0 51.328,0 39.392 68.736 12.215,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.731.456 128 60.402,0 63.696,0 38.208 69.024 10.518,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.236.992 128 64.351,0 64.960,0 51.264 68.640 4.160,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.094.240 128 63.236,0 63.088,0 50.080 68.800 5.387,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.255.264 128 64.494,0 64.464,0 51.136 68.928 4.157,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.173.984 128 63.859,0 63.392,0 50.176 68.896 5.042,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.209.888 128 56.327,0 51.552,0 49.632 64.800 6.144,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.266.912 128 64.585,0 64.672,0 51.136 68.736 4.245,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.162.016 128 63.765,0 63.296,0 50.048 68.544 4.910,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.296.288 128 64.814,0 63.664,0 51.200 68.896 3.838,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.986.144 128 62.391,0 62.256,0 50.048 68.672 5.980,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.745.184 128 60.509,0 62.528,0 50.240 68.896 6.481,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.225.952 128 64.265,0 65.360,0 51.136 68.896 4.439,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.874.976 128 61.523,0 62.976,0 50.016 68.800 6.403,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.212.896 128 64.163,0 62.480,0 51.232 69.120 3.970,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.313.888 128 64.952,0 66.368,0 51.232 68.960 3.796,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.108.288 128 63.346,0 63.232,0 50.112 69.120 5.212,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.448.192 128 66.001,0 68.080,0 62.272 70.016 2.672,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.185.120 128 63.946,0 63.296,0 50.336 68.832 4.811,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.249.632 128 64.450,0 63.456,0 51.168 68.832 4.024,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.729.792 128 60.389,0 65.456,0 38.784 68.672 10.699,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 6.204.032 128 48.469,0 47.952,0 46.688 52.672 1.643,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.260.576 128 64.535,0 65.520,0 51.200 68.832 4.268,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.151.968 128 63.687,0 62.960,0 51.104 68.992 4.591,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.115.552 128 63.402,0 63.200,0 50.048 69.344 5.263,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.835.296 128 61.213,0 62.320,0 49.984 68.640 6.325,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.175.616 128 63.872,0 62.832,0 51.136 68.800 4.354,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.207.008 128 64.117,0 63.408,0 51.104 69.056 4.397,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 6.295.072 128 49.180,0 49.744,0 47.488 52.224 1.278,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.545.536 128 58.949,0 62.160,0 40.096 68.544 9.657,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.079.200 128 63.118,0 63.184,0 50.016 68.896 5.437,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.150.720 128 63.677,0 63.264,0 50.176 68.800 5.050,0 CUDA_KERNEL lud_diagonal(float *, int, int)
