     23,0      110.803.488        127      872.468,0      652.192,0        8.224    2.375.552     779.409,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.458.688        127      113.847,0      107.200,0       69.568      180.480      36.332,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.322.368        128       65.018,0       66.368,0       51.136       68.960       3.644,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      107.913.952        127      849.716,0      602.752,0        5.664    2.291.136     762.260,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       13.708.352        127      107.939,0      106.592,0       45.088      174.048      41.903,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        7.660.288        128       59.846,0       62.288,0       39.584       68.704      10.442,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      100.332.768        127      790.021,0      613.344,0        5.472    1.896.704     687.151,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      2,0       12.744.128        127      100.347,0      105.152,0       44.608      165.824      41.468,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        7.050.272        128       55.080,0       61.328,0       39.456       69.280      12.010,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      108.768.896        127      856.448,0      606.336,0        5.504    2.324.000     771.234,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       13.561.920        127      106.786,0      105.376,0       44.480      180.320      44.028,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        7.543.328        128       58.932,0       63.568,0       39.808       69.280      11.324,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      108.385.728        127      853.430,0      625.408,0        6.784    2.292.128     756.838,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.382.432        127      113.247,0      107.936,0       68.160      179.264      35.963,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.268.128        128       64.594,0       64.960,0       51.136       69.280       3.876,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      109.361.536        127      861.114,0      621.472,0        6.720    2.335.008     769.186,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.327.744        127      112.816,0      107.968,0       68.384      180.416      36.438,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.236.000        128       64.343,0       64.256,0       51.168       69.056       4.109,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      113.013.312        127      889.868,0      634.944,0        6.816    2.686.944     820.987,0  CUDA_KERNEL  lud_internal(float *, int, int) 
