3,0 14.349.312 127 112.986,0 107.328,0 68.480 179.328 36.343,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.258.208 127 112.269,0 107.616,0 67.808 179.552 35.824,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.630.144 127 115.198,0 106.016,0 68.128 196.960 39.076,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.392.512 127 113.326,0 108.288,0 67.968 179.808 36.142,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.289.344 127 112.514,0 107.296,0 67.904 174.656 35.164,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.326.816 127 112.809,0 108.416,0 69.504 174.080 34.990,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.396.096 127 113.355,0 105.728,0 67.552 180.448 37.063,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.289.152 127 112.513,0 107.584,0 67.872 174.784 35.955,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.234.784 127 112.084,0 108.160,0 67.712 173.408 35.347,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.248.832 127 112.195,0 105.408,0 67.648 173.984 35.936,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.341.088 127 112.922,0 107.872,0 67.968 180.288 36.516,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.036.736 127 110.525,0 105.984,0 68.128 171.296 32.680,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.176.192 127 111.623,0 107.680,0 67.904 173.568 34.820,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.372.672 127 113.170,0 107.520,0 68.256 179.872 36.973,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.341.216 127 112.923,0 106.464,0 43.200 182.368 38.811,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.399.168 127 113.379,0 105.952,0 44.864 197.056 41.195,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.290.080 127 112.520,0 108.256,0 68.064 174.816 36.013,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.069.024 127 110.779,0 107.360,0 68.192 171.968 33.371,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.020.000 127 110.393,0 106.688,0 67.552 171.456 32.843,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.339.840 127 112.912,0 108.224,0 67.744 180.224 36.576,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.964.416 127 109.956,0 107.168,0 68.096 165.856 32.351,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.351.488 127 113.003,0 108.256,0 68.288 180.032 36.378,0 CUDA_KERNEL lud_perimeter(float *, int, int)
