23,0 109.380.992 127 861.267,0 611.136,0 6.944 2.317.376 766.911,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.195.776 127 859.809,0 618.240,0 7.008 2.306.720 761.709,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 112.729.120 127 887.630,0 611.584,0 6.752 2.600.512 818.765,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.356.288 127 861.073,0 634.272,0 6.656 2.334.112 764.335,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 107.076.160 127 843.119,0 589.472,0 6.720 2.204.672 743.638,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 107.665.312 127 847.758,0 618.624,0 7.936 2.244.416 747.565,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 110.728.576 127 871.878,0 655.072,0 6.656 2.387.552 779.135,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.841.280 127 857.018,0 634.720,0 6.848 2.302.336 760.881,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 107.125.600 127 843.508,0 639.232,0 6.816 2.193.472 742.261,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.058.368 127 850.853,0 619.488,0 6.976 2.291.872 754.390,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.052.096 127 858.677,0 610.496,0 6.976 2.302.816 764.062,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 103.244.928 127 812.952,0 608.480,0 6.816 1.989.728 697.509,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 106.925.056 127 841.929,0 619.232,0 7.040 2.170.080 733.023,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 110.215.648 127 867.839,0 602.464,0 6.880 2.356.256 778.325,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 110.809.984 127 872.519,0 618.304,0 5.664 2.480.576 792.636,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 111.671.136 127 879.300,0 597.920,0 5.792 2.586.688 812.956,0 CUDA_KERNEL lud_internal(float *, int, int)
