1,0 5.013.184 9 557.020,0 465.440,0 320.704 994.080 221.752,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.501.952 9 389.105,0 413.344,0 271.264 468.928 67.886,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.860.544 9 651.171,0 741.152,0 385.984 965.792 207.824,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.461.984 9 384.664,0 405.824,0 312.800 446.528 49.703,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.873.568 9 319.285,0 275.104,0 147.232 476.320 113.961,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.415.136 9 601.681,0 664.896,0 274.656 905.568 222.781,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.428.736 9 380.970,0 394.784,0 220.192 474.656 79.559,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.429.056 9 603.228,0 489.504,0 186.272 985.024 268.222,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.436.928 9 381.880,0 407.968,0 173.824 487.040 111.684,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.796.320 9 421.813,0 442.400,0 107.392 829.440 224.769,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.461.184 9 384.576,0 439.552,0 205.408 470.976 94.194,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.920.512 9 435.612,0 449.120,0 320.736 520.832 71.862,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.074.080 9 563.786,0 615.008,0 263.232 873.184 233.010,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.876.032 9 319.559,0 404.960,0 47.008 484.480 168.419,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.273.376 9 363.708,0 389.888,0 249.120 437.536 62.943,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.390.912 9 376.768,0 378.432,0 202.656 488.416 85.307,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
