16,0 58.115.904 9 6.457.322,0 6.457.184,0 6.451.552 6.467.872 5.310,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.529.952 9 6.503.328,0 6.479.104,0 6.473.088 6.570.240 39.516,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
16,0 58.126.144 9 6.458.460,0 6.460.032,0 6.452.096 6.466.560 5.003,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.485.856 9 6.498.428,0 6.464.128,0 6.446.240 6.568.896 52.562,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 59.273.152 9 6.585.905,0 6.462.784,0 6.451.648 6.941.056 206.593,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.110.912 9 6.456.768,0 6.455.200,0 6.452.864 6.469.056 4.997,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.126.400 9 6.458.488,0 6.457.888,0 6.452.800 6.468.736 4.515,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
21,0 88.767.200 9 9.863.022,0 6.899.648,0 6.539.968 18.684.672 4.298.513,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.127.392 9 6.458.599,0 6.459.008,0 6.448.704 6.467.488 5.501,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
23,0 99.759.936 9 11.084.437,0 12.905.088,0 6.944.480 12.937.568 2.774.976,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.126.432 9 6.458.492,0 6.459.840,0 6.445.280 6.467.360 6.298,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.082.048 9 6.453.560,0 6.452.800,0 6.439.616 6.469.152 8.145,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
22,0 93.484.864 9 10.387.207,0 12.903.744,0 6.904.224 12.932.384 3.021.579,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.351.200 9 6.483.466,0 6.461.376,0 6.455.456 6.566.560 43.918,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
23,0 101.397.920 9 11.266.435,0 12.907.392,0 6.555.232 12.928.512 2.756.633,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 60.886.784 9 6.765.198,0 6.922.080,0 6.452.608 6.940.576 231.060,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
20,0 75.477.312 9 8.386.368,0 6.925.024,0 6.866.912 12.933.472 2.611.778,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.216.480 9 6.468.497,0 6.457.376,0 6.452.416 6.560.960 34.841,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 61.454.784 9 6.828.309,0 6.926.720,0 6.449.024 7.590.240 364.961,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
23,0 99.602.496 9 11.066.944,0 12.908.160,0 6.919.904 12.934.208 2.798.935,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
18,0 62.861.120 9 6.984.568,0 6.510.944,0 6.457.888 8.206.144 774.561,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.095.584 9 6.455.064,0 6.455.360,0 6.433.888 6.469.440 9.586,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
