23.1 113887072 127 896748.6 661568.0 8640 2672352 825759.4 CUDA_KERNEL lud_internal(float *, int, int)
23.3 113686656 127 895170.5 672800.0 8096 2669216 823600.1 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113658240 127 894946.8 668672.0 8288 2690144 826115.0 CUDA_KERNEL lud_internal(float *, int, int)
22.6 103840416 127 817641.1 396064.0 4768 2682368 849027.4 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113314048 127 892236.6 625184.0 8288 2672672 823962.9 CUDA_KERNEL lud_internal(float *, int, int)
22.9 113121312 127 890719.0 632096.0 7872 2647840 822376.9 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113617376 127 894625.0 654496.0 7904 2662944 825348.9 CUDA_KERNEL lud_internal(float *, int, int)
23.0 113641792 127 894817.3 641664.0 7904 2680384 826042.3 CUDA_KERNEL lud_internal(float *, int, int)
22.8 113370784 127 892683.3 659424.0 7936 2666112 824059.6 CUDA_KERNEL lud_internal(float *, int, int)
20.7 86658112 127 682347.3 411424.0 5024 2686624 761259.7 CUDA_KERNEL lud_internal(float *, int, int)
22.9 107765216 127 848545.0 490016.0 5088 2678944 851086.6 CUDA_KERNEL lud_internal(float *, int, int)
23.4 115142880 127 906636.9 622272.0 8448 4542176 870755.9 CUDA_KERNEL lud_internal(float *, int, int)
22.6 105395104 127 829882.7 467936.0 5152 2653024 847688.1 CUDA_KERNEL lud_internal(float *, int, int)
23.9 118318432 127 931641.2 648960.0 5440 3614592 907402.9 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113754368 127 895703.7 682240.0 8096 2668288 824241.8 CUDA_KERNEL lud_internal(float *, int, int)
22.6 102781504 127 809303.2 415456.0 4864 2687136 851527.0 CUDA_KERNEL lud_internal(float *, int, int)
22.9 113032384 127 890018.8 625664.0 8416 2710560 821466.3 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113978784 127 897470.7 633216.0 8000 2671168 825802.9 CUDA_KERNEL lud_internal(float *, int, int)
22.5 101505376 127 799254.9 382016.0 4960 2673536 848056.6 CUDA_KERNEL lud_internal(float *, int, int)
23.2 109901376 127 865365.2 605664.0 5120 2674528 842550.0 CUDA_KERNEL lud_internal(float *, int, int)
23.4 110224992 127 867913.3 609280.0 5024 2697408 847065.1 CUDA_KERNEL lud_internal(float *, int, int)
23.0 113730144 127 895512.9 625536.0 8192 2698144 825653.5 CUDA_KERNEL lud_internal(float *, int, int)
20.0 68872096 127 542300.0 397280.0 4928 1628416 497435.6 CUDA_KERNEL lud_internal(float *, int, int)
23.0 113818080 127 896205.4 635680.0 8512 2662880 826253.9 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113854752 127 896494.1 633792.0 7808 2695104 825109.8 CUDA_KERNEL lud_internal(float *, int, int)
23.9 115836576 127 912099.0 611424.0 4960 6744800 1022734.7 CUDA_KERNEL lud_internal(float *, int, int)
22.9 108220320 127 852128.5 501536.0 6272 2655648 839481.1 CUDA_KERNEL lud_internal(float *, int, int)
22.9 112941952 127 889306.7 616096.0 7872 2691264 821600.7 CUDA_KERNEL lud_internal(float *, int, int)
23.3 109655808 127 863431.6 535008.0 6272 2670464 834546.0 CUDA_KERNEL lud_internal(float *, int, int)
22.5 100703072 127 792937.6 409184.0 5088 2688864 849713.5 CUDA_KERNEL lud_internal(float *, int, int)
23.5 118523808 127 933258.3 634880.0 8032 4286976 912917.1 CUDA_KERNEL lud_internal(float *, int, int)
22.4 99869824 127 786376.6 390688.0 4832 2653472 844031.3 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113767456 127 895806.7 636896.0 7904 2671104 822979.0 CUDA_KERNEL lud_internal(float *, int, int)
22.5 102174720 127 804525.4 401024.0 5088 2663168 845873.9 CUDA_KERNEL lud_internal(float *, int, int)
20.8 84538496 127 665657.4 358016.0 4128 2672992 759263.5 CUDA_KERNEL lud_internal(float *, int, int)
20.8 86114240 127 678064.9 388768.0 5088 2685984 759967.6 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113803008 127 896086.7 647424.0 8512 2674464 825870.0 CUDA_KERNEL lud_internal(float *, int, int)
23.3 109532192 127 862458.2 587712.0 5152 2678624 843670.1 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113103680 127 890580.2 625600.0 8160 2676800 820452.1 CUDA_KERNEL lud_internal(float *, int, int)
