      1.3          5483456        128      42839.5      41280.0      32768      70688      11790.8  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     21.7         95950912        127     755519.0     444128.0       6336    3082496     814410.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.6         11663168        127      91836.0      80480.0      52000     205312      39732.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.5          6497632        128      50762.8      49936.0      46720      70528       6467.4  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     21.0         89397728        127     703919.1     406464.0       5024    2685056     787754.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.5         10576960        127      83283.1      67264.0      43488     205152      44879.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.3          5710304        128      44611.8      40944.0      38048      70080      10430.9  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     19.4         67240672        127     529454.1     350304.0       3968    1633056     502105.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.4          8438208        127      66442.6      57184.0      35712     124704      26656.5  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          4680448        128      36566.0      35280.0      31808      42624       4204.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.8        107118176        127     843450.2     439104.0       4960    2679872     849745.2  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.7         12581056        127      99063.4      70336.0      43360     205440      52445.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6734400        128      52612.5      42864.0      38176      71264      14345.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.1        113515264        127     893821.0     646944.0       7968    2679648     826003.5  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14697120        127     115725.4     108608.0      69280     205088      38986.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8392608        128      65567.3      65248.0      62336      70944       2680.0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.6        103144192        127     812159.0     385088.0       4928    2678272     851200.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.6         11918464        127      93846.2      67424.0      42976     205408      51940.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6388896        128      49913.3      41296.0      38272      71456      13688.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.6        111588544        127     878650.0     772704.0       5152    4529504     895054.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.5         11766240        127      92647.6      79680.0      43904     205664      50422.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.3          6267488        128      48964.8      41664.0      38528      70176      12629.9  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.1        113451520        127     893319.1     652832.0       8544    2673472     822829.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14710880        127     115833.7     108736.0      69504     205216      38947.7  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8389504        128      65543.0      66816.0      62240      71168       2702.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     21.9         98355872        127     774455.7     373824.0       5184    2668832     840937.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.5         11410400        127      89845.7      67616.0      43456     205088      50291.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6111392        128      47745.3      41536.0      37952      71328      12636.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.3        113676352        127     895089.4     638720.0       7808    2662144     824769.1  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14694144        127     115701.9     107680.0      69600     205536      38960.7  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8392288        128      65564.8      65728.0      62272      70080       2680.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.0        112657888        127     887070.0     605088.0       8064    2650464     821166.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14697152        127     115725.6     108192.0      69216     206112      38996.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8381888        128      65483.5      63712.0      62304      70368       2704.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.0         97636800        127     768793.7     383072.0       4960    2662560     834992.1  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.6         11398976        127      89755.7      66176.0      43424     205920      50447.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6078560        128      47488.8      39776.0      38112      70464      12667.6  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.0        113614880        127     894605.4     637376.0       8384    2693920     824551.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14698464        127     115735.9     108320.0      69376     206016      38904.5  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8383328        128      65494.8      65264.0      62304      71008       2682.1  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     20.9         87785632        127     691225.4     383136.0       5120    2676480     775329.8  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.5         10492512        127      82618.2      68064.0      43232     206624      44008.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          5680544        128      44379.3      41184.0      38208      70752      10044.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.7        119500992        127     940952.7     607360.0       7808    7182848    1022167.2  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.9         14688032        127     115653.8     108832.0      68800     205440      38843.1  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8410400        128      65706.3      67408.0      62304      70304       2924.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.4        110036160        127     866426.5     592096.0       5184    2645184     839362.2  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.8         13149856        127     103542.2     105280.0      43296     205632      51125.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.5          7102848        128      55491.0      64464.0      37984      71328      13912.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.9        112798848        127     888179.9     626496.0       7968    2671264     822127.5  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14691904        127     115684.3     108640.0      68736     204704      39033.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8400960        128      65632.5      66912.0      62304      70272       2790.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     21.9         96166400        127     757215.7     397856.0       4544    4692288     877969.7  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.5         10931776        127      86077.0      67296.0      41376     205888      47978.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.3          5874880        128      45897.5      41264.0      37184      72256      11696.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     21.7         97657408        127     768956.0     382080.0       4928    2644864     836934.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.5         11370240        127      89529.4      68288.0      43744     204288      50030.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6097696        128      47638.3      41216.0      38272      71136      12665.4  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.7        118392640        127     932225.5     687232.0       8224    3111712     861354.7  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.9         14699200        127     115741.7     107008.0      69440     205184      38790.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8398784        128      65615.5      67424.0      62272      70720       2551.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.0        113709376        127     895349.4     651296.0       8576    2679136     825329.7  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14683008        127     115614.2     106624.0      68736     205248      39034.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8370624        128      65395.5      64032.0      62304      71200       2711.0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     20.9         87997024        127     692890.0     381824.0       4640    2653984     785264.3  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.4         10202656        127      80335.9      67328.0      37088     205728      46389.2  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.3          5433600        128      42450.0      41104.0      32800      71360      11701.1  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.0         97025792        127     763982.6     454688.0       4640    2680992     815479.2  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.6         11436736        127      90053.0      81536.0      37440     205696      48560.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6093280        128      47603.8      49232.0      32896      71520      12279.8  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     21.3         90915808        127     715872.5     386112.0       4960    2666176     800360.2  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.5         10768256        127      84789.4      68224.0      43520     205440      46296.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          5808928        128      45382.3      40992.0      38304      70752      11036.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.8        103187712        127     812501.7     398176.0       5088    2639648     848034.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.6         11930304        127      93939.4      67360.0      43328     205856      51919.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6361088        128      49696.0      40304.0      38016      70784      13589.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.4        100401184        127     790560.5     406432.0       5024    2672032     843141.5  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.6         11657888        127      91794.4      67136.0      42944     204608      51151.1  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6277152        128      49040.3      40736.0      37952      78400      13363.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.2        112190272        127     883388.0     656288.0       5408    2663104     829186.8  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.8         13682784        127     107738.5     108672.0      43712     205632      48377.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.5          7484096        128      58469.5      67376.0      38688      70720      12808.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.2        113797920        127     896046.6     647776.0       8448    2661664     825175.3  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14705696        127     115792.9     108928.0      68800     204992      39096.3  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8386880        128      65522.5      66160.0      62304      71872       2586.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     20.0         80786304        127     636112.6     477216.0       6400    1890816     581877.2  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.7         10947360        127      86199.7      79808.0      51520     150752      28850.7  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.5          6212032        128      48531.5      48752.0      46656      52640       1604.6  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     21.6         94151264        127     741348.5     381760.0       4512    2665664     820120.1  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.5         11055584        127      87051.8      68128.0      41472     204736      48559.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          5916448        128      46222.3      40512.0      37152      70720      11846.8  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.0        108201568        127     851980.9     443328.0       5120    2673792     847711.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.7         12750336        127     100396.3      69984.0      43040     204864      52263.3  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.5          6863008        128      53617.3      52608.0      38208      75456      14475.6  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.2        107436640        127     845957.8     476448.0       5184    2671744     846008.1  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.7         12592896        127      99156.7      69664.0      43296     205088      52410.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6725824        128      52545.5      42400.0      38112      70752      14161.0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.4        110541472        127     870405.3     395232.0       4992    4558528     979162.2  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.5         12035872        127      94770.6      68224.0      43936     205920      52114.3  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6439328        128      50307.3      41248.0      38304      71072      13712.1  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     21.3         91385536        127     719571.1     379072.0       5024    2670176     802600.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.5         10779680        127      84879.4      66752.0      43776     205824      46359.7  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          5815968        128      45437.3      40560.0      38336      71488      10958.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.2        112878112        127     888804.0     619936.0       5472    2680640     819407.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14421792        127     113557.4     107008.0      42912     205568      41881.3  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8140000        128      63593.8      65952.0      38976      70112       7307.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.9        106551584        127     838988.9     470528.0       4960    2669120     847752.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.7         12418112        127      97780.4      69728.0      42880     204960      52623.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6633472        128      51824.0      41328.0      38208      71360      14159.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.0        113143168        127     890891.1     633792.0       8064    2663648     821093.8  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14688000        127     115653.5     106848.0      69632     204704      38910.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8390400        128      65550.0      65488.0      62336      71200       2586.9  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.8        112651168        127     887017.1     623232.0       7680    2675936     818903.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14696704        127     115722.1     107200.0      68672     205408      38906.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8390400        128      65550.0      65872.0      62272      71424       2821.4  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     21.6         93620576        127     737169.9     398208.0       4864    2684800     818154.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.5         10935424        127      86105.7      67424.0      43456     205088      47649.2  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          5887168        128      45993.5      40592.0      38208      70496      11512.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.1        113887072        127     896748.6     661568.0       8640    2672352     825759.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14718528        127     115893.9     108224.0      69088     205504      38904.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8387136        128      65524.5      66672.0      62304      70272       2597.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.3        113686656        127     895170.5     672800.0       8096    2669216     823600.1  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14699168        127     115741.5     108384.0      68736     205536      38943.2  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8401280        128      65635.0      67744.0      62240      70112       2670.8  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.1        113658240        127     894946.8     668672.0       8288    2690144     826115.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14701728        127     115761.6     108224.0      69152     204896      38845.3  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8390560        128      65551.3      67456.0      62304      71360       2719.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.6        103840416        127     817641.1     396064.0       4768    2682368     849027.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.6         12006592        127      94540.1      67488.0      42592     205056      52127.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6418848        128      50147.3      41520.0      38240      70592      13752.4  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.1        113314048        127     892236.6     625184.0       8288    2672672     823962.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14700000        127     115748.0     107904.0      68896     205760      38940.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8395072        128      65586.5      66896.0      62272      70208       2524.9  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.9        113121312        127     890719.0     632096.0       7872    2647840     822376.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14690848        127     115676.0     107648.0      68736     206176      38989.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8391040        128      65555.0      66832.0      62272      70048       2694.9  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.1        113617376        127     894625.0     654496.0       7904    2662944     825348.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14700832        127     115754.6     108480.0      69184     205472      38832.3  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8381568        128      65481.0      67440.0      62336      70368       2653.8  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.0        113641792        127     894817.3     641664.0       7904    2680384     826042.3  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14702848        127     115770.5     107712.0      68672     205824      38966.3  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8388416        128      65534.5      66320.0      62336      70656       2686.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.8        113370784        127     892683.3     659424.0       7936    2666112     824059.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14702464        127     115767.4     108032.0      69248     205920      38945.7  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8400864        128      65631.8      67616.0      62272      70496       2680.8  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     20.7         86658112        127     682347.3     411424.0       5024    2686624     761259.7  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.5         10341952        127      81432.7      67200.0      43360     205568      42560.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.3          5628544        128      43973.0      40864.0      38304      70816       9571.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.9        107765216        127     848545.0     490016.0       5088    2678944     851086.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.7         12543968        127      98771.4      69376.0      43584     205664      52436.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6714496        128      52457.0      42032.0      38336      70592      14246.6  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.4        115142880        127     906636.9     622272.0       8448    4542176     870755.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14713216        127     115852.1     107904.0      69152     205344      38921.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8377280        128      65447.5      65648.0      62272      70624       2695.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.6        105395104        127     829882.7     467936.0       5152    2653024     847688.1  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.6         12227392        127      96278.7      69312.0      43296     205248      52370.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6523552        128      50965.3      41776.0      38400      71616      13995.4  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.9        118318432        127     931641.2     648960.0       5440    3614592     907402.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.7         13581408        127     106940.2     107680.0      42912     205568      48984.2  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.5          7417344        128      57948.0      66624.0      38656      71040      13148.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.1        113754368        127     895703.7     682240.0       8096    2668288     824241.8  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14703232        127     115773.5     108320.0      69056     206048      38893.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8388864        128      65538.0      67504.0      62272      70464       2674.6  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.6        102781504        127     809303.2     415456.0       4864    2687136     851527.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.6         11756160        127      92568.2      68256.0      43104     206368      51539.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6294624        128      49176.8      41232.0      38112      70304      13379.9  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.9        113032384        127     890018.8     625664.0       8416    2710560     821466.3  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14704192        127     115781.0     107904.0      69408     205632      38993.7  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8394144        128      65579.3      65872.0      62272      71808       2688.9  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.1        113978784        127     897470.7     633216.0       8000    2671168     825802.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14711616        127     115839.5     107456.0      68800     205440      38881.5  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8396896        128      65600.8      65936.0      62304      71008       2683.4  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.5        101505376        127     799254.9     382016.0       4960    2673536     848056.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.6         11757120        127      92575.7      66784.0      43072     205504      51436.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6284384        128      49096.8      39856.0      38336      70688      13405.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.2        109901376        127     865365.2     605664.0       5120    2674528     842550.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.8         13073664        127     102942.2     105216.0      43776     206400      51542.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.5          7088416        128      55378.3      65264.0      38368      70720      14181.4  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.4        110224992        127     867913.3     609280.0       5024    2697408     847065.1  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.8         12955008        127     102007.9     103936.0      43424     206080      51807.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.5          6978336        128      54518.3      64912.0      38592      70528      14198.6  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.0        113730144        127     895512.9     625536.0       8192    2698144     825653.5  CUDA_KERNEL  lud_internal(float *, int, int) 
