48,0 1.377.129.344 10 137.712.934,0 92.035.520,0 88.773.888 231.102.336 61.237.476,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.229.388.000 10 122.938.800,0 98.353.728,0 90.440.384 186.389.280 39.060.673,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.097.956.512 10 109.795.651,0 93.360.112,0 86.961.696 172.810.080 33.098.589,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.198.325.184 10 119.832.518,0 92.248.144,0 86.737.632 193.700.160 44.707.960,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.366.346.048 10 136.634.604,0 111.187.568,0 90.411.872 219.783.232 51.110.180,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.151.026.656 10 115.102.665,0 93.100.048,0 86.858.048 203.203.904 44.609.534,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.156.161.248 10 115.616.124,0 93.010.896,0 86.761.312 183.303.232 37.338.799,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.109.090.496 10 110.909.049,0 90.416.784,0 85.709.312 185.547.584 38.586.353,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.803.421.760 10 180.342.176,0 183.578.864,0 114.928.960 219.904.384 34.110.393,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.554.006.912 10 155.400.691,0 165.649.488,0 88.752.448 219.630.656 51.281.345,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.146.620.576 10 114.662.057,0 91.509.184,0 86.674.880 179.004.736 39.621.032,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.151.154.944 10 115.115.494,0 91.675.248,0 85.713.408 191.226.112 40.695.545,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.125.175.328 10 112.517.532,0 91.680.160,0 86.850.912 186.082.144 38.127.761,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.263.820.000 10 126.382.000,0 107.452.704,0 90.495.520 186.436.064 39.951.792,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 996.586.880 10 99.658.688,0 93.672.000,0 86.782.048 147.787.072 17.748.639,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.185.790.080 10 118.579.008,0 91.969.728,0 86.830.080 207.567.040 45.324.700,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
