0,0 2.299.808 1 2.299.808,0 2.299.808,0 2.299.808 2.299.808 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.307.552 1 2.307.552,0 2.307.552,0 2.307.552 2.307.552 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.414.720 1 3.414.720,0 3.414.720,0 3.414.720 3.414.720 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.308.128 1 2.308.128,0 2.308.128,0 2.308.128 2.308.128 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.400.352 1 3.400.352,0 3.400.352,0 3.400.352 3.400.352 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.868.224 1 2.868.224,0 2.868.224,0 2.868.224 2.868.224 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.778.976 1 2.778.976,0 2.778.976,0 2.778.976 2.778.976 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.305.824 1 2.305.824,0 2.305.824,0 2.305.824 2.305.824 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.315.776 1 2.315.776,0 2.315.776,0 2.315.776 2.315.776 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.886.752 1 2.886.752,0 2.886.752,0 2.886.752 2.886.752 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.306.720 1 2.306.720,0 2.306.720,0 2.306.720 2.306.720 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.280.704 1 2.280.704,0 2.280.704,0 2.280.704 2.280.704 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.955.200 1 2.955.200,0 2.955.200,0 2.955.200 2.955.200 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.312.800 1 2.312.800,0 2.312.800,0 2.312.800 2.312.800 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.400.768 1 3.400.768,0 3.400.768,0 3.400.768 3.400.768 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.306.752 1 2.306.752,0 2.306.752,0 2.306.752 2.306.752 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.306.560 1 2.306.560,0 2.306.560,0 2.306.560 2.306.560 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.881.824 1 2.881.824,0 2.881.824,0 2.881.824 2.881.824 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.300.320 1 2.300.320,0 2.300.320,0 2.300.320 2.300.320 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.322.048 1 2.322.048,0 2.322.048,0 2.322.048 2.322.048 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.232 1 4.535.232,0 4.535.232,0 4.535.232 4.535.232 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.400.352 1 3.400.352,0 3.400.352,0 3.400.352 3.400.352 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.022.208 1 3.022.208,0 3.022.208,0 3.022.208 3.022.208 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.539.392 1 4.539.392,0 4.539.392,0 4.539.392 4.539.392 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.957.376 1 2.957.376,0 2.957.376,0 2.957.376 2.957.376 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.403.424 1 4.403.424,0 4.403.424,0 4.403.424 4.403.424 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.995.808 1 2.995.808,0 2.995.808,0 2.995.808 2.995.808 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.307.776 1 2.307.776,0 2.307.776,0 2.307.776 2.307.776 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.120.800 1 5.120.800,0 5.120.800,0 5.120.800 5.120.800 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.309.056 1 2.309.056,0 2.309.056,0 2.309.056 2.309.056 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.997.472 1 2.997.472,0 2.997.472,0 2.997.472 2.997.472 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.111.456 1 5.111.456,0 5.111.456,0 5.111.456 5.111.456 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.139.232 1 5.139.232,0 5.139.232,0 5.139.232 5.139.232 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.308.608 1 2.308.608,0 2.308.608,0 2.308.608 2.308.608 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.533.280 1 4.533.280,0 4.533.280,0 4.533.280 4.533.280 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.360 1 4.535.360,0 4.535.360,0 4.535.360 4.535.360 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.992.256 1 2.992.256,0 2.992.256,0 2.992.256 2.992.256 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.762.016 1 2.762.016,0 2.762.016,0 2.762.016 2.762.016 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.795.424 1 3.795.424,0 3.795.424,0 3.795.424 3.795.424 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.545.888 1 4.545.888,0 4.545.888,0 4.545.888 4.545.888 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.974.720 1 2.974.720,0 2.974.720,0 2.974.720 2.974.720 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.317.312 1 2.317.312,0 2.317.312,0 2.317.312 2.317.312 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.533.408 1 4.533.408,0 4.533.408,0 4.533.408 4.533.408 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.532.576 1 4.532.576,0 4.532.576,0 4.532.576 4.532.576 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.531.808 1 4.531.808,0 4.531.808,0 4.531.808 4.531.808 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.240 1 4.534.240,0 4.534.240,0 4.534.240 4.534.240 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.552.512 1 4.552.512,0 4.552.512,0 4.552.512 4.552.512 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.319.392 1 2.319.392,0 2.319.392,0 2.319.392 2.319.392 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.283.712 1 5.283.712,0 5.283.712,0 5.283.712 5.283.712 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.688 1 4.534.688,0 4.534.688,0 4.534.688 4.534.688 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.528 1 4.534.528,0 4.534.528,0 4.534.528 4.534.528 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.894.112 1 2.894.112,0 2.894.112,0 2.894.112 2.894.112 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.732.704 1 2.732.704,0 2.732.704,0 2.732.704 2.732.704 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.542.688 1 4.542.688,0 4.542.688,0 4.542.688 4.542.688 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.168 1 4.535.168,0 4.535.168,0 4.535.168 4.535.168 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.040 1 4.535.040,0 4.535.040,0 4.535.040 4.535.040 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.958.720 1 2.958.720,0 2.958.720,0 2.958.720 2.958.720 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.752 1 4.534.752,0 4.534.752,0 4.534.752 4.534.752 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.432 1 4.534.432,0 4.534.432,0 4.534.432 4.534.432 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.533.216 1 4.533.216,0 4.533.216,0 4.533.216 4.533.216 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.971.968 1 2.971.968,0 2.971.968,0 2.971.968 2.971.968 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.313.440 1 2.313.440,0 2.313.440,0 2.313.440 2.313.440 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.150.688 1 5.150.688,0 5.150.688,0 5.150.688 5.150.688 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.312.192 1 2.312.192,0 2.312.192,0 2.312.192 2.312.192 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.014.016 1 3.014.016,0 3.014.016,0 3.014.016 3.014.016 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.107.040 1 5.107.040,0 5.107.040,0 5.107.040 5.107.040 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.314.656 1 2.314.656,0 2.314.656,0 2.314.656 2.314.656 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.401.056 1 3.401.056,0 3.401.056,0 3.401.056 3.401.056 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.401.312 1 3.401.312,0 3.401.312,0 3.401.312 3.401.312 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.538.304 1 4.538.304,0 4.538.304,0 4.538.304 4.538.304 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.399.872 1 3.399.872,0 3.399.872,0 3.399.872 3.399.872 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.310.272 1 2.310.272,0 2.310.272,0 2.310.272 2.310.272 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.870.816 1 2.870.816,0 2.870.816,0 2.870.816 2.870.816 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.403.520 1 3.403.520,0 3.403.520,0 3.403.520 3.403.520 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
