0.4 692992 1 692992.0 692992.0 692992 692992 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 684736 1 684736.0 684736.0 684736 684736 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 700704 1 700704.0 700704.0 700704 700704 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 699936 1 699936.0 699936.0 699936 699936 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 700896 1 700896.0 700896.0 700896 700896 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 699968 1 699968.0 699968.0 699968 699968 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 683360 1 683360.0 683360.0 683360 683360 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 530176 1 530176.0 530176.0 530176 530176 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 686752 1 686752.0 686752.0 686752 686752 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 522048 1 522048.0 522048.0 522048 522048 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 699296 1 699296.0 699296.0 699296 699296 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 703712 1 703712.0 703712.0 703712 703712 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 685024 1 685024.0 685024.0 685024 685024 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 690880 1 690880.0 690880.0 690880 690880 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 682496 1 682496.0 682496.0 682496 682496 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 675040 1 675040.0 675040.0 675040 675040 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 529696 1 529696.0 529696.0 529696 529696 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 696544 1 696544.0 696544.0 696544 696544 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 700160 1 700160.0 700160.0 700160 700160 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 704832 1 704832.0 704832.0 704832 704832 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 704224 1 704224.0 704224.0 704224 704224 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 699008 1 699008.0 699008.0 699008 699008 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 532480 1 532480.0 532480.0 532480 532480 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 544992 1 544992.0 544992.0 544992 544992 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 705600 1 705600.0 705600.0 705600 705600 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.2 403904 1 403904.0 403904.0 403904 403904 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 700928 1 700928.0 700928.0 700928 700928 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 700224 1 700224.0 700224.0 700224 700224 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 701440 1 701440.0 701440.0 701440 701440 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 697888 1 697888.0 697888.0 697888 697888 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 699968 1 699968.0 699968.0 699968 699968 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 701088 1 701088.0 701088.0 701088 701088 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 693024 1 693024.0 693024.0 693024 693024 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 699808 1 699808.0 699808.0 699808 699808 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 545440 1 545440.0 545440.0 545440 545440 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 697600 1 697600.0 697600.0 697600 697600 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 702240 1 702240.0 702240.0 702240 702240 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 690816 1 690816.0 690816.0 690816 690816 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 685664 1 685664.0 685664.0 685664 685664 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 696608 1 696608.0 696608.0 696608 696608 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 685856 1 685856.0 685856.0 685856 685856 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 695136 1 695136.0 695136.0 695136 695136 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 703840 1 703840.0 703840.0 703840 703840 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 546592 1 546592.0 546592.0 546592 546592 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 693152 1 693152.0 693152.0 693152 693152 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 698112 1 698112.0 698112.0 698112 698112 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 687392 1 687392.0 687392.0 687392 687392 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 683488 1 683488.0 683488.0 683488 683488 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 686272 1 686272.0 686272.0 686272 686272 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 680256 1 680256.0 680256.0 680256 680256 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
