0.1 211872 3 70624.0 69600.0 68672 73600 2618.7 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213376 3 71125.3 70880.0 68864 73632 2393.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213536 3 71178.7 70400.0 68640 74496 3004.7 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212928 3 70976.0 69984.0 68640 74304 2959.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212832 3 70944.0 69920.0 68704 74208 2891.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213760 3 71253.3 69920.0 69344 74496 2823.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214368 3 71456.0 71232.0 69120 74016 2455.7 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 159712 3 53237.3 52416.0 51584 55712 2183.1 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213152 3 71050.7 69824.0 68736 74592 3114.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212896 3 70965.3 70208.0 68640 74048 2782.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214976 3 71658.7 70464.0 69120 75392 3302.3 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213184 3 71061.3 69888.0 68928 74368 2903.6 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213504 3 71168.0 69696.0 69024 74784 3149.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212864 3 70954.7 69504.0 69216 74144 2765.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214144 3 71381.3 70912.0 69536 73696 2119.3 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213408 3 71136.0 70016.0 68864 74528 2993.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213536 3 71178.7 70048.0 68640 74848 3254.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213120 3 71040.0 70016.0 68768 74336 2921.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213728 3 71242.7 70272.0 68736 74720 3107.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214176 3 71392.0 70816.0 68736 74624 2986.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213696 3 71232.0 69888.0 69120 74688 3017.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212896 3 70965.3 69408.0 68736 74752 3296.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214848 3 71616.0 70720.0 69728 74400 2461.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213184 3 71061.3 69632.0 68768 74784 3252.7 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213056 3 71018.7 70144.0 68736 74176 2823.5 CUDA_KERNEL lud_perimeter(float *, int, int)
