      0.1           212608          3      70869.3      69760.0      68768      74080       2824.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29824          3       9941.3      10144.0       8640      11040       1212.8  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255200          4      63800.0      62464.0      62304      67968       2781.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213728          3      71242.7      70144.0      68768      74816       3170.2  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29600          3       9866.7       9248.0       8672      11680       1596.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           257280          4      64320.0      63120.0      62976      68064       2499.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214880          3      71626.7      70752.0      69056      75072       3101.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28544          3       9514.7       9344.0       7968      11232       1638.7  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256672          4      64168.0      62896.0      62368      68512       2938.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213120          3      71040.0      69920.0      69536      73664       2280.5  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29088          3       9696.0       9536.0       8000      11552       1781.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           254656          4      63664.0      62384.0      62304      67584       2613.6  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213408          3      71136.0      69728.0      69632      74048       2522.3  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            27904          3       9301.3       8896.0       8064      10944       1482.2  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256736          4      64184.0      62896.0      62304      68640       2984.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213408          3      71136.0      70112.0      69536      73760       2290.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29056          3       9685.3       9568.0       7968      11520       1778.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255808          4      63952.0      62672.0      62336      68128       2802.0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213888          3      71296.0      70240.0      69536      74112       2464.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28160          3       9386.7       8800.0       7872      11488       1878.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255392          4      63848.0      62688.0      62272      67744       2613.1  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212544          3      70848.0      70176.0      68704      73664       2547.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29280          3       9760.0       9472.0       8160      11648       1761.7  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           254880          4      63720.0      62528.0      62304      67520       2535.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213216          3      71072.0      69696.0      69248      74272       2780.3  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28096          3       9365.3       9408.0       8384      10304        960.7  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256480          4      64120.0      63120.0      62240      68000       2620.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213664          3      71221.3      70400.0      68704      74560       3013.2  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            30048          3      10016.0       9728.0       8480      11840       1698.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255488          4      63872.0      62400.0      62272      68416       3030.9  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213184          3      71061.3      69856.0      68704      74624       3138.7  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28704          3       9568.0       9600.0       7936      11168       1616.2  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256864          4      64216.0      62752.0      62528      68832       3081.9  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212800          3      70933.3      69600.0      68672      74528       3147.5  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29504          3       9834.7       9472.0       8768      11264       1286.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256256          4      64064.0      62560.0      62336      68800       3159.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212736          3      70912.0      69568.0      69056      74112       2783.1  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28608          3       9536.0       9472.0       7968      11168       1601.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           257824          4      64456.0      63120.0      62368      69216       3193.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213152          3      71050.7      69888.0      68672      74592       3126.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28864          3       9621.3       9600.0       8128      11136       1504.1  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256352          4      64088.0      63136.0      62304      67776       2490.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212512          3      70837.3      70176.0      68672      73664       2560.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29120          3       9706.7       9472.0       8512      11136       1327.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256512          4      64128.0      62800.0      62336      68576       2988.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214848          3      71616.0      70752.0      69568      74528       2590.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28512          3       9504.0       9152.0       7648      11712       2054.7  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.2           255200          4      63800.0      62384.0      62336      68096       2864.1  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213888          3      71296.0      70848.0      69280      73760       2273.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29376          3       9792.0       9664.0       8032      11680       1827.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256576          4      64144.0      63232.0      62240      67872       2529.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214208          3      71402.7      70432.0      69600      74176       2437.5  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29824          3       9941.3       9568.0       8672      11584       1491.5  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255840          4      63960.0      62640.0      62528      68032       2715.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214208          3      71402.7      70848.0      69184      74176       2541.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28544          3       9514.7       8832.0       8640      11072       1352.1  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           254368          4      63592.0      62320.0      62304      67424       2554.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213248          3      71082.7      70976.0      68640      73632       2497.7  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28512          3       9504.0       9536.0       7808      11168       1680.2  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255936          4      63984.0      63088.0      62368      67392       2298.1  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214400          3      71466.7      70688.0      69216      74496       2724.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            27808          3       9269.3       8768.0       7968      11072       1611.6  CUDA_KERNEL  lud_internal(float *, int, int) 
