     33,0      693.495.680      3.900     177.819,0  175.648,0   171.488      220.576       5.523,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      794.131.904      3.900     203.623,0  210.624,0   171.616      241.888      17.054,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     21,0      695.537.696      3.900     178.343,0  175.808,0   172.128      221.248       5.803,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      800.857.824      3.900     205.348,0  209.824,0   171.872      239.008      14.901,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     32,0      693.329.632      3.900     177.776,0  175.552,0   171.840      218.720       5.588,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      7,0      703.762.016      3.900     180.451,0  178.768,0   172.384      219.008       6.066,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     32,0      693.968.800      3.900     177.940,0  175.744,0   172.224      220.608       5.545,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      707.156.576      3.900     181.322,0  178.880,0   175.040      234.400       6.314,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      731.467.040      3.900     187.555,0  178.848,0   174.848      450.688      33.610,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      8,0      783.896.224      3.900     200.999,0  206.944,0   171.968      236.992      15.427,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     10,0      785.291.392      3.900     201.356,0  184.160,0   173.216    3.040.032      63.344,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      782.290.304      3.900     200.587,0  210.464,0   171.840      243.616      18.647,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     12,0      698.290.656      3.900     179.048,0  178.240,0   171.104      209.216       5.990,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      796.346.656      3.900     204.191,0  209.184,0   172.256      239.616      15.202,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36,0    1.161.810.112      3.900     297.900,0  265.136,0   254.240      415.648      45.019,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      6,0      791.856.736      3.900     203.040,0  207.264,0   175.040      885.280      17.965,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      4,0      770.029.120      3.900     197.443,0  178.912,0   174.432    2.349.632      60.892,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0      711.114.560      3.900     182.337,0  175.968,0   171.360      261.856      14.271,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35,0    1.029.009.664      3.900     263.848,0  259.648,0   171.296      404.512      75.083,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      7,0      888.706.560      3.900     227.873,0  210.176,0   183.488      416.480      42.042,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     14,0      727.657.536      3.900     186.578,0  178.144,0   171.936      412.160      29.940,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
      5,0      743.446.560      3.900     190.627,0  179.776,0   174.464      244.320      16.491,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0      693.820.352      3.900     177.902,0  175.872,0   171.488      214.464       5.454,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
