2,0 7.617.760 128 59.513,0 64.848,0 38.112 70.496 11.614,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.324.224 128 65.033,0 65.952,0 61.184 71.072 3.168,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.635.328 128 51.838,0 41.520,0 38.304 71.488 13.942,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.179.776 128 56.092,0 50.576,0 46.720 70.944 9.778,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.578.720 128 59.208,0 65.216,0 39.712 71.872 11.252,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.368.992 128 65.382,0 65.728,0 62.272 71.168 2.707,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.300.000 128 64.843,0 64.688,0 61.216 71.424 3.204,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.374.464 128 65.425,0 67.216,0 61.248 70.432 3.072,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.657.248 128 52.009,0 42.688,0 39.520 71.424 13.186,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.881.568 128 53.762,0 65.696,0 38.080 70.848 14.147,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.520.384 128 50.940,0 42.560,0 39.808 71.936 12.839,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.312.064 128 64.938,0 65.248,0 61.152 70.688 3.201,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.067.488 128 63.027,0 65.792,0 38.976 70.560 7.512,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.898.176 128 61.704,0 65.168,0 38.816 70.912 9.089,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.512.320 128 50.877,0 42.304,0 38.112 71.392 13.631,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.406.944 128 65.679,0 66.784,0 62.304 71.296 2.707,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.415.680 128 65.747,0 67.600,0 62.272 71.680 2.630,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.308.352 128 64.909,0 64.432,0 61.216 71.424 3.154,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.351.840 128 65.248,0 66.976,0 61.184 70.624 3.038,0 CUDA_KERNEL lud_diagonal(float *, int, int)
