4,0 13.813.792 127 108.770,0 105.312,0 43.584 204.992 46.643,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.572.768 127 114.746,0 106.336,0 67.936 204.480 39.262,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.429.984 127 97.873,0 68.960,0 43.616 204.512 51.996,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.076.768 127 102.966,0 81.856,0 51.968 204.096 47.567,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.818.368 127 108.806,0 106.496,0 44.224 205.664 46.809,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.694.752 127 115.706,0 107.264,0 69.344 204.512 38.671,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.593.248 127 114.907,0 106.432,0 67.712 204.352 39.329,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.624.576 127 115.154,0 107.968,0 67.680 203.936 39.149,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.379.712 127 97.478,0 72.192,0 44.448 204.000 51.321,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.824.800 127 100.982,0 107.360,0 43.104 204.768 51.844,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 12.137.024 127 95.567,0 71.296,0 44.384 204.288 50.893,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.611.840 127 115.053,0 108.768,0 68.160 206.336 39.291,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.323.616 127 112.784,0 106.784,0 44.160 204.800 41.904,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.182.368 127 111.672,0 105.824,0 43.520 204.288 43.592,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.169.696 127 95.824,0 69.440,0 43.168 204.992 51.880,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.701.952 127 115.763,0 107.488,0 68.800 204.832 38.804,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.683.904 127 115.621,0 108.128,0 68.768 204.736 38.675,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.567.904 127 114.707,0 105.856,0 68.256 204.704 39.285,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.637.120 127 115.252,0 106.368,0 67.776 206.144 39.173,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.485.376 127 106.184,0 105.216,0 45.664 205.760 48.747,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 11.833.312 127 93.175,0 67.584,0 43.328 204.480 51.476,0 CUDA_KERNEL lud_perimeter(float *, int, int)
