2,0 6.562.368 100 65.623,0 76.240,0 47.232 78.560 13.511,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.691.520 100 46.915,0 41.952,0 40.128 57.440 6.569,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.836.672 100 58.366,0 50.192,0 41.632 79.424 14.183,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.627.616 100 46.276,0 41.040,0 39.168 57.600 6.566,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.778.208 100 67.782,0 75.168,0 48.352 77.152 11.326,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.547.680 100 55.476,0 59.504,0 45.824 60.608 6.040,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.852.096 100 68.521,0 77.296,0 49.280 79.200 12.420,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.774.880 100 47.748,0 52.960,0 39.744 57.280 6.521,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.318.720 100 73.187,0 80.880,0 51.168 83.104 12.474,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 3.949.920 100 39.499,0 39.472,0 38.496 43.648 628,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.400.352 100 64.003,0 69.552,0 49.536 79.360 9.594,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.757.440 100 47.574,0 47.520,0 46.528 50.496 494,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.762.528 100 77.625,0 79.792,0 49.088 84.736 8.763,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.789.312 100 47.893,0 43.600,0 42.080 58.080 6.355,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.701.856 100 57.018,0 47.952,0 38.912 80.224 13.896,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.778.368 100 47.783,0 46.592,0 40.096 57.536 6.604,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.008.960 100 70.089,0 80.384,0 47.808 82.784 13.923,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.377.248 100 43.772,0 42.384,0 41.184 48.384 2.241,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.685.248 100 66.852,0 69.056,0 50.528 101.248 14.083,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.509.632 100 75.096,0 75.056,0 73.600 77.728 614,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.345.536 100 73.455,0 76.624,0 48.992 78.816 7.785,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.668.512 100 56.685,0 49.024,0 40.640 80.576 14.789,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.750.144 100 57.501,0 50.544,0 45.568 77.440 11.921,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.011.872 100 60.118,0 56.768,0 39.616 81.664 13.352,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.141.472 100 61.414,0 50.368,0 48.416 78.720 13.059,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.135.968 100 61.359,0 60.192,0 45.888 79.328 12.879,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.216.064 100 52.160,0 46.896,0 45.504 60.192 6.426,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.954.208 100 59.542,0 49.808,0 41.888 87.488 15.186,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.882.944 100 58.829,0 49.712,0 44.640 80.064 13.301,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.802.720 100 58.027,0 57.024,0 55.232 82.976 4.270,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.798.112 100 67.981,0 76.704,0 49.056 81.088 12.415,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.436.160 100 74.361,0 82.336,0 51.136 88.256 13.138,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.436.256 100 54.362,0 54.288,0 53.216 56.896 668,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.761.568 100 67.615,0 58.544,0 44.384 85.728 12.200,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.085.184 100 50.851,0 54.384,0 42.528 58.880 6.585,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.315.168 100 63.151,0 70.064,0 45.280 78.240 10.835,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.834.464 100 48.344,0 43.232,0 42.112 56.288 6.415,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.771.648 100 67.716,0 77.072,0 44.576 79.200 12.855,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.222.848 100 72.228,0 76.288,0 48.768 80.960 9.436,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.650.048 100 86.500,0 88.192,0 54.176 91.776 5.724,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.578.688 100 65.786,0 71.408,0 44.992 81.568 11.429,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.552.192 100 65.521,0 73.776,0 44.736 79.936 13.526,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.772.000 100 57.720,0 53.328,0 38.464 80.128 13.113,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.127.712 100 51.277,0 45.760,0 37.792 77.984 12.798,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.173.216 100 61.732,0 50.416,0 45.888 79.424 13.600,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.329.440 100 63.294,0 60.576,0 49.632 80.800 13.219,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.943.008 100 59.430,0 49.184,0 47.168 79.232 12.687,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.373.248 100 83.732,0 89.152,0 55.040 91.328 11.486,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.558.688 100 75.586,0 82.608,0 51.456 84.416 12.135,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.175.200 100 61.752,0 52.160,0 43.648 82.080 14.383,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.005.216 100 60.052,0 66.944,0 45.664 80.224 11.976,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.277.792 100 62.777,0 72.912,0 43.008 81.632 12.538,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.139.072 100 61.390,0 57.376,0 42.784 82.304 11.685,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.649.120 100 76.491,0 77.648,0 60.544 91.616 4.680,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.651.552 100 66.515,0 60.416,0 49.056 86.720 15.459,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.254.272 100 52.542,0 55.344,0 45.344 60.160 6.591,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.296.256 100 62.962,0 52.384,0 43.104 83.584 15.239,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 3.881.536 100 38.815,0 38.816,0 38.016 42.368 449,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.519.744 100 55.197,0 55.168,0 52.736 59.104 968,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.516.000 100 55.160,0 55.168,0 53.600 56.768 693,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.645.728 100 66.457,0 60.832,0 49.024 84.960 14.787,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.793.184 100 47.931,0 47.808,0 46.848 55.008 910,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.265.600 100 72.656,0 79.424,0 48.704 84.832 13.260,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.031.552 100 40.315,0 40.288,0 39.648 42.368 360,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.008.832 100 70.088,0 79.296,0 49.952 110.304 14.288,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.665.600 100 46.656,0 51.216,0 36.800 65.728 6.903,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.212.832 100 62.128,0 61.232,0 45.216 81.920 14.778,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 3.808.448 100 38.084,0 38.064,0 37.344 42.496 582,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 3.822.624 100 38.226,0 38.240,0 37.536 42.560 531,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.126.624 100 61.266,0 51.520,0 48.032 83.040 13.546,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 3.988.288 100 39.882,0 39.872,0 39.136 43.616 478,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.283.904 100 62.839,0 67.024,0 40.224 79.648 14.231,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 3.870.912 100 38.709,0 38.720,0 37.952 43.072 553,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.830.304 100 58.303,0 49.152,0 40.352 80.384 14.296,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.411.424 100 54.114,0 54.016,0 51.616 58.560 1.327,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 3.641.376 100 36.413,0 36.320,0 35.872 42.112 638,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.141.888 100 61.418,0 58.512,0 51.520 78.272 9.328,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.165.920 100 41.659,0 40.336,0 38.592 50.336 2.388,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.103.616 100 61.036,0 49.584,0 47.360 81.856 13.820,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 3.917.664 100 39.176,0 39.040,0 38.560 43.552 538,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.027.808 100 70.278,0 68.304,0 43.904 84.000 12.759,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 3.872.000 100 38.720,0 38.672,0 38.176 42.304 446,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.401.120 100 54.011,0 52.256,0 48.544 58.656 2.962,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 3.787.008 100 37.870,0 37.856,0 36.864 43.552 654,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.923.584 100 69.235,0 68.224,0 54.400 85.792 10.132,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.646.080 100 56.460,0 48.704,0 39.872 81.664 13.683,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.036.928 100 60.369,0 68.640,0 39.552 78.368 14.160,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.036.480 100 60.364,0 54.336,0 41.152 96.640 15.089,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 3.828.224 100 38.282,0 38.160,0 37.408 44.640 766,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.057.888 100 60.578,0 51.392,0 42.848 81.056 15.049,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 3.753.824 100 37.538,0 37.456,0 36.800 45.504 861,0 CUDA_KERNEL prepare(long, float *, float *, float *)
