8,0 18.635.520 200 93.177,0 78.352,0 22.656 175.872 65.064,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 23.484.096 200 117.420,0 96.560,0 27.392 234.784 86.161,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.255.296 200 86.276,0 77.856,0 22.240 175.648 62.492,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 20.751.776 200 103.758,0 83.872,0 22.656 234.656 78.349,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.576.832 200 87.884,0 78.128,0 22.656 175.552 63.188,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 24.520.896 200 122.604,0 97.024,0 27.328 235.104 89.257,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 19.114.080 200 95.570,0 79.600,0 22.432 177.728 67.859,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 24.072.576 200 120.362,0 96.608,0 27.136 235.456 88.231,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 18.215.616 200 91.078,0 79.232,0 22.496 176.800 64.945,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 24.847.168 200 124.235,0 97.136,0 27.488 234.944 89.911,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.051.360 200 70.256,0 69.856,0 21.472 120.032 48.736,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 24.548.032 200 122.740,0 108.064,0 22.784 234.752 87.508,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.287.616 200 86.438,0 85.504,0 26.144 148.000 60.102,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 25.992.320 200 129.961,0 96.944,0 27.264 234.624 92.467,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.837.184 200 84.185,0 78.144,0 22.368 175.648 60.752,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.172.256 200 105.861,0 84.176,0 22.688 235.072 79.955,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.734.208 200 88.671,0 78.304,0 22.496 175.712 63.815,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 23.885.088 200 119.425,0 93.472,0 26.208 235.456 87.754,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 15.699.104 200 78.495,0 75.168,0 22.592 143.936 54.678,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 22.684.928 200 113.424,0 96.768,0 27.424 235.200 83.735,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 27.647.776 200 138.238,0 137.936,0 42.720 234.848 95.419,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 26.304.640 200 131.523,0 97.776,0 27.648 234.816 93.001,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 19.960.192 200 99.801,0 83.568,0 22.560 233.664 75.794,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.980.672 200 109.903,0 96.688,0 27.392 235.232 81.451,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.399.392 200 111.997,0 84.432,0 22.368 234.656 83.901,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.923.936 200 109.619,0 96.624,0 27.136 235.136 81.161,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.537.056 200 112.685,0 96.064,0 27.200 235.104 83.376,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
