1,0 2.832.480 1 2.832.480,0 2.832.480,0 2.832.480 2.832.480 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.121.280 1 2.121.280,0 2.121.280,0 2.121.280 2.121.280 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.121.280 1 2.121.280,0 2.121.280,0 2.121.280 2.121.280 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.122.944 1 2.122.944,0 2.122.944,0 2.122.944 2.122.944 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.122.720 1 2.122.720,0 2.122.720,0 2.122.720 2.122.720 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.123.072 1 2.123.072,0 2.123.072,0 2.123.072 2.123.072 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 1.769.408 1 1.769.408,0 1.769.408,0 1.769.408 1.769.408 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.121.248 1 2.121.248,0 2.121.248,0 2.121.248 2.121.248 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.120 1 2.829.120,0 2.829.120,0 2.829.120 2.829.120 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.928 1 2.828.928,0 2.828.928,0 2.828.928 2.828.928 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.848 1 2.830.848,0 2.830.848,0 2.830.848 2.830.848 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
0,0 1.440.608 1 1.440.608,0 1.440.608,0 1.440.608 1.440.608 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.824 1 2.829.824,0 2.829.824,0 2.829.824 2.829.824 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.400 1 2.830.400,0 2.830.400,0 2.830.400 2.830.400 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.144 1 2.830.144,0 2.830.144,0 2.830.144 2.830.144 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.831.840 1 2.831.840,0 2.831.840,0 2.831.840 2.831.840 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.400 1 2.830.400,0 2.830.400,0 2.830.400 2.830.400 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.827.904 1 2.827.904,0 2.827.904,0 2.827.904 2.827.904 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.336 1 2.830.336,0 2.830.336,0 2.830.336 2.830.336 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.048 1 2.830.048,0 2.830.048,0 2.830.048 2.830.048 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.826.624 1 2.826.624,0 2.826.624,0 2.826.624 2.826.624 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.827.936 1 2.827.936,0 2.827.936,0 2.827.936 2.827.936 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.664 1 2.829.664,0 2.829.664,0 2.829.664 2.829.664 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.831.520 1 2.831.520,0 2.831.520,0 2.831.520 2.831.520 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.760 1 2.829.760,0 2.829.760,0 2.829.760 2.829.760 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.608 1 2.828.608,0 2.828.608,0 2.828.608 2.828.608 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.816 1 2.830.816,0 2.830.816,0 2.830.816 2.830.816 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.912 1 2.830.912,0 2.830.912,0 2.830.912 2.830.912 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.376 1 2.829.376,0 2.829.376,0 2.829.376 2.829.376 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.656 1 2.830.656,0 2.830.656,0 2.830.656 2.830.656 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.528 1 2.830.528,0 2.830.528,0 2.830.528 2.830.528 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.831.136 1 2.831.136,0 2.831.136,0 2.831.136 2.831.136 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.831.968 1 2.831.968,0 2.831.968,0 2.831.968 2.831.968 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.600 1 2.829.600,0 2.829.600,0 2.829.600 2.829.600 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.096 1 2.828.096,0 2.828.096,0 2.828.096 2.828.096 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.704 1 2.828.704,0 2.828.704,0 2.828.704 2.828.704 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.827.584 1 2.827.584,0 2.827.584,0 2.827.584 2.827.584 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.888 1 2.829.888,0 2.829.888,0 2.829.888 2.829.888 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.048 1 2.830.048,0 2.830.048,0 2.830.048 2.830.048 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.831.168 1 2.831.168,0 2.831.168,0 2.831.168 2.831.168 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.831.264 1 2.831.264,0 2.831.264,0 2.831.264 2.831.264 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.831.296 1 2.831.296,0 2.831.296,0 2.831.296 2.831.296 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.832.832 1 2.832.832,0 2.832.832,0 2.832.832 2.832.832 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.826.848 1 2.826.848,0 2.826.848,0 2.826.848 2.826.848 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.688 1 2.830.688,0 2.830.688,0 2.830.688 2.830.688 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.827.520 1 2.827.520,0 2.827.520,0 2.827.520 2.827.520 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.831.744 1 2.831.744,0 2.831.744,0 2.831.744 2.831.744 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.827.328 1 2.827.328,0 2.827.328,0 2.827.328 2.827.328 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.827.232 1 2.827.232,0 2.827.232,0 2.827.232 2.827.232 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.960 1 2.828.960,0 2.828.960,0 2.828.960 2.828.960 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.408 1 2.829.408,0 2.829.408,0 2.829.408 2.829.408 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.827.264 1 2.827.264,0 2.827.264,0 2.827.264 2.827.264 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
0,0 1.417.856 1 1.417.856,0 1.417.856,0 1.417.856 1.417.856 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 7.542.432 1 7.542.432,0 7.542.432,0 7.542.432 7.542.432 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.768 1 2.828.768,0 2.828.768,0 2.828.768 2.828.768 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.831.072 1 2.831.072,0 2.831.072,0 2.831.072 2.831.072 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.760 1 2.829.760,0 2.829.760,0 2.829.760 2.829.760 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.128 1 2.828.128,0 2.828.128,0 2.828.128 2.828.128 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.826.304 1 2.826.304,0 2.826.304,0 2.826.304 2.826.304 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.831.040 1 2.831.040,0 2.831.040,0 2.831.040 2.831.040 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.056 1 2.829.056,0 2.829.056,0 2.829.056 2.829.056 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.800 1 2.828.800,0 2.828.800,0 2.828.800 2.828.800 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.827.040 1 2.827.040,0 2.827.040,0 2.827.040 2.827.040 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.704 1 2.828.704,0 2.828.704,0 2.828.704 2.828.704 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.144 1 2.830.144,0 2.830.144,0 2.830.144 2.830.144 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.827.936 1 2.827.936,0 2.827.936,0 2.827.936 2.827.936 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.080 1 2.830.080,0 2.830.080,0 2.830.080 2.830.080 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.831.552 1 2.831.552,0 2.831.552,0 2.831.552 2.831.552 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.816 1 2.830.816,0 2.830.816,0 2.830.816 2.830.816 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 6.055.968 1 6.055.968,0 6.055.968,0 6.055.968 6.055.968 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.608 1 2.828.608,0 2.828.608,0 2.828.608 2.828.608 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 7.548.768 1 7.548.768,0 7.548.768,0 7.548.768 7.548.768 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.831.552 1 2.831.552,0 2.831.552,0 2.831.552 2.831.552 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.833.152 1 2.833.152,0 2.833.152,0 2.833.152 2.833.152 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.831.744 1 2.831.744,0 2.831.744,0 2.831.744 2.831.744 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.825.984 1 2.825.984,0 2.825.984,0 2.825.984 2.825.984 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.480 1 2.828.480,0 2.828.480,0 2.828.480 2.828.480 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.632 1 2.829.632,0 2.829.632,0 2.829.632 2.829.632 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.088 1 2.829.088,0 2.829.088,0 2.829.088 2.829.088 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.248 1 2.829.248,0 2.829.248,0 2.829.248 2.829.248 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.720 1 2.830.720,0 2.830.720,0 2.830.720 2.830.720 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.827.040 1 2.827.040,0 2.827.040,0 2.827.040 2.827.040 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.344 1 2.829.344,0 2.829.344,0 2.829.344 2.829.344 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.816 1 2.830.816,0 2.830.816,0 2.830.816 2.830.816 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.048 1 2.830.048,0 2.830.048,0 2.830.048 2.830.048 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.827.296 1 2.827.296,0 2.827.296,0 2.827.296 2.827.296 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.830.016 1 2.830.016,0 2.830.016,0 2.830.016 2.830.016 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.824 1 2.829.824,0 2.829.824,0 2.829.824 2.829.824 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.320 1 2.828.320,0 2.828.320,0 2.828.320 2.828.320 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 5.993.280 1 5.993.280,0 5.993.280,0 5.993.280 5.993.280 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.736 1 2.828.736,0 2.828.736,0 2.828.736 2.828.736 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.160 1 2.828.160,0 2.828.160,0 2.828.160 2.828.160 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.828.128 1 2.828.128,0 2.828.128,0 2.828.128 2.828.128 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.827.520 1 2.827.520,0 2.827.520,0 2.827.520 2.827.520 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1,0 2.829.600 1 2.829.600,0 2.829.600,0 2.829.600 2.829.600 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
