 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)     GridXYZ         BlockXYZ                   Name              
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  --------------  --------------  --------------------------------
      0,0          781.408          1    781.408,0    781.408,0    781.408    781.408          0,0    86   86    1    16   16    1  lud_internal(float *, int, int) 
      0,0          759.040          1    759.040,0    759.040,0    759.040    759.040          0,0    84   84    1    16   16    1  lud_internal(float *, int, int) 
      0,0          738.144          1    738.144,0    738.144,0    738.144    738.144          0,0    83   83    1    16   16    1  lud_internal(float *, int, int) 
      0,0          722.816          1    722.816,0    722.816,0    722.816    722.816          0,0    82   82    1    16   16    1  lud_internal(float *, int, int) 
      0,0          708.256          1    708.256,0    708.256,0    708.256    708.256          0,0    81   81    1    16   16    1  lud_internal(float *, int, int) 
      0,0          676.320          1    676.320,0    676.320,0    676.320    676.320          0,0    80   80    1    16   16    1  lud_internal(float *, int, int) 
      0,0          660.384          1    660.384,0    660.384,0    660.384    660.384          0,0    79   79    1    16   16    1  lud_internal(float *, int, int) 
      0,0          657.120          1    657.120,0    657.120,0    657.120    657.120          0,0    78   78    1    16   16    1  lud_internal(float *, int, int) 
      0,0          623.680          1    623.680,0    623.680,0    623.680    623.680          0,0    77   77    1    16   16    1  lud_internal(float *, int, int) 
      0,0          602.112          1    602.112,0    602.112,0    602.112    602.112          0,0    76   76    1    16   16    1  lud_internal(float *, int, int) 
      0,0          588.256          1    588.256,0    588.256,0    588.256    588.256          0,0    75   75    1    16   16    1  lud_internal(float *, int, int) 
      0,0          584.768          1    584.768,0    584.768,0    584.768    584.768          0,0    74   74    1    16   16    1  lud_internal(float *, int, int) 
      0,0          561.664          1    561.664,0    561.664,0    561.664    561.664          0,0    73   73    1    16   16    1  lud_internal(float *, int, int) 
      0,0          546.784          1    546.784,0    546.784,0    546.784    546.784          0,0    72   72    1    16   16    1  lud_internal(float *, int, int) 
      0,0          525.184          1    525.184,0    525.184,0    525.184    525.184          0,0    71   71    1    16   16    1  lud_internal(float *, int, int) 
      0,0          513.856          1    513.856,0    513.856,0    513.856    513.856          0,0    70   70    1    16   16    1  lud_internal(float *, int, int) 
      0,0          498.368          1    498.368,0    498.368,0    498.368    498.368          0,0    69   69    1    16   16    1  lud_internal(float *, int, int) 
      0,0          488.384          1    488.384,0    488.384,0    488.384    488.384          0,0    68   68    1    16   16    1  lud_internal(float *, int, int) 
      0,0          454.112          1    454.112,0    454.112,0    454.112    454.112          0,0    67   67    1    16   16    1  lud_internal(float *, int, int) 
      0,0          444.544          1    444.544,0    444.544,0    444.544    444.544          0,0    66   66    1    16   16    1  lud_internal(float *, int, int) 
      0,0          433.632          1    433.632,0    433.632,0    433.632    433.632          0,0    65   65    1    16   16    1  lud_internal(float *, int, int) 
      0,0          415.936          1    415.936,0    415.936,0    415.936    415.936          0,0    64   64    1    16   16    1  lud_internal(float *, int, int) 
      0,0          395.616          1    395.616,0    395.616,0    395.616    395.616          0,0    63   63    1    16   16    1  lud_internal(float *, int, int) 
      0,0          372.288          1    372.288,0    372.288,0    372.288    372.288          0,0    62   62    1    16   16    1  lud_internal(float *, int, int) 
      0,0          351.840          1    351.840,0    351.840,0    351.840    351.840          0,0    61   61    1    16   16    1  lud_internal(float *, int, int) 
      0,0          337.376          1    337.376,0    337.376,0    337.376    337.376          0,0    60   60    1    16   16    1  lud_internal(float *, int, int) 
