1,0 7.387.072 2 3.693.536,0 3.693.536,0 1.925.664 5.461.408 2.500.148,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.013.312 2 2.506.656,0 2.506.656,0 1.920.480 3.092.832 828.978,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.011.200 2 2.505.600,0 2.505.600,0 1.924.992 3.086.208 821.103,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.006.752 2 2.503.376,0 2.503.376,0 1.922.816 3.083.936 821.035,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.006.816 2 2.503.408,0 2.503.408,0 1.918.336 3.088.480 827.416,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.995.008 2 2.497.504,0 2.497.504,0 1.918.240 3.076.768 819.203,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.059.200 2 2.529.600,0 2.529.600,0 1.974.752 3.084.448 784.673,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.997.536 2 2.498.768,0 2.498.768,0 1.919.136 3.078.400 819.723,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.002.272 2 2.501.136,0 2.501.136,0 1.923.168 3.079.104 817.370,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.011.392 2 2.505.696,0 2.505.696,0 1.916.992 3.094.400 832.553,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.013.536 2 2.506.768,0 2.506.768,0 1.921.792 3.091.744 827.281,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.035.808 2 2.517.904,0 2.517.904,0 1.929.344 3.106.464 832.349,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.021.376 2 2.510.688,0 2.510.688,0 1.929.600 3.091.776 821.782,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 10.660.480 2 5.330.240,0 5.330.240,0 3.217.728 7.442.752 2.987.543,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.033.024 2 2.516.512,0 2.516.512,0 1.932.384 3.100.640 826.081,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 5.010.528 2 2.505.264,0 2.505.264,0 1.914.048 3.096.480 836.105,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.018.816 2 2.509.408,0 2.509.408,0 1.929.408 3.089.408 820.243,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.032.608 2 2.516.304,0 2.516.304,0 1.934.784 3.097.824 822.393,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.011.040 2 2.505.520,0 2.505.520,0 1.918.688 3.092.352 829.905,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.005.696 2 2.502.848,0 2.502.848,0 1.918.528 3.087.168 826.353,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.007.680 2 2.503.840,0 2.503.840,0 1.917.504 3.090.176 829.204,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.011.008 2 2.505.504,0 2.505.504,0 1.909.440 3.101.568 842.961,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.014.048 2 2.507.024,0 2.507.024,0 1.917.056 3.096.992 834.340,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.015.456 2 2.507.728,0 2.507.728,0 1.920.544 3.094.912 830.403,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.012.608 2 2.506.304,0 2.506.304,0 1.922.912 3.089.696 825.040,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.014.752 2 2.507.376,0 2.507.376,0 1.917.952 3.096.800 833.571,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.006.464 2 2.503.232,0 2.503.232,0 1.919.296 3.087.168 825.810,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.007.488 2 2.503.744,0 2.503.744,0 1.913.312 3.094.176 834.996,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.995.040 2 2.497.520,0 2.497.520,0 1.910.816 3.084.224 829.724,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.999.360 2 2.499.680,0 2.499.680,0 1.918.528 3.080.832 821.873,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.982.304 2 2.491.152,0 2.491.152,0 1.906.144 3.076.160 827.326,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.022.880 2 2.511.440,0 2.511.440,0 1.923.072 3.099.808 832.078,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.000.224 2 2.500.112,0 2.500.112,0 1.916.320 3.083.904 825.606,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.009.056 2 2.504.528,0 2.504.528,0 1.915.104 3.093.952 833.571,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.986.240 2 2.493.120,0 2.493.120,0 1.909.824 3.076.416 824.905,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.015.584 2 2.507.792,0 2.507.792,0 1.918.176 3.097.408 833.842,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
