0,0 16.096 2 8.048,0 8.048,0 6.560 9.536 2.104,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.416 2 8.208,0 8.208,0 6.592 9.824 2.285,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.832 2 10.416,0 10.416,0 9.184 11.648 1.742,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.448 2 10.224,0 10.224,0 8.768 11.680 2.059,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.528 2 11.264,0 11.264,0 9.856 12.672 1.991,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.504 2 10.752,0 10.752,0 9.184 12.320 2.217,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.544 2 8.272,0 8.272,0 7.072 9.472 1.697,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.856 2 6.928,0 6.928,0 6.496 7.360 610,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.048 2 11.024,0 11.024,0 9.536 12.512 2.104,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.864 2 8.432,0 8.432,0 6.528 10.336 2.692,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.808 2 7.904,0 7.904,0 6.528 9.280 1.946,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.056 2 10.528,0 10.528,0 8.800 12.256 2.443,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.384 2 10.192,0 10.192,0 8.768 11.616 2.013,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.840 2 7.920,0 7.920,0 6.464 9.376 2.059,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.432 2 9.216,0 9.216,0 7.264 11.168 2.760,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.736 2 6.368,0 6.368,0 5.632 7.104 1.040,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.328 2 7.664,0 7.664,0 6.816 8.512 1.199,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.096 2 8.048,0 8.048,0 6.688 9.408 1.923,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.384 2 10.192,0 10.192,0 8.704 11.680 2.104,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 17.376 2 8.688,0 8.688,0 7.648 9.728 1.470,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.952 2 6.976,0 6.976,0 6.240 7.712 1.040,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 17.152 2 8.576,0 8.576,0 7.392 9.760 1.674,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.288 2 8.144,0 8.144,0 6.752 9.536 1.968,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.968 2 5.984,0 5.984,0 4.864 7.104 1.583,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.968 2 7.984,0 7.984,0 6.528 9.440 2.059,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.896 2 8.448,0 8.448,0 7.552 9.344 1.267,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.064 2 8.032,0 8.032,0 6.656 9.408 1.946,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.968 2 5.984,0 5.984,0 4.800 7.168 1.674,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 17.248 2 8.624,0 8.624,0 7.424 9.824 1.697,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.864 2 6.432,0 6.432,0 5.984 6.880 633,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.928 2 8.464,0 8.464,0 7.264 9.664 1.697,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.704 2 6.352,0 6.352,0 5.120 7.584 1.742,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.896 2 6.448,0 6.448,0 5.984 6.912 656,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.256 2 8.128,0 8.128,0 6.656 9.600 2.081,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.192 2 8.096,0 8.096,0 6.720 9.472 1.946,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.712 2 7.856,0 7.856,0 6.464 9.248 1.968,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.808 2 5.904,0 5.904,0 4.736 7.072 1.651,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.160 2 8.080,0 8.080,0 6.656 9.504 2.013,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.352 2 8.176,0 8.176,0 6.688 9.664 2.104,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.512 2 6.256,0 6.256,0 5.088 7.424 1.651,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.496 2 7.248,0 7.248,0 6.976 7.520 384,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.840 2 7.920,0 7.920,0 6.496 9.344 2.013,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 17.376 2 8.688,0 8.688,0 6.720 10.656 2.783,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.888 2 10.944,0 10.944,0 9.984 11.904 1.357,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.688 2 5.344,0 5.344,0 4.512 6.176 1.176,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.472 2 10.736,0 10.736,0 9.888 11.584 1.199,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 17.120 2 8.560,0 8.560,0 7.552 9.568 1.425,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.472 2 10.736,0 10.736,0 9.920 11.552 1.154,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.320 2 8.160,0 8.160,0 6.656 9.664 2.127,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.248 2 10.624,0 10.624,0 9.344 11.904 1.810,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 17.248 2 8.624,0 8.624,0 7.744 9.504 1.244,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 17.056 2 8.528,0 8.528,0 6.688 10.368 2.602,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.936 2 7.968,0 7.968,0 6.528 9.408 2.036,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.824 2 6.912,0 6.912,0 4.768 9.056 3.032,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.224 2 8.112,0 8.112,0 6.720 9.504 1.968,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.312 2 10.656,0 10.656,0 8.800 12.512 2.624,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.272 2 7.136,0 7.136,0 6.848 7.424 407,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.936 2 5.968,0 5.968,0 4.800 7.136 1.651,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.192 2 8.096,0 8.096,0 6.720 9.472 1.946,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.504 2 6.752,0 6.752,0 6.048 7.456 995,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.664 2 6.832,0 6.832,0 5.920 7.744 1.289,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.768 2 10.384,0 10.384,0 9.120 11.648 1.787,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.968 2 7.984,0 7.984,0 6.560 9.408 2.013,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 17.472 2 8.736,0 8.736,0 7.968 9.504 1.086,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.808 2 5.904,0 5.904,0 4.736 7.072 1.651,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.272 2 11.136,0 11.136,0 9.600 12.672 2.172,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
