0,0 24.896 2 12.448,0 12.448,0 8.256 16.640 5.928,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.088 2 12.544,0 12.544,0 8.288 16.800 6.018,0 CUDA_KERNEL Fan1(float *, float *, int, int)
1,0 20.512 2 10.256,0 10.256,0 6.400 14.112 5.453,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.808 2 7.904,0 7.904,0 5.344 10.464 3.620,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.368 2 13.184,0 13.184,0 8.192 18.176 7.059,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.672 2 10.336,0 10.336,0 6.176 14.496 5.883,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.800 2 10.400,0 10.400,0 6.272 14.528 5.837,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.920 2 12.960,0 12.960,0 8.544 17.376 6.245,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.688 2 13.344,0 13.344,0 8.192 18.496 7.286,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.672 2 10.336,0 10.336,0 6.272 14.400 5.747,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.552 2 11.776,0 11.776,0 9.248 14.304 3.575,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.456 2 7.728,0 7.728,0 5.920 9.536 2.556,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 19.552 2 9.776,0 9.776,0 7.808 11.744 2.783,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.896 2 10.448,0 10.448,0 6.240 14.656 5.951,0 CUDA_KERNEL Fan1(float *, float *, int, int)
1,0 26.400 2 13.200,0 13.200,0 8.928 17.472 6.041,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.688 2 9.344,0 9.344,0 7.552 11.136 2.534,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.680 2 7.840,0 7.840,0 5.536 10.144 3.258,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.792 2 10.896,0 10.896,0 6.848 14.944 5.724,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.800 2 10.400,0 10.400,0 6.400 14.400 5.656,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.704 2 8.352,0 8.352,0 4.544 12.160 5.385,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.864 2 10.432,0 10.432,0 6.304 14.560 5.837,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.600 2 10.800,0 10.800,0 7.488 14.112 4.683,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.768 2 10.384,0 10.384,0 6.336 14.432 5.724,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.000 2 8.000,0 8.000,0 4.480 11.520 4.978,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.696 2 10.848,0 10.848,0 6.848 14.848 5.656,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.944 2 7.472,0 7.472,0 5.440 9.504 2.873,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.376 2 10.688,0 10.688,0 6.752 14.624 5.566,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.704 2 8.352,0 8.352,0 4.864 11.840 4.932,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.976 2 7.488,0 7.488,0 5.856 9.120 2.308,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.888 2 10.944,0 10.944,0 7.360 14.528 5.068,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.480 2 10.240,0 10.240,0 6.432 14.048 5.385,0 CUDA_KERNEL Fan1(float *, float *, int, int)
