1,0 2.825.483.040 2.000 1.412.741,0 1.410.752,0 1.401.600 3.772.896 61.794,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.258.432 2.000 1.413.629,0 1.410.944,0 1.401.344 3.773.504 69.929,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.821.472 2.000 1.413.410,0 1.412.064,0 1.403.520 3.773.440 53.891,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.730.560 2.000 1.413.865,0 1.411.744,0 1.403.808 3.772.896 62.883,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.830.812.640 2.000 1.415.406,0 1.411.744,0 1.402.720 8.313.824 154.724,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.829.343.936 2.000 1.414.672,0 1.411.296,0 1.402.816 3.771.776 75.456,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.824.795.616 2.000 1.412.397,0 1.410.976,0 1.401.088 3.772.352 53.902,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.819.008 2.000 1.413.909,0 1.411.904,0 1.403.552 3.772.064 62.847,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.828.127.520 2.000 1.414.063,0 1.412.224,0 1.401.696 3.772.544 59.254,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.230.400 2.000 1.413.115,0 1.411.776,0 1.403.552 3.774.624 53.681,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.400.352 2.000 1.413.200,0 1.411.808,0 1.403.680 3.772.320 53.827,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.830.630.816 2.000 1.415.315,0 1.411.280,0 1.402.784 3.855.680 88.354,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.792.312.800 2.000 1.396.156,0 1.393.664,0 1.390.048 3.772.832 62.709,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.506.912 2.000 1.413.253,0 1.411.808,0 1.403.392 3.773.472 54.227,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.912.128 2.000 1.413.456,0 1.412.032,0 1.404.640 3.772.512 53.965,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.912.096 2.000 1.413.956,0 1.411.264,0 1.402.464 3.772.672 66.914,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.041.728 2.000 1.413.020,0 1.410.912,0 1.402.848 3.773.312 62.196,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.432.096 2.000 1.413.716,0 1.411.648,0 1.402.624 3.772.544 62.117,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.791.982.208 2.000 1.395.991,0 1.392.800,0 1.390.016 3.772.256 69.902,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.871.104 2.000 1.413.935,0 1.412.608,0 1.404.160 3.773.696 53.968,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.790.326.944 2.000 1.395.163,0 1.393.024,0 1.389.856 3.771.744 54.657,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.790.877.824 2.000 1.395.438,0 1.392.736,0 1.389.664 5.785.984 98.885,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.828.132.768 2.000 1.414.066,0 1.412.064,0 1.403.968 3.772.960 61.728,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.830.006.336 2.000 1.415.003,0 1.411.808,0 1.403.936 5.194.208 100.079,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.828.436.064 2.000 1.414.218,0 1.412.288,0 1.403.712 3.773.248 61.665,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.792.304.224 2.000 1.396.152,0 1.393.728,0 1.389.920 3.774.304 62.444,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.731.040 2.000 1.413.865,0 1.411.872,0 1.403.808 3.772.864 61.744,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.457.920 2.000 1.413.729,0 1.411.808,0 1.402.208 3.772.704 61.358,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.825.708.544 2.000 1.412.854,0 1.411.520,0 1.404.192 3.773.824 53.612,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.828.657.408 2.000 1.414.328,0 1.411.552,0 1.403.072 3.773.408 69.955,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.790.906.464 2.000 1.395.453,0 1.393.024,0 1.389.920 3.773.184 60.257,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.363.232 2.000 1.413.181,0 1.411.232,0 1.403.040 3.773.376 59.139,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.828.399.840 2.000 1.414.199,0 1.411.488,0 1.403.008 3.771.584 68.832,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.830.099.840 2.000 1.415.049,0 1.411.488,0 1.402.720 3.772.032 79.441,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.831.610.016 2.000 1.415.805,0 1.411.488,0 1.402.528 3.772.576 66.253,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.793.389.120 2.000 1.396.694,0 1.393.440,0 1.389.984 3.773.760 67.401,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.567.808 2.000 1.413.283,0 1.410.848,0 1.402.976 3.772.128 62.699,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.790.428.032 2.000 1.395.214,0 1.392.608,0 1.390.016 3.772.288 62.684,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.631.136 2.000 1.413.815,0 1.411.056,0 1.402.624 3.773.056 70.219,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.866.624 2.000 1.413.933,0 1.411.056,0 1.403.008 4.584.832 88.786,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.825.984.224 2.000 1.412.992,0 1.410.880,0 1.402.912 3.772.704 61.949,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.792.492.544 2.000 1.396.246,0 1.393.600,0 1.389.824 3.774.432 62.521,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.705.824 2.000 1.413.352,0 1.411.456,0 1.404.192 3.773.216 61.531,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.783.808 2.000 1.413.891,0 1.412.032,0 1.403.520 3.772.864 55.330,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.828.186.176 2.000 1.414.093,0 1.411.456,0 1.402.176 3.773.184 71.647,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.828.577.120 2.000 1.414.288,0 1.411.968,0 1.403.936 3.772.832 62.420,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.828.771.776 2.000 1.414.385,0 1.412.224,0 1.404.224 3.771.968 62.286,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.830.705.440 2.000 1.415.352,0 1.412.736,0 1.401.824 3.773.728 68.775,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.828.036.608 2.000 1.414.018,0 1.411.392,0 1.403.040 3.773.248 68.567,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.824.553.440 2.000 1.412.276,0 1.411.008,0 1.402.304 3.772.000 53.601,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.134.464 2.000 1.413.067,0 1.411.104,0 1.402.912 3.773.984 61.672,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.252.544 2.000 1.413.626,0 1.411.648,0 1.401.760 3.773.408 61.720,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.835.665.312 2.000 1.417.832,0 1.411.776,0 1.403.424 9.805.536 191.099,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.828.475.392 2.000 1.414.237,0 1.411.488,0 1.402.304 3.773.088 68.861,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.829.105.056 2.000 1.414.552,0 1.411.232,0 1.403.136 3.914.304 83.236,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.830.164.544 2.000 1.415.082,0 1.411.808,0 1.403.744 3.926.208 83.433,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.828.496.288 2.000 1.414.248,0 1.411.616,0 1.402.656 3.773.888 66.027,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.314.048 2.000 1.413.657,0 1.411.840,0 1.404.384 3.771.552 56.956,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.227.712 2.000 1.413.613,0 1.411.552,0 1.401.504 3.772.800 65.222,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.323.744 2.000 1.413.661,0 1.411.648,0 1.403.616 3.771.360 61.654,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.825.929.728 2.000 1.412.964,0 1.411.136,0 1.402.976 3.774.112 58.979,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.499.232 2.000 1.413.749,0 1.411.680,0 1.403.104 3.773.568 59.320,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.829.469.408 2.000 1.414.734,0 1.411.296,0 1.403.136 3.773.280 73.415,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.825.610.848 2.000 1.412.805,0 1.411.360,0 1.401.824 3.772.096 54.317,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.825.910.080 2.000 1.412.955,0 1.411.424,0 1.403.744 3.773.632 54.263,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.828.823.424 2.000 1.414.411,0 1.412.160,0 1.404.192 3.772.864 68.611,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.792.585.408 2.000 1.396.292,0 1.392.960,0 1.389.696 3.772.416 70.348,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.790.341.024 2.000 1.395.170,0 1.392.928,0 1.389.632 3.771.904 55.901,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.864.064 2.000 1.413.432,0 1.411.392,0 1.403.424 3.773.728 61.658,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.310.432 2.000 1.413.155,0 1.411.584,0 1.403.776 3.773.888 54.247,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.866.464 2.000 1.413.433,0 1.411.424,0 1.401.728 3.773.632 61.491,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.624.768 2.000 1.413.812,0 1.411.776,0 1.403.168 3.772.192 61.672,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.829.160.640 2.000 1.414.580,0 1.411.072,0 1.402.112 6.785.312 124.237,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.122.496 2.000 1.413.561,0 1.411.648,0 1.403.424 3.773.568 61.716,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.456.544 2.000 1.413.728,0 1.411.744,0 1.404.192 3.774.432 61.705,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.824.031.840 2.000 1.412.015,0 1.410.880,0 1.390.112 3.772.768 68.199,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.792.972.160 2.000 1.396.486,0 1.393.056,0 1.389.952 3.773.056 73.125,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.484.672 2.000 1.413.242,0 1.411.136,0 1.403.200 3.772.288 61.535,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.965.472 2.000 1.413.982,0 1.411.840,0 1.404.544 3.772.096 61.657,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.797.497.408 2.000 1.398.748,0 1.393.344,0 1.389.664 3.773.280 63.699,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.381.280 2.000 1.413.690,0 1.411.616,0 1.404.864 3.772.768 61.670,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.792.665.728 2.000 1.396.332,0 1.393.056,0 1.389.696 3.771.968 69.662,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.724.032 2.000 1.413.362,0 1.411.392,0 1.401.920 3.772.960 61.683,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.832.974.208 2.000 1.416.487,0 1.411.712,0 1.403.744 3.773.696 86.789,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.519.296 2.000 1.413.259,0 1.411.104,0 1.403.552 3.772.768 60.946,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.792.591.584 2.000 1.396.295,0 1.393.120,0 1.390.080 3.772.160 69.828,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.805.248 2.000 1.413.902,0 1.411.232,0 1.402.912 3.772.288 66.913,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.810.560 2.000 1.413.905,0 1.411.248,0 1.403.968 3.772.832 68.834,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.829.572.416 2.000 1.414.786,0 1.411.808,0 1.403.520 3.772.736 69.768,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.239.136 2.000 1.413.619,0 1.411.552,0 1.403.552 3.773.376 61.982,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.792.584.832 2.000 1.396.292,0 1.393.248,0 1.389.696 3.773.696 63.168,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.795.362.016 2.000 1.397.681,0 1.393.888,0 1.389.664 6.899.200 124.657,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.830.413.024 2.000 1.415.206,0 1.411.712,0 1.404.032 3.773.152 75.458,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.829.043.232 2.000 1.414.521,0 1.412.512,0 1.402.976 3.773.280 61.597,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.833.611.808 2.000 1.416.805,0 1.412.000,0 1.404.864 5.896.352 120.788,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.990.784 2.000 1.413.995,0 1.412.032,0 1.403.264 3.772.800 61.683,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.829.374.272 2.000 1.414.687,0 1.412.320,0 1.403.360 3.771.904 62.671,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.690.944 2.000 1.413.845,0 1.411.936,0 1.404.608 3.772.192 61.643,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.798.766.368 2.000 1.399.383,0 1.394.080,0 1.389.760 3.772.288 63.589,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.830.161.568 2.000 1.415.080,0 1.411.232,0 1.401.280 3.902.208 88.388,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.436.064 2.000 1.413.718,0 1.412.352,0 1.403.488 3.773.472 53.880,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.793.366.240 2.000 1.396.683,0 1.394.240,0 1.390.144 3.774.368 62.594,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.789.280 2.000 1.413.894,0 1.411.936,0 1.403.872 3.772.512 61.367,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.794.530.080 2.000 1.397.265,0 1.394.304,0 1.389.984 3.772.224 69.514,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.828.341.248 2.000 1.414.170,0 1.412.224,0 1.402.080 3.774.272 61.741,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.829.121.984 2.000 1.414.561,0 1.411.968,0 1.403.328 3.772.160 67.085,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.829.941.600 2.000 1.414.970,0 1.412.192,0 1.404.352 3.895.328 77.651,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.829.122.880 2.000 1.414.561,0 1.411.872,0 1.403.296 3.771.488 68.824,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.428.864 2.000 1.413.214,0 1.411.232,0 1.403.520 3.771.936 61.719,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.090.912 2.000 1.413.545,0 1.411.552,0 1.403.648 3.773.728 61.692,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.795.434.432 2.000 1.397.717,0 1.392.800,0 1.389.888 3.773.280 67.977,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.051.648 2.000 1.413.525,0 1.411.552,0 1.402.784 3.772.416 61.658,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.063.488 2.000 1.413.531,0 1.411.520,0 1.402.848 3.774.272 61.707,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.784.544 2.000 1.413.892,0 1.411.872,0 1.404.096 3.773.056 61.666,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.791.219.264 2.000 1.395.609,0 1.393.312,0 1.390.048 3.773.632 62.107,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.239.136 2.000 1.413.119,0 1.411.104,0 1.403.680 3.772.512 60.103,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.794.575.168 2.000 1.397.287,0 1.393.696,0 1.389.952 3.832.768 82.835,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.825.868.768 2.000 1.412.934,0 1.410.624,0 1.400.992 3.773.280 62.430,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.790.808.864 2.000 1.395.404,0 1.393.152,0 1.389.920 3.773.920 62.287,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.415.744 2.000 1.413.707,0 1.411.712,0 1.403.744 3.772.672 61.662,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.267.584 2.000 1.413.133,0 1.411.136,0 1.402.368 3.773.280 61.745,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.828.953.216 2.000 1.414.476,0 1.411.744,0 1.403.136 3.773.280 69.246,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.422.400 2.000 1.413.211,0 1.411.008,0 1.402.816 3.773.216 56.013,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.750.784 2.000 1.413.375,0 1.411.296,0 1.403.072 3.772.736 61.714,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.828.608.544 2.000 1.414.304,0 1.412.032,0 1.404.352 3.770.944 62.500,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.829.508.224 2.000 1.414.754,0 1.412.544,0 1.404.736 3.772.640 62.120,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.606.624 2.000 1.413.803,0 1.410.752,0 1.400.192 3.772.992 73.198,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.826.615.456 2.000 1.413.307,0 1.411.008,0 1.403.520 3.772.544 62.282,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
